QBlade CE v2.0.7.7_beta windows

 Calculated polar for: A18 (smoothed)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-5.000   -0.3661  0.07393  0.06763  -0.0187  0.0000   0.0000   1.4612   0.0000   0.0000   
-4.500   -0.3481  0.06822  0.06197  -0.0208  0.0000   0.0000   1.4185   0.0000   0.0000   
-4.000   -0.2234  0.04691  0.03937  -0.0639  0.0000   0.0000   1.7707   0.0000   0.0000   
-3.500   -0.1512  0.03765  0.02922  -0.0733  0.0000   0.0000   1.7216   0.0000   0.0000   
-3.000   -0.0799  0.03209  0.02247  -0.0787  0.0000   0.0000   1.6117   0.0000   0.0000   
-2.500   -0.0237  0.02828  0.01847  -0.0803  0.0000   0.0000   1.4798   0.0000   0.0000   
-2.000   0.0367   0.02568  0.01544  -0.0818  0.0000   0.0000   1.3197   0.0000   0.0000   
-1.500   0.0920   0.02415  0.01389  -0.0822  0.0000   0.0000   1.1136   0.0000   0.0000   
-1.000   0.1484   0.02295  0.01263  -0.0827  0.0000   0.0000   0.9152   0.0000   0.0000   
-0.500   0.1804   0.02046  0.01177  -0.0777  0.0000   0.0000   0.7442   0.0000   0.0000   
0.000    0.2348   0.02165  0.01187  -0.0799  0.0000   0.0000   0.5498   0.0000   0.0000   
0.500    0.2781   0.02304  0.01286  -0.0801  0.0000   0.0000   0.4299   0.0000   0.0000   
1.000    0.3188   0.02470  0.01429  -0.0803  0.0000   0.0000   0.4485   0.0000   0.0000   
1.500    0.3570   0.02664  0.01609  -0.0805  0.0000   0.0000   0.4681   0.0000   0.0000   
2.000    0.3931   0.02887  0.01823  -0.0808  0.0000   0.0000   0.5069   0.0000   0.0000   
2.500    0.4832   0.03111  0.02046  -0.0907  0.0000   0.0000   0.5991   0.0000   0.0000   
3.000    0.5673   0.03315  0.02261  -0.0988  0.0000   0.0000   0.7036   0.0000   0.0000   
3.500    0.6460   0.03505  0.02486  -0.1053  0.0000   0.0000   0.8539   0.0000   0.0000   
4.000    0.7315   0.03644  0.02657  -0.1116  0.0000   0.0000   1.0969   0.0000   0.0000   
4.500    0.8121   0.03647  0.02703  -0.1144  0.0000   0.0000   1.4187   0.0000   0.0000   
5.000    0.9153   0.03432  0.02555  -0.1172  0.0000   0.0000   1.9425   0.0000   0.0000   
5.500    1.0280   0.02862  0.02101  -0.1151  0.0000   0.0000   2.6512   0.0000   0.0000   
6.000    1.0781   0.02493  0.01754  -0.1036  0.0000   0.0000   3.1446   0.0000   0.0000   
6.500    1.0794   0.02729  0.01765  -0.0889  0.0000   0.0000   3.3434   0.0000   0.0000   
7.000    1.1081   0.03406  0.02302  -0.0838  0.0000   0.0000   3.4856   0.0000   0.0000   
7.500    1.1709   0.04135  0.03045  -0.0829  0.0000   0.0000   3.6428   0.0000   0.0000   
8.000    1.2133   0.04737  0.03712  -0.0799  0.0000   0.0000   3.7556   0.0000   0.0000   
8.500    1.2360   0.05415  0.04468  -0.0756  0.0000   0.0000   3.8123   0.0000   0.0000   
9.000    1.2457   0.06287  0.05440  -0.0702  0.0000   0.0000   3.7482   0.0000   0.0000   
9.500    1.2322   0.07270  0.06538  -0.0643  0.0000   0.0000   3.6302   0.0000   0.0000   
10.000   1.2002   0.08230  0.07557  -0.0592  0.0000   0.0000   3.5152   0.0000   0.0000   
10.500   1.1552   0.09160  0.08498  -0.0557  0.0000   0.0000   3.4039   0.0000   0.0000   
11.000   1.1125   0.10367  0.09724  -0.0576  0.0000   0.0000   3.2392   0.0000   0.0000   
11.500   1.0324   0.12752  0.12125  -0.0771  0.0000   0.0000   2.6734   0.0000   0.0000   
12.000   1.0194   0.14397  0.13762  -0.0830  0.0000   0.0000   2.4552   0.0000   0.0000   
12.500   0.9695   0.17270  0.16625  -0.1086  0.0000   0.0000   1.8045   0.0000   0.0000   
13.000   0.9781   0.18089  0.17445  -0.1099  0.0000   0.0000   1.7647   0.0000   0.0000   
13.500   1.0249   0.20132  0.19499  -0.1059  0.0000   0.0000   1.8862   0.0000   0.0000   
14.000   0.9800   0.19716  0.19062  -0.1162  0.0000   0.0000   1.6574   0.0000   0.0000   
15.000   1.0326   0.22768  0.22126  -0.1142  0.0000   0.0000   1.9224   0.0000   0.0000   


