#QBlade CE v2.0.7.7_beta windows
#
# Calculated polar for: A18_2
#
# 1 1 Reynolds number fixed          Mach number fixed         
#
# xtrf =   1.000 (top)        1.000 (bottom)
# Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
#
#alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
#------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-5.000   -0.3217  0.06056  0.05567  -0.0521  0.0000   0.0000   1.8674   0.0000   0.0000   
-4.500   -0.2987  0.05606  0.05124  -0.0496  0.0000   0.0000   1.7157   0.0000   0.0000   
-4.000   -0.1729  0.03023  0.02301  -0.0785  0.0000   0.0000   2.3279   0.0000   0.0000   
-3.500   -0.1070  0.02416  0.01607  -0.0823  0.0000   0.0000   2.1241   0.0000   0.0000   
-3.000   -0.0480  0.02183  0.01330  -0.0837  0.0000   0.0000   1.8125   0.0000   0.0000   
-2.500   0.0087   0.02034  0.01158  -0.0845  0.0000   0.0000   1.6349   0.0000   0.0000   
-2.000   0.0625   0.01945  0.01075  -0.0851  0.0000   0.0000   1.4000   0.0000   0.0000   
-1.500   0.1144   0.01901  0.01044  -0.0856  0.0000   0.0000   1.1594   0.0000   0.0000   
-1.000   0.1654   0.01895  0.01050  -0.0862  0.0000   0.0000   0.9384   0.0000   0.0000   
-0.500   0.2418   0.01832  0.01066  -0.0913  0.0000   0.0000   0.6351   0.0000   0.0000   
0.000    0.3234   0.01753  0.01048  -0.0966  0.0000   0.0000   0.4538   0.0000   0.0000   
1.000    0.4932   0.01823  0.01075  -0.1095  0.0000   0.0000   0.5482   0.0000   0.0000   
1.500    0.5726   0.01832  0.01080  -0.1142  0.0000   0.0000   0.6323   0.0000   0.0000   
2.000    0.6499   0.01828  0.01081  -0.1183  0.0000   0.0000   0.7339   0.0000   0.0000   
2.500    0.7237   0.01809  0.01083  -0.1210  0.0000   0.0000   0.8714   0.0000   0.0000   
3.000    0.7957   0.01745  0.01032  -0.1223  0.0000   0.0000   1.0992   0.0000   0.0000   
3.500    0.8603   0.01640  0.00937  -0.1209  0.0000   0.0000   1.3889   0.0000   0.0000   
4.000    0.9182   0.01609  0.00918  -0.1191  0.0000   0.0000   1.7069   0.0000   0.0000   
5.000    1.0198   0.01594  0.00936  -0.1126  0.0000   0.0000   2.5714   0.0000   0.0000   
5.500    1.0607   0.01629  0.00953  -0.1077  0.0000   0.0000   2.9969   0.0000   0.0000   
6.000    1.0825   0.01868  0.01045  -0.1005  0.0000   0.0000   3.3382   0.0000   0.0000   
6.500    1.0958   0.02389  0.01420  -0.0936  0.0000   0.0000   3.5095   0.0000   0.0000   
7.000    1.1288   0.02850  0.01861  -0.0892  0.0000   0.0000   3.6950   0.0000   0.0000   
7.500    1.1696   0.03249  0.02266  -0.0868  0.0000   0.0000   3.9567   0.0000   0.0000   
8.000    1.2164   0.03718  0.02789  -0.0843  0.0000   0.0000   4.0675   0.0000   0.0000   
8.500    1.2548   0.04416  0.03585  -0.0808  0.0000   0.0000   4.1203   0.0000   0.0000   
9.000    1.2708   0.05323  0.04607  -0.0749  0.0000   0.0000   4.1486   0.0000   0.0000   
9.500    1.2655   0.06315  0.05690  -0.0683  0.0000   0.0000   4.1159   0.0000   0.0000   
10.000   1.2612   0.07524  0.06943  -0.0641  0.0000   0.0000   4.1123   0.0000   0.0000   
12.000   1.0422   0.14878  0.14440  -0.0786  0.0000   0.0000   2.3802   0.0000   0.0000   
12.500   0.9918   0.16037  0.15583  -0.0979  0.0000   0.0000   1.9552   0.0000   0.0000   
13.000   0.9909   0.16995  0.16538  -0.1022  0.0000   0.0000   1.9409   0.0000   0.0000   
13.500   1.0012   0.17836  0.17380  -0.1034  0.0000   0.0000   2.0387   0.0000   0.0000   
14.500   1.0158   0.20025  0.19566  -0.1071  0.0000   0.0000   2.1332   0.0000   0.0000   
15.000   1.0048   0.20573  0.20107  -0.1177  0.0000   0.0000   1.9492   0.0000   0.0000   
15.500   1.0131   0.21402  0.20937  -0.1208  0.0000   0.0000   1.9956   0.0000   0.0000   
16.000   1.0323   0.22347  0.21899  -0.1200  0.0000   0.0000   2.1410   0.0000   0.0000   
17.500   1.0400   0.25119  0.24664  -0.1347  0.0000   0.0000   1.9413   0.0000   0.0000   
18.000   1.0618   0.26837  0.26386  -0.1294  0.0000   0.0000   2.1427   0.0000   0.0000   
18.500   1.0588   0.27497  0.27043  -0.1366  0.0000   0.0000   1.9722   0.0000   0.0000   
19.000   1.0565   0.28179  0.27722  -0.1442  0.0000   0.0000   1.7936   0.0000   0.0000   
19.500   1.0611   0.29171  0.28715  -0.1474  0.0000   0.0000   1.7492   0.0000   0.0000   
20.500   1.0708   0.31142  0.30694  -0.1494  0.0000   0.0000   1.8127   0.0000   0.0000   
21.000   1.0814   0.33115  0.32670  -0.1463  0.0000   0.0000   1.9062   0.0000   0.0000   


