DP, R, NB, sigma, theta, thrust, torque, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_HIGH, STALL_LOW, main_RPM, disk_loading
DP0, 0.9, 2, 0.08, 15.0, 60.00307923877289, 4.107607332388629, 178.8635559328945, 44.397443607988706, 223.26099954088323, 186.14861923065806, 0.2687575499624385, 0.8337713242055551, 0.0, 0.0, 564.74609375, 23.57972015206268
DP1, 0.9, 2, 0.08, 20.0, 59.997764004562576, 4.391562272201757, 177.6609183248385, 39.23229176478148, 216.89321008961997, 186.12388546007705, 0.27662352352925934, 0.8581360632874165, 0.0, 0.0, 531.494140625, 23.57763139700524
DP2, 0.9, 2, 0.1, 15.0, 59.99977571214039, 4.263750151916881, 178.37591219383663, 38.91168563175744, 217.28759782559408, 186.13324655816774, 0.2761306964252015, 0.8566215854968751, 0.0, 0.0, 521.240234375, 23.578421948128856
DP3, 0.9, 2, 0.1, 20.0, 60.000344795000295, 4.549389743578501, 177.9536712380101, 33.38556708045592, 211.33923831846602, 186.13589470535294, 0.2839053706845772, 0.8807446084615187, 0.0, 0.0, 486.42578125, 23.578645583561407
DP4, 0.9, 3, 0.08, 15.0, 59.9987049884084, 4.743579235758322, 176.149270441957, 80.90348952986825, 257.05275997182525, 186.12826412966123, 0.2334100789074767, 0.7240858419495755, 0.0, 0.0, 591.015625, 23.578001180290258
DP5, 0.9, 3, 0.08, 20.0, 59.99653491136172, 5.1417225999561, 174.10677623351918, 75.6942264021113, 249.80100263563048, 186.1181661861757, 0.24017731825870617, 0.7450657292102824, 0.0, 0.0, 562.6953125, 23.57714839389799
DP6, 0.9, 3, 0.1, 15.0, 59.9982606456261, 4.702391934396617, 177.19273167836857, 61.32194413554837, 238.51467581391694, 186.12619647009328, 0.2515495553507794, 0.7803553212604166, 0.0, 0.0, 533.740234375, 23.577826564610678
DP7, 0.9, 3, 0.1, 20.0, 59.998575809809424, 5.069386600594024, 175.52881686273628, 56.62148908722095, 232.15030594995721, 186.12766302230102, 0.25844711065228076, 0.8017549762024568, 0.0, 0.0, 505.46875, 23.577950416308607
DP8, 1.0, 2, 0.08, 15.0, 60.005626079463326, 4.555715185969985, 160.82834648646008, 40.07836617411378, 200.90671266057387, 167.54442391811855, 0.2986740725823388, 0.8339413934923123, 0.0, 0.0, 458.0078125, 19.100384007741074
DP9, 1.0, 2, 0.08, 20.0, 60.004228426433386, 4.864856142353593, 159.7100895430782, 35.43508241419477, 195.14517195727296, 167.53857027679862, 0.3074850780298644, 0.8585330018489066, 0.0, 0.0, 431.201171875, 19.099939120964187
DP10, 1.0, 2, 0.1, 15.0, 59.99717603067024, 4.728926130020846, 160.38684700852872, 35.14992129086149, 195.53676829939022, 167.50903451866557, 0.3068332189003317, 0.8566625907521862, 0.0, 0.0, 422.802734375, 19.097694273671497
