R,diagonal,NB,sigma,theta
0.225,1.0,2,0.08,15
0.225,1.0,2,0.08,20
0.225,1.0,2,0.1,15
0.225,1.0,2,0.1,20
0.225,1.0,3,0.08,15
0.225,1.0,3,0.08,20
0.225,1.0,3,0.1,15
0.225,1.0,3,0.1,20
0.225,1.5,2,0.08,15
0.225,1.5,2,0.08,20
0.225,1.5,2,0.1,15
0.225,1.5,2,0.1,20
0.225,1.5,3,0.08,15
0.225,1.5,3,0.08,20
0.225,1.5,3,0.1,15
0.225,1.5,3,0.1,20
0.275,1.0,2,0.08,15
0.275,1.0,2,0.08,20
0.275,1.0,2,0.1,15
0.275,1.0,2,0.1,20
0.275,1.0,3,0.08,15
0.275,1.0,3,0.08,20
0.275,1.0,3,0.1,15
0.275,1.0,3,0.1,20
0.275,1.5,2,0.08,15
0.275,1.5,2,0.08,20
0.275,1.5,2,0.1,15
0.275,1.5,2,0.1,20
0.275,1.5,3,0.08,15
0.275,1.5,3,0.08,20
0.275,1.5,3,0.1,15
0.275,1.5,3,0.1,20
