DP, DL, sigma_main, Re_min, lambda_p, pitch_small, thrust_main, thrust_small, torque_main, torque_small, moment_created, power_required, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_MAIN_HIGH, STALL_MAIN_LOW, STALL_SMALL_HIGH, STALL_SMALL_LOW, main_RPM, small_RPM, disk_loading
DP0, 17.1887338539247, 0.07, 90000.0, 0.0675, 65.0, 60.05026007762073, 5.739869633559438, 6.171356451579318, 0.3613052310559526, 6.05035383816129, 359.4400555366368, 151.79071825169035, 24.972522061961936, 176.7632403136523, 159.12397355033886, 0.16706613287149338, 0.4426996131879903, 0.0, 0.0, 1.0, 0.0, 276.71875, 9500.0, 17.20313230555304
DP1, 17.1887338539247, 0.07, 90000.0, 0.0675, 65.0, 59.997235539993476, 5.851951443203012, 6.32853498259032, 0.3739427492831005, 6.168498439076996, 367.11743562856554, 156.09681607947547, 25.306499782690633, 181.4033158621661, 158.91325975177338, 0.16342791084620734, 0.43286764487142293, 0.0, 0.0, 1.0, 0.0, 277.0703125, 9375.0, 17.18794189446967
DP2, 17.1887338539247, 0.07, 90000.0, 0.0675, 69.0, 60.01120598754108, 5.73698744998328, 6.171192807419739, 0.3642551834724564, 6.0473157499161605, 362.3747793360117, 151.77430655826933, 24.974103011336037, 176.74840956960537, 158.96876777408758, 0.16560536055379213, 0.4386860698897699, 0.0, 0.0, 1.0, 0.0, 276.71875, 9500.0, 17.191944132881606
DP3, 17.1887338539247, 0.07, 90000.0, 0.0675, 69.0, 59.936681177615284, 6.015355716687894, 6.343428948439538, 0.38306456406876466, 6.340741666949426, 381.0870597709988, 156.67442956582323, 25.387180350793603, 182.06160991661685, 158.67273710367525, 0.15727818523576262, 0.41636873526753754, 0.0, 0.0, 1.0, 0.0, 277.421875, 9500.0, 17.17059434749279
DP4, 17.1887338539247, 0.07, 90000.0, 0.0825, 65.0, 59.96404923450368, 5.2242806112643265, 6.0903320878363765, 0.46910945768846524, 5.506875289150661, 319.3126789675637, 148.49276473811636, 24.57160524482589, 173.06436998294225, 158.7814283114778, 0.18779100607087051, 0.49726001743766357, 0.0, 0.0, 1.0, 0.0, 274.9609375, 6500.0, 17.178434718258686
DP5, 17.1887338539247, 0.07, 90000.0, 0.0825, 65.0, 59.504184869807226, 5.456472747053165, 6.11927697050376, 0.4837704240683654, 5.751627290441269, 329.2920822268522, 148.0711502118975, 24.245048077150546, 172.31619828904806, 156.9583922964509, 0.18070335754023467, 0.4766540125563083, 0.0, 0.0, 1.0, 0.0, 272.412109375, 6500.0, 17.046693282030827
DP5, 17.1887338539247, 0.07, 90000.0, 0.0825, 65.0, 60.041882452572864, 5.456957915893422, 6.172241414414633, 0.4860020189066795, 5.752138703302921, 330.8110806493173, 150.07543439565325, 24.508833566758792, 174.58426796241204, 159.0906755807101, 0.18149900642603148, 0.4809109636486368, 0.0, 0.0, 1.0, 0.0, 273.5546875, 6500.0, 17.200732292765114
DP6, 17.1887338539247, 0.07, 90000.0, 0.0825, 69.0, 59.9740710306985, 5.216238305214742, 6.089699075237386, 0.47206463542916205, 5.498397954231715, 321.32420464828, 148.47295983163858, 24.571644658973707, 173.04460449061227, 158.82123570324015, 0.18664660228863195, 0.49427099921428314, 0.0, 0.0, 1.0, 0.0, 274.9609375, 6500.0, 17.1813057513842
DP7, 17.1887338539247, 0.07, 90000.0, 0.0825, 69.0, 59.90116737614824, 5.4470995830781925, 6.156355090347875, 0.48822499466927294, 5.741747108093553, 332.3242122530402, 149.47847806847145, 24.43333562480734, 173.9118136932788, 158.5317323675632, 0.18024918187585426, 0.47703936855149476, 0.0, 0.0, 1.0, 0.0, 273.203125, 6500.0, 17.16042039280015
DP8, 17.1887338539247, 0.07, 110000.0, 0.0675, 65.0, 60.065891116070134, 3.6368844063272867, 6.081482205625493, 0.3242020357164694, 3.8336127702478384, 237.65250452675835, 148.28942997600865, 24.660441281717144, 172.9498712577258, 159.18610737284138, 0.2527467204087767, 0.6698271818756192, 0.0, 0.0, 1.0, 0.0, 275.3125, 7000.0, 17.20761026821583
DP9, 17.1887338539247, 0.07, 110000.0, 0.0675, 65.0, 59.96109680877894, 3.841024415647702, 6.1429311457847335, 0.3377177740855327, 4.048795233921343, 247.56005821265006, 149.08783451595778, 24.52884511342316, 173.61667962938094, 158.76970167003802, 0.24220828368554242, 0.6413381173697149, 0.0, 0.0, 1.0, 0.0, 273.5546875, 7000.0, 17.17758891059192
