disk_loading,diagonal,taper,sigma
81.84,0.5144000000000001,0.5599999999999999,0.06
81.84,0.5144000000000001,0.5599999999999999,0.08
81.84,0.5144000000000001,0.5599999999999999,0.01
81.84,0.5144000000000001,0.84,0.06
81.84,0.5144000000000001,0.84,0.08
81.84,0.5144000000000001,0.84,0.01
81.84,0.643,0.5599999999999999,0.06
81.84,0.643,0.5599999999999999,0.08
81.84,0.643,0.5599999999999999,0.01
81.84,0.643,0.84,0.06
81.84,0.643,0.84,0.08
81.84,0.643,0.84,0.01
81.84,0.7716,0.5599999999999999,0.06
81.84,0.7716,0.5599999999999999,0.08
81.84,0.7716,0.5599999999999999,0.01
81.84,0.7716,0.84,0.06
81.84,0.7716,0.84,0.08
81.84,0.7716,0.84,0.01
102.3,0.5144000000000001,0.5599999999999999,0.06
102.3,0.5144000000000001,0.5599999999999999,0.08
102.3,0.5144000000000001,0.5599999999999999,0.01
102.3,0.5144000000000001,0.84,0.06
102.3,0.5144000000000001,0.84,0.08
102.3,0.5144000000000001,0.84,0.01
102.3,0.643,0.5599999999999999,0.06
102.3,0.643,0.5599999999999999,0.08
102.3,0.643,0.5599999999999999,0.01
102.3,0.643,0.84,0.06
102.3,0.643,0.84,0.08
102.3,0.643,0.84,0.01
102.3,0.7716,0.5599999999999999,0.06
102.3,0.7716,0.5599999999999999,0.08
102.3,0.7716,0.5599999999999999,0.01
102.3,0.7716,0.84,0.06
102.3,0.7716,0.84,0.08
102.3,0.7716,0.84,0.01
122.75999999999999,0.5144000000000001,0.5599999999999999,0.06
122.75999999999999,0.5144000000000001,0.5599999999999999,0.08
122.75999999999999,0.5144000000000001,0.5599999999999999,0.01
122.75999999999999,0.5144000000000001,0.84,0.06
122.75999999999999,0.5144000000000001,0.84,0.08
122.75999999999999,0.5144000000000001,0.84,0.01
122.75999999999999,0.643,0.5599999999999999,0.06
122.75999999999999,0.643,0.5599999999999999,0.08
122.75999999999999,0.643,0.5599999999999999,0.01
122.75999999999999,0.643,0.84,0.06
122.75999999999999,0.643,0.84,0.08
122.75999999999999,0.643,0.84,0.01
122.75999999999999,0.7716,0.5599999999999999,0.06
122.75999999999999,0.7716,0.5599999999999999,0.08
122.75999999999999,0.7716,0.5599999999999999,0.01
122.75999999999999,0.7716,0.84,0.06
122.75999999999999,0.7716,0.84,0.08
122.75999999999999,0.7716,0.84,0.01
