DP, DL, diagonal, taper, sigma, thrust, torque, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_HIGH, STALL_LOW, main_RPM, disk_loading
DP0, 81.84, 0.5144000000000001, 0.5599999999999999, 0.06, 59.94491265807986, 1.1460937942451022, 339.7425799833889, 130.10261599230142, 469.84519597569033, 692.6002377075282, 0.12758438986185014, 1.4741030527496617, 0.0, 0.0, 3956.0546875, 81.76486086562092
DP1, 81.84, 0.5144000000000001, 0.5599999999999999, 0.08, 60.059714199666345, 1.2379092040657729, 345.181519021055, 106.85191864552317, 452.03343766657815, 694.5908060765861, 0.13286564487286148, 1.5365916505250201, 0.0, 0.0, 3520.5078125, 81.92145016834489
DP2, 81.84, 0.5144000000000001, 0.5599999999999999, 0.01, 7.790881586576644, 0.2817147065830163, -169.1149780509727, 191.3552091048217, 22.240231053849016, 32.4514453089214, 0.3503057844908635, 1.4591325616333997, 0.1836734693877551, 0.10204081632653061, 5875.0, 10.626762484090541
DP3, 81.84, 0.5144000000000001, 0.84, 0.06, 59.988924607848766, 1.1992203783388127, 350.4809340604088, 125.39493901257464, 475.87587307298344, 693.3631451833148, 0.1260600253180906, 1.4570252127007417, 0.0, 0.0, 3834.9609375, 81.82489316510572
DP4, 81.84, 0.5144000000000001, 0.84, 0.08, 59.946916181706506, 1.2893060028651564, 352.46156033493025, 104.19944597535778, 456.66100631028803, 692.6349609010362, 0.13127224648774655, 1.5167376923581923, 0.0, 0.0, 3416.9921875, 81.76759367184768
DP5, 81.84, 0.5144000000000001, 0.84, 0.01, 13.802591755091068, 0.03719890370367805, -598.370522451515, 214.9612680838592, -383.40925436765576, 76.52354890574871, -0.03599963119788339, -0.19958712011778765, 0.3877551020408163, 0.12244897959183673, 5937.5, 18.826735153944217
DP6, 81.84, 0.643, 0.5599999999999999, 0.06, 59.99291247973377, 1.1491820448200774, 341.2212702301627, 130.37384366656337, 471.59511389672605, 693.4322851794846, 0.12721275244779473, 1.4703975184342948, 0.0, 0.0, 3958.984375, 81.83033262235686
DP7, 81.84, 0.643, 0.5599999999999999, 0.08, 59.9595853033178, 1.238492352260927, 345.40258332701177, 106.84685541753211, 452.2494387445439, 692.854543676686, 0.13258078433390025, 1.5320185816041432, 0.0, 0.0, 3522.4609375, 81.78487435372548
DP8, 81.84, 0.643, 0.5599999999999999, 0.01, 3.8715114961264345, 0.136571791837998, -62.89843969601294, 63.16186921306877, 0.26342951705582607, 11.36776189512231, 14.696574398327513, 43.152954240557825, 0.10204081632653061, 0.10204081632653061, 4000, 5.280741680716456
DP9, 81.84, 0.643, 0.84, 0.06, 60.035108667845634, 1.2024119864351674, 351.9925517142848, 125.67105828002383, 477.6636099943086, 694.1640052043266, 0.12568491174900462, 1.453248668477378, 0.0, 0.0, 3836.9140625, 81.88788822294144
