DP, DL, sigma_main, Re_min, lambda_p, pitch_small, thrust_main, thrust_small, torque_main, torque_small, moment_created, power_required, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_MAIN_HIGH, STALL_MAIN_LOW, STALL_SMALL_HIGH, STALL_SMALL_LOW, main_RPM, small_RPM, disk_loading
DP0,17.1887338539247,0.07,90000.0,0.0675,65.0,60.117104563682815,4.837209997649127,5.046404628711768,0.20215236500948225,5.09886703770299,219.63196641685988,142.37075814642503,31.44205475532754,173.81281290175258,159.38973891931812,0.27371746264649377,0.7257128437160079,0.0,0.0,0.0,0.0,334.21875,10312.5,17.222281840228433
DP1,17.1887338539247,0.07,90000.0,0.0675,65.0,60.38957919208849,5.289901650994111,5.21055857707203,0.2179835452537827,5.5760459384755,236.83202859566424,145.99866733048208,31.235539941638805,177.2342072721209,160.47459238686295,0.25498907200254445,0.6775882186983928,0.0,0.0,0.0,0.0,329.84375,10312.5,17.30034007138864
DP2,17.1887338539247,0.07,90000.0,0.0675,69.0,60.088599339696295,4.463543172822826,5.039152520337817,0.2095267959578201,4.704987620204903,200.21705221892918,142.0224287715338,31.45169401281261,173.47412278434643,159.2763876122766,0.3001172910786433,0.7955185926826771,0.0,0.0,0.0,0.0,335.3125,9187.5,17.214115695085923
DP3,17.1887338539247,0.07,90000.0,0.0675,69.0,52.41068540998435,4.246384633188864,4.531013266285278,0.1969172329969746,4.476082420671814,176.568377831626,116.8970420395454,26.62465970598312,143.5217017455285,129.74571842263765,0.29682939863650276,0.7348185446114365,0.0,0.0,0.0,0.0,310.15625,8593.75,15.014555376899926
DP4,17.1887338539247,0.07,90000.0,0.0825,65.0,59.981628613557504,4.367348541063434,5.015637252993111,0.23459786621596979,4.603589575191286,199.60712770164156,140.96037943784467,31.485464981049937,172.4458444188946,158.85125723857257,0.3004984306132281,0.7958195634978128,0.0,0.0,0.0,0.0,335.3125,8187.5,17.18347083938991
DP5,17.1887338539247,0.07,90000.0,0.0825,65.0,60.2626609106836,5.201568712469286,5.180145686008702,0.2707583192710812,5.482934845757474,232.14628629251757,144.58680292438942,31.262511232276783,175.8493141566662,159.9689640617858,0.25958916626712353,0.6890868969586521,0.0,0.0,0.0,0.0,329.84375,8156.25,17.26398066205087
DP6,17.1887338539247,0.07,90000.0,0.0825,69.0,60.03260990269929,4.9529273096823445,5.021989125740573,0.28774814917306096,5.220843794615449,220.3469461845833,141.23941493346427,31.475664768944686,172.71507970240896,159.0538233234001,0.27244584480154466,0.7218335723616596,0.0,0.0,0.0,0.0,335.3125,7281.25,17.198075902899713
DP7,17.1887338539247,0.07,90000.0,0.0825,69.0,60.22900120378641,4.743874818144768,5.174166695030896,0.2777708070179814,5.000483120018177,209.07065327420705,144.32418741262023,31.268940034510113,175.59312744713034,159.83495679064092,0.2880796527898774,0.7645021158517596,0.0,0.0,0.0,0.0,329.84375,7218.75,17.254337866326587
DP8,17.1887338539247,0.07,110000.0,0.0675,65.0,60.13079846086683,4.971012150784184,5.048307970225828,0.21375085746226424,5.23990689095013,226.63736668200139,142.44619085948983,31.438623715130355,173.88481457462018,159.4442023953255,0.26531723052199657,0.7035212451044945,0.0,0.0,0.0,0.0,334.21875,10062.5,17.226204852797085
DP9,17.1887338539247,0.07,110000.0,0.0675,65.0,60.27834160096067,4.446309919504557,5.194036013451353,0.19505312972594124,4.686822176211441,201.70592030478747,145.2316591517716,31.252241458169486,176.4839006099411,160.03140538725114,0.29884269886514564,0.7933897286972831,0.0,0.0,0.0,0.0,329.84375,9937.5,17.26847284891451
DP10,17.1887338539247,0.07,110000.0,0.0675,69.0,60.1017670830127,4.542353706531159,5.037900906533646,0.21983295582193013,4.788061216915506,204.3100730455971,141.96916433434257,31.45168595886807,173.42085029321063,159.32874593418353,0.2941693778827999,0.7798379373033907,0.0,0.0,0.0,0.0,334.21875,8937.5,17.217887975674632
DP11,17.1887338539247,0.07,110000.0,0.0675,69.0,60.364700654348546,4.973134922940802,5.20139495100031,0.2372991520196819,5.242144489272963,220.5429431703203,145.5537697844527,31.24054299666632,176.794312781119,160.3754371506549,0.2737095088448614,0.7271846237528471,0.0,0.0,0.0,0.0,329.84375,8812.5,17.293212895323858
