DP, R, pitch, R_small, NB_small, sigma_small, thrust_main, thrust_small, torque_main, torque_small, moment_created, power_required, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_MAIN_HIGH, STALL_MAIN_LOW, STALL_SMALL_HIGH, STALL_SMALL_LOW, main_RPM, small_RPM, disk_loading
DP0, 0.97, 15.0, 0.1, 3, 0.08, 59.819097878139516, 5.747708475570396, 5.574434947385594, 0.0509883476597797, 5.575277221303284, 153.17654137048046, 154.0388774734314, 25.924315022610642, 179.96319249604204, 171.92145422075328, 0.3323962919776227, 0.955314538691207, 0.0, 0.0, 0.1111111111111111, 0.14814814814814814, 314.248046875, 7171.875, 20.237018001070915
DP1, 0.97, 15.0, 0.1, 3, 0.1, 61.50987275665585, 6.20668469259092, 5.939178171027342, 0.05889112233853751, 6.020484151813192, 175.5686006881989, 168.74501795172313, 27.34557056177816, 196.0905885135013, 179.26170803112413, 0.31368090239792795, 0.9141780306237468, 0.0, 0.0, 0.07407407407407407, 0.0, 321.2353515625, 7117.1875, 20.809013281273856
DP2, 0.97, 15.0, 0.12, 3, 0.08, 60.05432176793643, 6.128565931038758, 5.963847106339822, 0.06937158760816596, 5.944708953107595, 159.82066466496158, 168.93688671497384, 26.39134018987708, 195.3282269048509, 172.93650870357118, 0.3074533707675048, 0.8853636335306148, 0.0, 0.0, 0.037037037037037035, 0.1111111111111111, 317.5, 5500.0, 20.31659509703113
DP3, 0.97, 15.0, 0.12, 3, 0.1, 42.498852409828494, 6.600969003546156, 4.337298421984818, 0.07284107340349659, 6.402939933439772, 152.67717331699444, 102.7656601379322, 18.384104759461383, 121.14976489739358, 102.95230908877663, 0.3507959957315841, 0.8497937175195587, 0.0, 0.0, 0.0, 0.0, 272.4560546875, 5001.953125, 14.377516073455444
DP4, 0.97, 20.0, 0.1, 3, 0.08, 61.53306624573927, 6.512141022810809, 6.5566581920215095, 0.059504879414706106, 6.316776792126484, 183.82442382162074, 182.11150143847942, 22.898459364533004, 205.00996080301243, 179.36310873786604, 0.30014671484603833, 0.8748994831046788, 0.0, 0.0, 0.3333333333333333, 0.037037037037037035, 300.712890625, 7375.0, 20.81685972284081
DP5, 0.97, 20.0, 0.1, 3, 0.1, 60.02925958920605, 6.304025326937862, 6.1683837449758485, 0.05348092845212128, 6.1149045671297255, 156.8142724701892, 165.78784363460218, 23.666333471317746, 189.45417710591994, 172.82826386767888, 0.3168537136853146, 0.9122430896366784, 0.0, 0.0, 0.07407407407407407, 0.07407407407407407, 301.328125, 7000.0, 20.30811647097184
DP6, 0.97, 20.0, 0.12, 3, 0.08, 48.29200311722666, 5.47362529035688, 5.100424393601939, 0.06226154900611439, 5.309416531646174, 130.5021585271526, 122.77000388082672, 18.391951432401065, 141.1619553132278, 124.70478478406038, 0.3421035293119193, 0.8834163886958764, 0.0, 0.0, 0.0, 0.0, 272.2802734375, 5001.953125, 16.337359991318614
DP7, 0.97, 20.0, 0.12, 3, 0.1, 59.642985916859466, 6.80842785884162, 6.0325539717251315, 0.07732004382581222, 6.604175023076372, 166.61976226256732, 160.13167531000383, 22.261484868417377, 182.3931601784212, 171.1627885974785, 0.3270023166357517, 0.938427671465548, 0.0, 0.0, 0.037037037037037035, 0.037037037037037035, 295.6591796875, 5142.578125, 20.17743868514929
DP8, 1.03, 15.0, 0.1, 3, 0.08, 54.57283496191656, 6.67837762132595, 10.48126158372144, 0.06190281046671634, 6.878728949965729, 167.58138773630745, 112.53810548172777, 23.627833955926587, 136.16593943765434, 141.08133791687175, 0.4007818341891848, 1.036098590436913, 0.0, 0.07142857142857142, 0.14814814814814814, 0.037037037037037035, 282.0361328125, 6462.890625, 16.37390223909365
DP9, 1.03, 15.0, 0.1, 3, 0.1, 60.526217067810606, 6.057801277800363, 6.233926047734603, 0.05997609254829558, 6.239535316134374, 158.587213548462, 156.086941161158, 26.0152708524332, 182.10221201359118, 164.78591708776338, 0.33237496897233315, 0.9049089259578275, 0.0, 0.0, 0.0, 0.037037037037037035, 284.541015625, 6312.5, 18.16014069751174
DP10, 1.03, 15.0, 0.12, 3, 0.08, 48.714890935980044, 9.970751325980759, 2.5331549418984536, 0.11631874585215085, 10.269873865760182, 255.79828221072677, 68.25129817922067, 24.874402936059315, 93.12570111527998, 118.98642020085448, 0.5231089844432533, 1.277696906180192, 0.07142857142857142, 0.07142857142857142, 0.0, 0.037037037037037035, 278.8720703125, 5250.0, 14.616298792805717
DP0, 0.97, 15.0, 0.1, 3, 0.08, 51.573493530072675, 5.175760146103509, 5.006638632649933, 0.048383229195891754, 5.020487341720404, 141.90662100900303, 129.22141027191898, 22.359842610193347, 151.58125288211232, 137.6290505115472, 0.3402366225999094, 0.9079556204657049, 0.0, 0.0, 0.07407407407407407, 0.037037037037037035, 294.9560546875, 7001.953125, 17.447500112294502
