DP, R, diagonal, NB, sigma, theta, thrust, torque, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_HIGH, STALL_LOW, main_RPM, disk_loading
DP0, 0.225, 1, 2.0, 0.08, 15.0, 59.94965034127658, 1.316343314859349, 353.31711326855947, 306.38437485729526, 659.7014881258547, 743.6001778345367, 0.09087390497115216, 1.127176747693915, 0.0, 0.0, 5473.6328125, 94.23489568834466
DP1, 0.225, 1, 2.0, 0.08, 20.0, 59.894107691355515, 1.4271216509069666, 351.1004327364109, 269.88390089955834, 620.9843336359693, 742.5670119286193, 0.09645027168506054, 1.1957902505861342, 0.0, 0.0, 5110.3515625, 94.14758815958061
DP2, 0.225, 1, 2.0, 0.1, 15.0, 60.00446152763461, 1.279541386216465, 370.20368625339256, 247.3704361055818, 617.5741223589744, 744.6202068666447, 0.09716155414419406, 1.205717953372766, 0.0, 0.0, 5078.125, 94.32105342904207
DP3, 0.225, 1, 2.0, 0.1, 20.0, 59.84633837225877, 1.4002867949378224, 367.1030358640616, 221.42119990164744, 588.524235765709, 741.6788232186273, 0.10168882560018062, 1.2602349710435525, 0.0, 0.0, 4700.1953125, 94.07249953476698
DP4, 0.225, 1, 3.0, 0.08, 15.0, 170.85879175765047, -110.83290207491751, -71807.64332503517, 518.9646496235871, -71288.67867541159, 3577.7953863005228, -0.002396717051463347, -0.05018742741173223, 0.46111111111111114, 0.4444444444444444, 7000, 268.5730496685319
DP5, 0.225, 1, 3.0, 0.08, 20.0, 74.06679211652096, -46.32486975480077, -36329.54699050871, 548.8416525123573, -35780.705337996355, 1021.162379301993, -0.002070020459822175, -0.028539470355761747, 0.6055555555555555, 0.25555555555555554, 7000, 116.42564033880626
DP6, 0.225, 1, 3.0, 0.1, 15.0, 337.261344773532, -174.4713195909896, -112130.30802552673, 296.0992416026732, -111834.20878392406, 9922.231473923714, -0.003015726122095234, -0.08872268675047858, 0.5444444444444444, 0.39444444444444443, 5875.0, 530.1413346620008
DP7, 0.225, 1, 3.0, 0.1, 20.0, 71.65489478356425, 1.2799579020422676, -171.39511132313723, 742.1502901443844, 570.7551788212471, 971.6912619587426, 0.12554401158750694, 1.702465957410197, 0.12222222222222222, 0.08888888888888889, 7000, 112.6343772991004
DP8, 0.225, 1, 2.0, 0.08, 15.0, 59.92421528766904, 1.2846531809349422, 334.33349938628635, 301.7714964626172, 636.1049958489036, 743.1269931534626, 0.09420491220588223, 1.1682458053355398, 0.0, 0.0, 5415.0390625, 94.19491431047358
DP9, 0.225, 1, 2.0, 0.08, 20.0, 59.8420818071581, 1.3941890720011125, 336.51696598439185, 267.27812445768467, 603.7950904420766, 741.5996968724393, 0.0991099178420678, 1.2282307501531144, 0.0, 0.0, 5075.1953125, 94.06580863722264
