# Export File Created with QBlade CE v2.0.7.7_beta windows on 19.05.2025 at 19:00:49
30_7 3D correction 0.01	30_7 No correction 0.01	30_7 Simulation(all corrections) 0.01	30_7 TipLoss 0.01
Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
1.0085350e-01	3.5858216e+00	1.0085350e-01	6.9534421e+00	1.0085350e-01	3.5858216e+00	1.0085350e-01	6.9534421e+00
1.0341077e-01	3.7349381e+00	1.0341077e-01	7.0812302e+00	1.0341077e-01	3.7349381e+00	1.0341077e-01	7.0812302e+00
1.0766210e-01	3.9795477e+00	1.0766210e-01	7.2791433e+00	1.0766210e-01	3.9795477e+00	1.0766210e-01	7.2791433e+00
1.1359138e-01	4.3064284e+00	1.1359138e-01	7.5361409e+00	1.1359138e-01	4.3064284e+00	1.1359138e-01	7.5361409e+00
1.2117610e-01	4.7071819e+00	1.2117610e-01	7.8354640e+00	1.2117610e-01	4.7071819e+00	1.2117610e-01	7.8354640e+00
1.3038750e-01	5.1600003e+00	1.3038750e-01	8.1547565e+00	1.3038750e-01	5.1600003e+00	1.3038750e-01	8.1547565e+00
1.4119063e-01	5.6474338e+00	1.4119063e-01	8.4770908e+00	1.4119063e-01	5.6474338e+00	1.4119063e-01	8.4770908e+00
1.5354452e-01	6.1684713e+00	1.5354452e-01	8.8269434e+00	1.5354452e-01	6.1684713e+00	1.5354452e-01	8.8269434e+00
1.6740228e-01	6.7061262e+00	1.6740228e-01	9.2772341e+00	1.6740228e-01	6.7061262e+00	1.6740228e-01	9.2772341e+00
1.8271139e-01	7.2319255e+00	1.8271139e-01	1.0206207e+01	1.8271139e-01	7.2319255e+00	1.8271139e-01	1.0206207e+01
1.9941375e-01	7.7212915e+00	1.9941375e-01	1.1149515e+01	1.9941375e-01	7.7212915e+00	1.9941375e-01	1.1149515e+01
2.1744598e-01	8.1561813e+00	2.1744598e-01	1.1772860e+01	2.1744598e-01	8.1561813e+00	2.1744598e-01	1.1772860e+01
2.3673972e-01	8.5242615e+00	2.3673972e-01	1.2121389e+01	2.3673972e-01	8.5242605e+00	2.3673972e-01	1.2121389e+01
2.5722176e-01	8.8326702e+00	2.5722176e-01	1.2245858e+01	2.5722176e-01	8.8326693e+00	2.5722176e-01	1.2245858e+01
2.7881441e-01	9.0831909e+00	2.7881441e-01	1.2193385e+01	2.7881441e-01	9.0831861e+00	2.7881441e-01	1.2193385e+01
3.0143577e-01	9.2867908e+00	3.0143577e-01	1.2003090e+01	3.0143577e-01	9.2867813e+00	3.0143577e-01	1.2003088e+01
3.2499999e-01	9.4072971e+00	3.2499999e-01	1.1705513e+01	3.2499999e-01	9.4072762e+00	3.2499999e-01	1.1705508e+01
3.4941775e-01	9.4443750e+00	3.4941775e-01	1.1323907e+01	3.4941775e-01	9.4443302e+00	3.4941775e-01	1.1323891e+01
3.7459636e-01	9.4008636e+00	3.7459636e-01	1.0875901e+01	3.7459636e-01	9.4007711e+00	3.7459636e-01	1.0875853e+01
4.0044034e-01	9.2817926e+00	4.0044034e-01	1.0375039e+01	4.0044034e-01	9.2816076e+00	4.0044034e-01	1.0374905e+01
4.2685166e-01	9.0935450e+00	4.2685166e-01	9.8319483e+00	4.2685166e-01	9.0931816e+00	4.2685166e-01	9.8315964e+00
4.5373011e-01	8.8800898e+00	4.5373011e-01	9.3389063e+00	4.5373011e-01	8.8795767e+00	4.5373011e-01	9.3383799e+00
4.8097375e-01	8.6475439e+00	4.8097375e-01	8.9496469e+00	4.8097375e-01	8.6466436e+00	4.8097375e-01	8.9489079e+00
5.0847924e-01	8.3862495e+00	5.0847924e-01	8.6343241e+00	5.0847924e-01	8.3848114e+00	5.0847924e-01	8.6330156e+00
5.3614223e-01	8.1045561e+00	5.3614223e-01	8.3091993e+00	5.3614223e-01	8.1022034e+00	5.3614223e-01	8.3071337e+00
5.6385779e-01	7.7951684e+00	5.6385779e-01	7.9734869e+00	5.6385779e-01	7.7913442e+00	5.6385779e-01	7.9700513e+00
5.9152073e-01	7.4633155e+00	5.9152073e-01	7.6159172e+00	5.9152073e-01	7.4573112e+00	5.9152073e-01	7.6104317e+00
6.1902624e-01	7.1137776e+00	6.1902624e-01	7.2444901e+00	6.1902624e-01	7.1045699e+00	6.1902624e-01	7.2359052e+00
6.4626986e-01	6.7438264e+00	6.4626986e-01	6.8583236e+00	6.4626986e-01	6.7294855e+00	6.4626986e-01	6.8447428e+00
6.7314833e-01	6.3604937e+00	6.7314833e-01	6.4572091e+00	6.7314833e-01	6.3390822e+00	6.7314833e-01	6.4366708e+00
6.9955963e-01	5.9699569e+00	6.9955963e-01	6.0515633e+00	6.9955963e-01	5.9380031e+00	6.9955963e-01	6.0211616e+00
