# Export File Created with QBlade CE v2.0.7.7_beta windows on 19.05.2025 at 19:29:48
	20_7 3D 0.01	20_7 no correction 0.01	20_7 Simulation 0.01	20_7 TipLoss 0.01
	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
	1.0085350e-01	9.4149745e-01	1.0085350e-01	1.8529319e+00	1.0085350e-01	9.4149745e-01	1.0085350e-01	1.8529319e+00
	1.0341077e-01	1.0207896e+00	1.0341077e-01	1.9287305e+00	1.0341077e-01	1.0207896e+00	1.0341077e-01	1.9287305e+00
	1.0766210e-01	1.1469792e+00	1.0766210e-01	2.0529330e+00	1.0766210e-01	1.1469792e+00	1.0766210e-01	2.0529330e+00
	1.1359138e-01	1.3200122e+00	1.1359138e-01	2.2219741e+00	1.1359138e-01	1.3200122e+00	1.1359138e-01	2.2219741e+00
	1.2117610e-01	1.5338306e+00	1.2117610e-01	2.4237545e+00	1.2117610e-01	1.5338306e+00	1.2117610e-01	2.4237545e+00
	1.3038750e-01	1.7776340e+00	1.3038750e-01	2.6487529e+00	1.3038750e-01	1.7776340e+00	1.3038750e-01	2.6487529e+00
	1.4119063e-01	2.0484819e+00	1.4119063e-01	2.8876667e+00	1.4119063e-01	2.0484819e+00	1.4119063e-01	2.8876667e+00
	1.5354452e-01	2.3350835e+00	1.5354452e-01	3.1328323e+00	1.5354452e-01	2.3350835e+00	1.5354452e-01	3.1328323e+00
	1.6740228e-01	2.6318519e+00	1.6740228e-01	3.3760805e+00	1.6740228e-01	2.6318519e+00	1.6740228e-01	3.3760805e+00
	1.8271139e-01	2.9276142e+00	1.8271139e-01	3.6110032e+00	1.8271139e-01	2.9276142e+00	1.8271139e-01	3.6110032e+00
	1.9941375e-01	3.2126501e+00	1.9941375e-01	3.8319604e+00	1.9941375e-01	3.2126501e+00	1.9941375e-01	3.8319604e+00
	2.1744598e-01	3.4789674e+00	2.1744598e-01	4.0339289e+00	2.1744598e-01	3.4789674e+00	2.1744598e-01	4.0339289e+00
	2.3673972e-01	3.7212865e+00	2.3673972e-01	4.2162910e+00	2.3673972e-01	3.7212865e+00	2.3673972e-01	4.2162910e+00
	2.5722176e-01	3.9348428e+00	2.5722176e-01	4.3727908e+00	2.5722176e-01	3.9348428e+00	2.5722176e-01	4.3727908e+00
	2.7881441e-01	4.1183619e+00	2.7881441e-01	4.5022449e+00	2.7881441e-01	4.1183619e+00	2.7881441e-01	4.5022449e+00
	3.0143577e-01	4.2699780e+00	3.0143577e-01	4.6059747e+00	3.0143577e-01	4.2699776e+00	3.0143577e-01	4.6059747e+00
	3.2499999e-01	4.3887649e+00	3.2499999e-01	4.6816263e+00	3.2499999e-01	4.3887634e+00	3.2499999e-01	4.6816254e+00
	3.4941775e-01	4.4753561e+00	3.4941775e-01	4.7298317e+00	3.4941775e-01	4.4753532e+00	3.4941775e-01	4.7298293e+00
	3.7459636e-01	4.5313950e+00	3.7459636e-01	4.7515936e+00	3.7459636e-01	4.5313869e+00	3.7459636e-01	4.7515869e+00
	4.0044034e-01	4.5581155e+00	4.0044034e-01	4.7481995e+00	4.0044034e-01	4.5580959e+00	4.0044034e-01	4.7481833e+00
	4.2685166e-01	4.5571485e+00	4.2685166e-01	4.7211494e+00	4.2685166e-01	4.5571051e+00	4.2685166e-01	4.7211118e+00
	4.5373011e-01	4.5306091e+00	4.5373011e-01	4.6721005e+00	4.5373011e-01	4.5305157e+00	4.5373011e-01	4.6720176e+00
	4.8097375e-01	4.4809670e+00	4.8097375e-01	4.6028228e+00	4.8097375e-01	4.4807782e+00	4.8097375e-01	4.6026497e+00
