# Export File Created with QBlade CE v2.0.7.7_beta windows on 19.05.2025 at 19:39:42
	20_7 3D 1.33	20_7 no correction 1.33	20_7 Simulation 1.33	20_7 TipLoss 1.33
	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
	1.0085350e-01	-1.8162293e+00	1.0085350e-01	-1.7774994e+00	1.0085350e-01	-1.8162293e+00	1.0085350e-01	-1.7774994e+00
	1.0341077e-01	-1.7253678e+00	1.0341077e-01	-1.6745763e+00	1.0341077e-01	-1.7253678e+00	1.0341077e-01	-1.6745763e+00
	1.0766210e-01	-1.5759146e+00	1.0766210e-01	-1.5081125e+00	1.0766210e-01	-1.5759146e+00	1.0766210e-01	-1.5081125e+00
	1.1359138e-01	-1.3716829e+00	1.1359138e-01	-1.2851778e+00	1.1359138e-01	-1.3716829e+00	1.1359138e-01	-1.2851778e+00
	1.2117610e-01	-1.1186147e+00	1.2117610e-01	-1.0153121e+00	1.2117610e-01	-1.1186147e+00	1.2117610e-01	-1.0153121e+00
	1.3038750e-01	-8.2256454e-01	1.3038750e-01	-7.1584356e-01	1.3038750e-01	-8.2256454e-01	1.3038750e-01	-7.1584356e-01
	1.4119063e-01	-4.9687770e-01	1.4119063e-01	-3.8156056e-01	1.4119063e-01	-4.9687770e-01	1.4119063e-01	-3.8156056e-01
	1.5354452e-01	-1.6171435e-01	1.5354452e-01	-1.2227180e-02	1.5354452e-01	-1.6171435e-01	1.5354452e-01	-1.2227180e-02
	1.6740228e-01	1.8990450e-01	1.6740228e-01	3.5764650e-01	1.6740228e-01	1.8990450e-01	1.6740228e-01	3.5764650e-01
	1.8271139e-01	5.4586011e-01	1.8271139e-01	7.2700554e-01	1.8271139e-01	5.4586011e-01	1.8271139e-01	7.2700554e-01
	1.9941375e-01	8.9751798e-01	1.9941375e-01	1.0873623e+00	1.9941375e-01	8.9751798e-01	1.9941375e-01	1.0873623e+00
	2.1744598e-01	1.2380911e+00	2.1744598e-01	1.4329604e+00	2.1744598e-01	1.2380911e+00	2.1744598e-01	1.4329604e+00
	2.3673972e-01	1.5606458e+00	2.3673972e-01	1.7588427e+00	2.3673972e-01	1.5606457e+00	2.3673972e-01	1.7588427e+00
	2.5722176e-01	1.8615440e+00	2.5722176e-01	2.0557728e+00	2.5722176e-01	1.8615438e+00	2.5722176e-01	2.0557725e+00
	2.7881441e-01	2.1354504e+00	2.7881441e-01	2.3253365e+00	2.7881441e-01	2.1354496e+00	2.7881441e-01	2.3253357e+00
	3.0143577e-01	2.3793364e+00	3.0143577e-01	2.5571871e+00	3.0143577e-01	2.3793342e+00	3.0143577e-01	2.5571852e+00
	3.2499999e-01	2.5885530e+00	3.2499999e-01	2.7516999e+00	3.2499999e-01	2.5885475e+00	3.2499999e-01	2.7516949e+00
	3.4941775e-01	2.7625375e+00	3.4941775e-01	2.9101846e+00	3.4941775e-01	2.7625244e+00	3.4941775e-01	2.9101727e+00
	3.7459636e-01	2.9018741e+00	3.7459636e-01	3.0343740e+00	3.7459636e-01	2.9018440e+00	3.7459636e-01	3.0343461e+00
	4.0044034e-01	3.0078273e+00	4.0044034e-01	3.1262269e+00	4.0044034e-01	3.0077624e+00	4.0044034e-01	3.1261666e+00
	4.2685166e-01	3.0823977e+00	4.2685166e-01	3.1872659e+00	4.2685166e-01	3.0822656e+00	4.2685166e-01	3.1871417e+00
	4.5373011e-01	3.1271920e+00	4.5373011e-01	3.2197154e+00	4.5373011e-01	3.1269352e+00	4.5373011e-01	3.2194715e+00
	4.8097375e-01	3.1444716e+00	4.8097375e-01	3.2258816e+00	4.8097375e-01	3.1439936e+00	4.8097375e-01	3.2254238e+00
	5.0847924e-01	3.1366100e+00	5.0847924e-01	3.2081084e+00	5.0847924e-01	3.1357529e+00	5.0847924e-01	3.2072818e+00
	5.3614223e-01	3.1060305e+00	5.3614223e-01	3.1687460e+00	5.3614223e-01	3.1045468e+00	5.3614223e-01	3.1673059e+00
	5.6385779e-01	3.0551581e+00	5.6385779e-01	3.1101253e+00	5.6385779e-01	3.0526693e+00	5.6385779e-01	3.1076965e+00
	5.9152073e-01	2.9864492e+00	5.9152073e-01	3.0345366e+00	5.9152073e-01	2.9824121e+00	5.9152073e-01	3.0305593e+00
	6.1902624e-01	2.9025180e+00	6.1902624e-01	2.9445148e+00	6.1902624e-01	2.8961098e+00	6.1902624e-01	2.9382088e+00
	6.4626986e-01	2.8053653e+00	6.4626986e-01	2.8421826e+00	6.4626986e-01	2.7954347e+00	6.4626986e-01	2.8323767e+00
	6.7314833e-01	2.6971793e+00	6.7314833e-01	2.7294579e+00	6.7314833e-01	2.6821258e+00	6.7314833e-01	2.7145498e+00
	6.9955963e-01	2.5800593e+00	6.9955963e-01	2.6083605e+00	6.9955963e-01	2.5576992e+00	6.9955963e-01	2.5861607e+00
	7.2540361e-01	2.4559722e+00	7.2540361e-01	2.4808097e+00	7.2540361e-01	2.4233418e+00	7.2540361e-01	2.4483414e+00
	7.5058228e-01	2.3267941e+00	7.5058228e-01	2.3485606e+00	7.5058228e-01	2.2800419e+00	7.5058228e-01	2.3019552e+00
	7.7499998e-01	2.1944222e+00	7.7499998e-01	2.2134941e+00	7.7499998e-01	2.1285107e+00	7.7499998e-01	2.1476867e+00
	7.9856426e-01	2.0605805e+00	7.9856426e-01	2.0772870e+00	7.9856426e-01	1.9699007e+00	7.9856426e-01	1.9861934e+00
	8.2118559e-01	1.9431375e+00	8.2118559e-01	1.9431375e+00	8.2118559e-01	1.8215168e+00	8.2118559e-01	1.8215168e+00
	8.4277821e-01	1.8129878e+00	8.4277821e-01	1.8129878e+00	8.4277821e-01	1.6489000e+00	8.4277821e-01	1.6489000e+00
	8.6326027e-01	1.6860477e+00	8.6326027e-01	1.6860477e+00	8.6326027e-01	1.4683239e+00	8.6326027e-01	1.4683239e+00
	8.8255399e-01	1.5635743e+00	8.8255399e-01	1.5635743e+00	8.8255399e-01	1.2820412e+00	8.8255399e-01	1.2820412e+00
	9.0058625e-01	1.4480430e+00	9.0058625e-01	1.4480430e+00	9.0058625e-01	1.0843211e+00	9.0058625e-01	1.0843211e+00
	9.1728860e-01	1.3406075e+00	9.1728860e-01	1.3406075e+00	9.1728860e-01	8.7625772e-01	9.1728860e-01	8.7625772e-01
	9.3259770e-01	1.2406352e+00	9.3259770e-01	1.2406352e+00	9.3259770e-01	6.5459633e-01	9.3259770e-01	6.5459633e-01
	9.4645548e-01	1.1489713e+00	9.4645548e-01	1.1489713e+00	9.4645548e-01	4.1595608e-01	9.4645548e-01	4.1595608e-01
	9.5880938e-01	1.0663644e+00	9.5880938e-01	1.0663644e+00	9.5880938e-01	1.5862742e-01	9.5880938e-01	1.5862742e-01
	9.6961248e-01	9.9361360e-01	9.6961248e-01	9.9361360e-01	9.6961248e-01	-1.2756360e-01	9.6961248e-01	-1.2756360e-01
	9.7882390e-01	9.3237513e-01	9.7882390e-01	9.3237513e-01	9.7882390e-01	-4.5091110e-01	9.7882390e-01	-4.5091110e-01
	9.8640859e-01	8.8165063e-01	9.8640859e-01	8.8165063e-01	9.8640859e-01	-7.9334420e-01	9.8640859e-01	-7.9334420e-01
	9.9233788e-01	8.4181392e-01	9.9233788e-01	8.4181392e-01	9.9233788e-01	-1.1892374e+00	9.9233788e-01	-1.1892374e+00
	9.9658924e-01	8.1315482e-01	9.9658924e-01	8.1315482e-01	9.9658924e-01	-1.6654013e+00	9.9658924e-01	-1.6654013e+00
	9.9914646e-01	7.9587770e-01	9.9914646e-01	7.9587770e-01	9.9914646e-01	-2.2342815e+00	9.9914646e-01	-2.2342815e+00
