# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 17:51:34
30_7 Simulation 2.53
Radius [m]	Angle of Attack [deg]
1.0085350e-01	-3.1048226e+00
1.0341077e-01	-2.8718593e+00
1.0766210e-01	-2.4965281e+00
1.1359138e-01	-1.9974791e+00
1.2117610e-01	-1.3990066e+00
1.3038750e-01	-7.2881824e-01
1.4119063e-01	-1.5700454e-02
1.5354452e-01	7.3109680e-01
1.6740228e-01	1.4256903e+00
1.8271139e-01	2.0866227e+00
1.9941375e-01	2.7114766e+00
2.1744598e-01	3.2937975e+00
2.3673972e-01	3.8240354e+00
2.5722176e-01	4.2941465e+00
2.7881441e-01	4.7012749e+00
3.0143577e-01	5.0433450e+00
3.2499999e-01	5.3232861e+00
3.4941775e-01	5.5368395e+00
3.7459636e-01	5.6954408e+00
4.0044034e-01	5.7841449e+00
4.2685166e-01	5.8074641e+00
4.5373011e-01	5.7705197e+00
4.8097375e-01	5.6787214e+00
5.0847924e-01	5.5375252e+00
5.3614223e-01	5.3674331e+00
5.6385779e-01	5.1663303e+00
5.9152073e-01	4.9370933e+00
6.1902624e-01	4.6884365e+00
6.4626986e-01	4.4199996e+00
6.7314833e-01	4.1380339e+00
6.9955963e-01	3.8430581e+00
7.2540361e-01	3.5379097e+00
7.5058228e-01	3.2267532e+00
7.7499998e-01	2.9110053e+00
7.9856426e-01	2.5945835e+00
8.2118559e-01	2.2808230e+00
8.4277821e-01	1.9687921e+00
8.6326027e-01	1.6640561e+00
8.8255399e-01	1.3625600e+00
9.0058625e-01	1.0650748e+00
9.1728860e-01	7.7516568e-01
9.3259770e-01	4.8881942e-01
9.4645548e-01	2.3049840e-01
9.5880938e-01	-3.4549162e-02
9.6961248e-01	-3.5902646e-01
9.7882390e-01	-7.0171982e-01
9.8640859e-01	-1.0734826e+00
9.9233788e-01	-1.4905566e+00
9.9658924e-01	-1.9791468e+00
9.9914646e-01	-2.5825274e+00
