# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 18:04:44
30_7 Simulation 2.53
Radius [m]	Drag Coefficient Cd [-]
1.0085350e-01	1.2114361e-02
1.0341077e-01	1.2105780e-02
1.0766210e-01	1.2091955e-02
1.1359138e-01	1.2073573e-02
1.2117610e-01	1.2051529e-02
1.3038750e-01	1.2430905e-02
1.4119063e-01	1.3467184e-02
1.5354452e-01	1.3050586e-02
1.6740228e-01	1.2704182e-02
1.8271139e-01	1.2370153e-02
1.9941375e-01	1.2036196e-02
2.1744598e-01	1.1951643e-02
2.3673972e-01	1.2224421e-02
2.5722176e-01	1.2535903e-02
2.7881441e-01	1.2909453e-02
3.0143577e-01	1.3343625e-02
3.2499999e-01	1.3948297e-02
3.4941775e-01	1.4580510e-02
3.7459636e-01	1.5658999e-02
4.0044034e-01	1.6262185e-02
4.2685166e-01	1.6420756e-02
4.5373011e-01	1.6169535e-02
4.8097375e-01	1.5545307e-02
5.0847924e-01	1.4585169e-02
5.3614223e-01	1.4043655e-02
5.6385779e-01	1.3609273e-02
5.9152073e-01	1.3178286e-02
6.1902624e-01	1.2894818e-02
6.4626986e-01	1.2623999e-02
6.7314833e-01	1.2426624e-02
6.9955963e-01	1.2235835e-02
7.2540361e-01	1.2052746e-02
7.5058228e-01	1.1926166e-02
7.7499998e-01	1.1900516e-02
7.9856426e-01	1.2115682e-02
8.2118559e-01	1.2280821e-02
8.4277821e-01	1.2426228e-02
8.6326027e-01	1.2584691e-02
8.8255399e-01	1.2733223e-02
9.0058625e-01	1.2870066e-02
9.1728860e-01	1.3025908e-02
9.3259770e-01	1.3186932e-02
9.4645548e-01	1.3347091e-02
9.5880938e-01	1.3439794e-02
9.6961248e-01	1.2968275e-02
9.7882390e-01	1.2470284e-02
9.8640859e-01	1.2039539e-02
9.9233788e-01	1.2054902e-02
9.9658924e-01	1.2072898e-02
9.9914646e-01	1.2095123e-02
