# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 17:51:17
30_7 Simulation 2.53
Radius [m]	Inflow Angle [deg]
1.0085350e-01	3.3083012e+01
1.0341077e-01	3.2784695e+01
1.0766210e-01	3.2300720e+01
1.1359138e-01	3.1650143e+01
1.2117610e-01	3.0857840e+01
1.3038750e-01	2.9952250e+01
1.4119063e-01	2.8963053e+01
1.5354452e-01	2.7900543e+01
1.6740228e-01	2.6851807e+01
1.8271139e-01	2.5799643e+01
1.9941375e-01	2.4747950e+01
2.1744598e-01	2.3704805e+01
2.3673972e-01	2.2681505e+01
2.5722176e-01	2.1687965e+01
2.7881441e-01	2.0729023e+01
3.0143577e-01	1.9808853e+01
3.2499999e-01	1.8926714e+01
3.4941775e-01	1.8089151e+01
3.7459636e-01	1.7287098e+01
4.0044034e-01	1.6537935e+01
4.2685166e-01	1.5839662e+01
4.5373011e-01	1.5189710e+01
4.8097375e-01	1.4585282e+01
5.0847924e-01	1.4023561e+01
5.3614223e-01	1.3486710e+01
5.6385779e-01	1.2979527e+01
5.9152073e-01	1.2501820e+01
6.1902624e-01	1.2047560e+01
6.4626986e-01	1.1619770e+01
6.7314833e-01	1.1214842e+01
6.9955963e-01	1.0834863e+01
7.2540361e-01	1.0479553e+01
7.5058228e-01	1.0147256e+01
7.7499998e-01	9.8389950e+00
7.9856426e-01	9.5532198e+00
8.2118559e-01	9.2888794e+00
8.4277821e-01	9.0490980e+00
8.6326027e-01	8.8304043e+00
8.8255399e-01	8.6388378e+00
9.0058625e-01	8.4754992e+00
9.1728860e-01	8.3385706e+00
9.3259770e-01	8.2336845e+00
9.4645548e-01	8.1378622e+00
9.5880938e-01	8.0871983e+00
9.6961248e-01	8.1355963e+00
9.7882390e-01	8.2428875e+00
9.8640859e-01	8.4208183e+00
9.9233788e-01	8.6863661e+00
9.9658924e-01	9.0663109e+00
9.9914646e-01	9.6043396e+00
