# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 18:07:24
30_7 Simulation 2.53
Radius [m]	Normal Force [N/m]
1.0085350e-01	1.6709644e-01
1.0341077e-01	2.0662835e-01
1.0766210e-01	2.7745539e-01
1.1359138e-01	3.8716117e-01
1.2117610e-01	5.4659116e-01
1.3038750e-01	7.6953769e-01
1.4119063e-01	1.0728594e+00
1.5354452e-01	1.4719046e+00
1.6740228e-01	2.0045452e+00
1.8271139e-01	2.6859140e+00
1.9941375e-01	3.5320003e+00
2.1744598e-01	4.5556874e+00
2.3673972e-01	5.7682686e+00
2.5722176e-01	7.1781096e+00
2.7881441e-01	8.7859449e+00
3.0143577e-01	1.0588531e+01
3.2499999e-01	1.2570319e+01
3.4941775e-01	1.4728234e+01
3.7459636e-01	1.7018051e+01
4.0044034e-01	1.9472271e+01
4.2685166e-01	2.2079548e+01
4.5373011e-01	2.4825434e+01
4.8097375e-01	2.7692579e+01
5.0847924e-01	3.0660955e+01
5.3614223e-01	3.3597157e+01
5.6385779e-01	3.6496826e+01
5.9152073e-01	3.9329243e+01
6.1902624e-01	4.2007675e+01
6.4626986e-01	4.4525951e+01
6.7314833e-01	4.6813107e+01
6.9955963e-01	4.8860836e+01
7.2540361e-01	5.0638271e+01
7.5058228e-01	5.2095703e+01
7.7499998e-01	5.3219997e+01
7.9856426e-01	5.3962017e+01
8.2118559e-01	5.4275341e+01
8.4277821e-01	5.4182625e+01
8.6326027e-01	5.3604294e+01
8.8255399e-01	5.2612988e+01
9.0058625e-01	5.1201759e+01
9.1728860e-01	4.9316986e+01
9.3259770e-01	4.7013760e+01
9.4645548e-01	4.3949223e+01
9.5880938e-01	4.0592575e+01
9.6961248e-01	3.7438423e+01
9.7882390e-01	3.3778557e+01
9.8640859e-01	2.9497025e+01
9.9233788e-01	2.4407560e+01
9.9658924e-01	1.8209072e+01
9.9914646e-01	1.0389257e+01
