# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 18:07:04
30_7 Simulation 2.53
Radius [m]	Tangential Force Coefficient Ct [-]
1.0085350e-01	8.6940251e-02
1.0341077e-01	9.9679723e-02
1.0766210e-01	1.1984380e-01
1.1359138e-01	1.4592806e-01
1.2117610e-01	1.7603871e-01
1.3038750e-01	2.0846558e-01
1.4119063e-01	2.4143904e-01
1.5354452e-01	2.7019247e-01
1.6740228e-01	2.9832470e-01
1.8271139e-01	3.2280087e-01
1.9941375e-01	3.4224796e-01
2.1744598e-01	3.5633576e-01
2.3673972e-01	3.6534816e-01
2.5722176e-01	3.6951077e-01
2.7881441e-01	3.6934170e-01
3.0143577e-01	3.6550349e-01
3.2499999e-01	3.5852703e-01
3.4941775e-01	3.4931669e-01
3.7459636e-01	3.3815905e-01
4.0044034e-01	3.2601303e-01
4.2685166e-01	3.1324473e-01
4.5373011e-01	3.0012804e-01
4.8097375e-01	2.8686780e-01
5.0847924e-01	2.7361754e-01
5.3614223e-01	2.6013717e-01
5.6385779e-01	2.4673662e-01
5.9152073e-01	2.3352297e-01
6.1902624e-01	2.2042288e-01
6.4626986e-01	2.0766702e-01
6.7314833e-01	1.9521143e-01
6.9955963e-01	1.8321988e-01
7.2540361e-01	1.7173958e-01
7.5058228e-01	1.6076529e-01
7.7499998e-01	1.5041912e-01
7.9856426e-01	1.4076115e-01
8.2118559e-01	1.3144262e-01
8.4277821e-01	1.2261865e-01
8.6326027e-01	1.1413064e-01
8.8255399e-01	1.0616013e-01
9.0058625e-01	9.8660693e-02
9.1728860e-01	9.1505326e-02
9.3259770e-01	8.4761262e-02
9.4645548e-01	7.7658303e-02
9.5880938e-01	7.1053021e-02
9.6961248e-01	6.5324277e-02
9.7882390e-01	5.9519675e-02
9.8640859e-01	5.3455360e-02
9.9233788e-01	4.7075734e-02
9.9658924e-01	3.9211005e-02
9.9914646e-01	2.8534079e-02
