# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 18:05:00
30_7 Simulation 2.53
Radius [m]	Lift Coefficient Cl [-]
1.0085350e-01	1.4067851e-01
1.0341077e-01	1.6529077e-01
1.0766210e-01	2.0514709e-01
1.1359138e-01	2.5851375e-01
1.2117610e-01	3.2304549e-01
1.3038750e-01	3.9596155e-01
1.4119063e-01	4.7425565e-01
1.5354452e-01	5.5276287e-01
1.6740228e-01	6.3537794e-01
1.8271139e-01	7.1609724e-01
1.9941375e-01	7.9143727e-01
2.1744598e-01	8.5913283e-01
2.3673972e-01	9.1820949e-01
2.5722176e-01	9.6836895e-01
2.7881441e-01	1.0093780e+00
3.0143577e-01	1.0415074e+00
3.2499999e-01	1.0646641e+00
3.4941775e-01	1.0803885e+00
3.7459636e-01	1.0876549e+00
4.0044034e-01	1.0905443e+00
4.2685166e-01	1.0897658e+00
4.5373011e-01	1.0859015e+00
4.8097375e-01	1.0794322e+00
5.0847924e-01	1.0707581e+00
5.3614223e-01	1.0568604e+00
5.6385779e-01	1.0395017e+00
5.9152073e-01	1.0193399e+00
6.1902624e-01	9.9563307e-01
6.4626986e-01	9.6964401e-01
6.7314833e-01	9.4104350e-01
6.9955963e-01	9.1075170e-01
7.2540361e-01	8.7906212e-01
7.5058228e-01	8.4587812e-01
7.7499998e-01	8.1164294e-01
7.9856426e-01	7.7615476e-01
8.2118559e-01	7.3924261e-01
8.4277821e-01	7.0159292e-01
8.6326027e-01	6.6246480e-01
8.8255399e-01	6.2295556e-01
9.0058625e-01	5.8303303e-01
9.1728860e-01	5.4210371e-01
9.3259770e-01	5.0073218e-01
9.4645548e-01	4.5526770e-01
9.5880938e-01	4.1048384e-01
9.6961248e-01	3.7088677e-01
9.7882390e-01	3.2906672e-01
9.8640859e-01	2.8369924e-01
9.9233788e-01	2.3280227e-01
9.9658924e-01	1.7317794e-01
9.9914646e-01	9.9545360e-02
