# Export File Created with QBlade CE v2.0.7.7_beta windows on 14.05.2025 at 18:21:22
30_7 Simulation 2.53
Radius [m]	Reynolds Number [-]
1.0085350e-01	2.9792268e+04
1.0341077e-01	3.0344402e+04
1.0766210e-01	3.1268109e+04
1.1359138e-01	3.2567943e+04
1.2117610e-01	3.4248672e+04
1.3038750e-01	3.6311094e+04
1.4119063e-01	3.8755098e+04
1.5354452e-01	4.1599191e+04
1.6740228e-01	4.4822629e+04
1.8271139e-01	4.8421602e+04
1.9941375e-01	5.2387918e+04
2.1744598e-01	5.6707703e+04
2.3673972e-01	6.1364879e+04
2.5722176e-01	6.6344766e+04
2.7881441e-01	7.1627945e+04
3.0143577e-01	7.7193172e+04
3.2499999e-01	8.3017133e+04
3.4941775e-01	8.9076375e+04
3.7459636e-01	9.5342734e+04
4.0044034e-01	1.0179781e+05
4.2685166e-01	1.0841551e+05
4.5373011e-01	1.1516929e+05
4.8097375e-01	1.2203230e+05
5.0847924e-01	1.2897741e+05
5.3614223e-01	1.3597017e+05
5.6385779e-01	1.4298575e+05
5.9152073e-01	1.4999797e+05
6.1902624e-01	1.5697848e+05
6.4626986e-01	1.6390133e+05
6.7314833e-01	1.7073944e+05
6.9955963e-01	1.7746714e+05
7.2540361e-01	1.8405878e+05
7.5058228e-01	1.9048883e+05
7.7499998e-01	1.9673188e+05
7.9856426e-01	2.0276180e+05
8.2118559e-01	2.0856278e+05
8.4277821e-01	2.1411250e+05
8.6326027e-01	2.1939055e+05
8.8255399e-01	2.2437819e+05
9.0058625e-01	2.2905816e+05
9.1728860e-01	2.3341395e+05
9.3259770e-01	2.3743184e+05
9.4645548e-01	2.4109653e+05
9.5880938e-01	2.4440216e+05
9.6961248e-01	2.4736922e+05
9.7882390e-01	2.4997656e+05
9.8640859e-01	2.5222780e+05
9.9233788e-01	2.5412909e+05
9.9658924e-01	2.5572388e+05
9.9914646e-01	2.5707291e+05
