  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00768   0.00320  -0.0000   0.8590   0.8590
   0.500   0.0521   0.00776   0.00325   0.0022   0.8159   0.8949
   1.000   0.1062   0.00799   0.00334   0.0039   0.7676   0.9253
   1.500   0.1697   0.00834   0.00350   0.0034   0.7128   0.9463
   2.000   0.2415   0.00875   0.00366   0.0007   0.6512   0.9621
   2.500   0.3192   0.00918   0.00383  -0.0036   0.5824   0.9744
   3.000   0.3974   0.00963   0.00398  -0.0083   0.5088   0.9860
   3.500   0.4773   0.01010   0.00416  -0.0137   0.4300   0.9961
   4.000   0.5384   0.01056   0.00432  -0.0155   0.3567   1.0000
   4.500   0.5831   0.01106   0.00456  -0.0138   0.2903   1.0000
   5.000   0.6260   0.01171   0.00492  -0.0118   0.2266   1.0000
   5.500   0.6674   0.01249   0.00544  -0.0095   0.1699   1.0000
   6.000   0.7078   0.01337   0.00612  -0.0069   0.1279   1.0000
   6.500   0.7474   0.01433   0.00695  -0.0041   0.1004   1.0000
   7.000   0.7858   0.01544   0.00798  -0.0010   0.0826   1.0000
   7.500   0.8245   0.01656   0.00909   0.0019   0.0705   1.0000
   8.000   0.8621   0.01785   0.01038   0.0050   0.0616   1.0000
   8.500   0.9011   0.01912   0.01166   0.0077   0.0549   1.0000
   9.000   0.9402   0.02056   0.01322   0.0103   0.0495   1.0000
   9.500   0.9769   0.02253   0.01520   0.0129   0.0454   1.0000
  10.000   1.0160   0.02398   0.01683   0.0152   0.0416   1.0000
  10.500   1.0512   0.02647   0.01937   0.0176   0.0388   1.0000
  11.000   1.0853   0.02851   0.02171   0.0203   0.0364   1.0000
  11.500   1.1174   0.03061   0.02386   0.0227   0.0342   1.0000
  12.000   1.1397   0.03402   0.02763   0.0260   0.0326   1.0000
  12.500   1.1494   0.03728   0.03128   0.0306   0.0313   1.0000
  13.000   1.1550   0.04087   0.03517   0.0343   0.0302   1.0000
  13.500   1.1583   0.04478   0.03930   0.0367   0.0293   1.0000
  14.000   1.1535   0.05087   0.04559   0.0378   0.0284   1.0000
  14.500   1.1217   0.05937   0.05459   0.0357   0.0282   1.0000
  15.000   1.0800   0.07135   0.06705   0.0293   0.0280   1.0000
   0.000   0.0000   0.00768   0.00320  -0.0000   0.8590   0.8590
   0.500   0.0521   0.00776   0.00325   0.0022   0.8159   0.8949
   1.000   0.1062   0.00799   0.00334   0.0039   0.7676   0.9253
   1.500   0.1697   0.00834   0.00350   0.0034   0.7128   0.9463
   2.000   0.2415   0.00875   0.00366   0.0007   0.6512   0.9621
   2.500   0.3192   0.00918   0.00383  -0.0036   0.5824   0.9744
   3.000   0.3974   0.00963   0.00398  -0.0083   0.5088   0.9860
   3.500   0.4773   0.01010   0.00416  -0.0137   0.4300   0.9961
   4.000   0.5384   0.01056   0.00432  -0.0155   0.3567   1.0000
   4.500   0.5831   0.01106   0.00456  -0.0138   0.2903   1.0000
   5.000   0.6260   0.01171   0.00492  -0.0118   0.2266   1.0000
   5.500   0.6674   0.01249   0.00544  -0.0095   0.1699   1.0000
   6.000   0.7078   0.01337   0.00612  -0.0069   0.1279   1.0000
   6.500   0.7474   0.01433   0.00695  -0.0041   0.1004   1.0000
   7.000   0.7858   0.01544   0.00798  -0.0010   0.0826   1.0000
   7.500   0.8245   0.01656   0.00909   0.0019   0.0705   1.0000
   8.000   0.8621   0.01785   0.01038   0.0050   0.0616   1.0000
   8.500   0.9011   0.01912   0.01166   0.0077   0.0549   1.0000
   9.000   0.9402   0.02056   0.01322   0.0103   0.0495   1.0000
   9.500   0.9769   0.02253   0.01520   0.0129   0.0454   1.0000
  10.000   1.0160   0.02398   0.01683   0.0152   0.0416   1.0000
  10.500   1.0512   0.02647   0.01937   0.0176   0.0388   1.0000
  11.000   1.0853   0.02851   0.02171   0.0203   0.0364   1.0000
  11.500   1.1174   0.03061   0.02386   0.0227   0.0342   1.0000
  12.000   1.1397   0.03402   0.02763   0.0260   0.0326   1.0000
  12.500   1.1494   0.03728   0.03128   0.0306   0.0313   1.0000
  13.000   1.1550   0.04087   0.03517   0.0343   0.0302   1.0000
  13.500   1.1583   0.04478   0.03930   0.0367   0.0293   1.0000
  14.000   1.1535   0.05087   0.04559   0.0378   0.0284   1.0000
  14.500   1.1217   0.05937   0.05459   0.0357   0.0282   1.0000
  15.000   1.0800   0.07135   0.06705   0.0293   0.0280   1.0000
