  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.474 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5045   0.00650   0.00214  -0.1226   0.8806   0.6687
   1.000   0.6083   0.00597   0.00196  -0.1196   0.8209   1.0000
   1.500   0.6624   0.00620   0.00200  -0.1188   0.7801   1.0000
   2.000   0.7153   0.00654   0.00207  -0.1178   0.7259   1.0000
   2.500   0.7692   0.00689   0.00226  -0.1171   0.6828   1.0000
   3.000   0.8228   0.00727   0.00249  -0.1165   0.6403   1.0000
   3.500   0.8754   0.00773   0.00279  -0.1157   0.5900   1.0000
   4.000   0.9266   0.00832   0.00314  -0.1147   0.5221   1.0000
   4.500   0.9759   0.00914   0.00362  -0.1135   0.4294   1.0000
   5.000   1.0173   0.01106   0.00455  -0.1114   0.2320   1.0000
   5.500   1.0617   0.01266   0.00557  -0.1098   0.1206   1.0000
   6.000   1.1052   0.01433   0.00681  -0.1078   0.0454   1.0000
   6.500   1.1500   0.01577   0.00824  -0.1058   0.0282   1.0000
   7.000   1.1931   0.01732   0.00995  -0.1035   0.0227   1.0000
   7.500   1.2314   0.01933   0.01208  -0.1004   0.0194   1.0000
   8.000   1.2681   0.02155   0.01451  -0.0971   0.0173   1.0000
   8.500   1.3060   0.02365   0.01683  -0.0940   0.0157   1.0000
   9.000   1.3419   0.02602   0.01938  -0.0909   0.0144   1.0000
   9.500   1.3689   0.03169   0.02541  -0.0869   0.0128   1.0000
  10.000   1.3998   0.03378   0.02787  -0.0831   0.0120   1.0000
  10.500   1.4188   0.03820   0.03282  -0.0779   0.0113   1.0000
  11.000   1.4194   0.04332   0.03847  -0.0706   0.0109   1.0000
  11.500   1.4004   0.04921   0.04489  -0.0620   0.0107   1.0000
  12.000   1.3648   0.05740   0.05365  -0.0552   0.0107   1.0000
  12.500   1.3190   0.06795   0.06472  -0.0526   0.0109   1.0000
  13.000   1.2670   0.08176   0.07900  -0.0559   0.0111   1.0000
  13.500   1.2153   0.09897   0.09657  -0.0652   0.0114   1.0000
  14.000   1.1610   0.12208   0.11996  -0.0807   0.0118   1.0000
