  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3163   0.10789   0.10131  -0.0266   1.0000   0.1804
  -9.500  -0.3148   0.10163   0.09516  -0.0258   1.0000   0.1948
  -9.000  -0.3161   0.09560   0.08925  -0.0246   1.0000   0.2092
  -8.500  -0.3182   0.08944   0.08324  -0.0228   1.0000   0.2232
  -8.000  -0.3270   0.08400   0.07797  -0.0199   1.0000   0.2375
  -7.500  -0.3469   0.07984   0.07404  -0.0168   1.0000   0.2527
  -7.000  -0.3445   0.07318   0.06746  -0.0127   1.0000   0.2800
  -6.500  -0.3915   0.07865   0.07247  -0.0179   1.0000   0.2971
  -6.000  -0.3789   0.07229   0.06616  -0.0136   1.0000   0.3316
  -5.500  -0.3698   0.06689   0.06083  -0.0089   1.0000   0.3893
  -5.000  -0.3583   0.06132   0.05531  -0.0045   1.0000   0.4456
  -4.500  -0.3510   0.05624   0.05031   0.0044   1.0000   0.5214
  -4.000  -0.0900   0.03253   0.02313  -0.0784   1.0000   0.2060
  -3.500  -0.0278   0.02912   0.01895  -0.0815   1.0000   0.2219
  -3.000   0.0339   0.02645   0.01554  -0.0835   1.0000   0.2381
  -2.500   0.0903   0.02482   0.01378  -0.0845   1.0000   0.2820
  -2.000   0.1467   0.02369   0.01278  -0.0848   1.0000   0.3794
  -1.500   0.2018   0.02114   0.01188  -0.0840   1.0000   0.7077
  -1.000   0.2363   0.02142   0.01168  -0.0818   1.0000   1.0000
  -0.500   0.2815   0.02271   0.01252  -0.0821   1.0000   1.0000
   0.000   0.3239   0.02427   0.01382  -0.0824   1.0000   1.0000
   0.500   0.3637   0.02614   0.01553  -0.0828   1.0000   1.0000
   1.000   0.4012   0.02830   0.01763  -0.0833   1.0000   1.0000
   1.500   0.4891   0.03063   0.01997  -0.0930   0.9769   1.0000
   2.000   0.5697   0.03269   0.02219  -0.1008   0.9471   1.0000
   2.500   0.6466   0.03465   0.02442  -0.1073   0.9173   1.0000
   3.000   0.7369   0.03547   0.02566  -0.1138   0.8758   1.0000
   3.500   0.8477   0.03380   0.02464  -0.1195   0.8263   1.0000
   4.000   0.9361   0.03221   0.02376  -0.1209   0.7837   1.0000
   4.500   1.0186   0.02931   0.02169  -0.1182   0.7274   1.0000
   5.000   1.0826   0.02535   0.01813  -0.1089   0.6163   1.0000
   5.500   1.1026   0.02572   0.01744  -0.0966   0.4029   1.0000
   6.000   1.1046   0.03240   0.02183  -0.0874   0.1772   1.0000
   6.500   1.1516   0.03843   0.02743  -0.0845   0.1077   1.0000
   7.000   1.2081   0.04536   0.03478  -0.0832   0.0906   1.0000
   7.500   1.2443   0.05293   0.04339  -0.0795   0.0841   1.0000
   8.000   1.2586   0.06231   0.05404  -0.0743   0.0849   1.0000
   8.500   1.2504   0.07221   0.06492  -0.0686   0.0871   1.0000
   9.000   1.2261   0.08206   0.07541  -0.0635   0.0895   1.0000
   9.500   1.1981   0.09173   0.08540  -0.0596   0.0915   1.0000
  10.000   1.0992   0.10664   0.10071  -0.0647   0.0993   1.0000
  10.500   1.0924   0.12009   0.11417  -0.0674   0.1057   1.0000
  11.000   0.8266   0.13440   0.12861  -0.0671   0.1306   1.0000
  11.500   0.9986   0.17436   0.16821  -0.1108   0.2334   1.0000
  12.000   1.0132   0.18433   0.17817  -0.1119   0.2196   1.0000
  12.500   1.0074   0.19128   0.18506  -0.1163   0.2071   1.0000
  13.000   1.0054   0.19843   0.19214  -0.1208   0.1966   1.0000
  13.500   1.0158   0.20682   0.20050  -0.1239   0.1867   1.0000
  14.000   1.0338   0.21617   0.20984  -0.1257   0.1750   1.0000
  14.500   1.0629   0.22862   0.22233  -0.1259   0.1621   1.0000
  15.000   1.0510   0.22955   0.22316  -0.1342   0.1538   1.0000
  15.500   1.0722   0.23990   0.23359  -0.1361   0.1468   1.0000
  16.000   1.0807   0.24496   0.23861  -0.1414   0.1371   1.0000
  16.500   1.0949   0.25288   0.24651  -0.1455   0.1312   1.0000
  17.000   1.1164   0.26227   0.25594  -0.1473   0.1207   1.0000
  17.500   1.1230   0.26632   0.25991  -0.1544   0.1156   1.0000
  18.000   1.1438   0.27545   0.26909  -0.1565   0.1072   1.0000
  18.500   1.1555   0.28140   0.27499  -0.1623   0.1040   1.0000
  19.000   1.1696   0.28679   0.28038  -0.1676   0.0970   1.0000
  19.500   1.1953   0.30224   0.29588  -0.1677   0.0924   1.0000
  20.000   1.2008   0.30051   0.29410  -0.1771   0.0888   1.0000
  -2.000   0.1467   0.02369   0.01278  -0.0848   1.0000   0.3794
  -1.500   0.2018   0.02114   0.01188  -0.0840   1.0000   0.7078
  -1.000   0.2363   0.02142   0.01168  -0.0818   1.0000   1.0000
  -0.500   0.2815   0.02271   0.01252  -0.0821   1.0000   1.0000
   0.000   0.3239   0.02427   0.01382  -0.0824   1.0000   1.0000
   0.500   0.3637   0.02614   0.01553  -0.0828   1.0000   1.0000
   1.000   0.4012   0.02830   0.01763  -0.0833   1.0000   1.0000
   1.500   0.4891   0.03063   0.01997  -0.0930   0.9769   1.0000
   2.000   0.5697   0.03269   0.02219  -0.1008   0.9471   1.0000
   2.500   0.6466   0.03465   0.02442  -0.1073   0.9173   1.0000
   3.000   0.7369   0.03547   0.02566  -0.1138   0.8758   1.0000
   3.500   0.8477   0.03380   0.02464  -0.1195   0.8263   1.0000
   4.000   0.9361   0.03221   0.02376  -0.1209   0.7837   1.0000
   4.500   1.0186   0.02931   0.02169  -0.1182   0.7274   1.0000
   5.000   1.0826   0.02535   0.01813  -0.1089   0.6163   1.0000
   5.500   1.1026   0.02572   0.01744  -0.0966   0.4029   1.0000
   6.000   1.1046   0.03240   0.02183  -0.0875   0.1773   1.0000
   6.500   1.1516   0.03843   0.02743  -0.0845   0.1077   1.0000
   7.000   1.2081   0.04536   0.03478  -0.0832   0.0906   1.0000
   7.500   1.2443   0.05293   0.04339  -0.0795   0.0841   1.0000
   8.000   1.2586   0.06231   0.05404  -0.0743   0.0849   1.0000
   8.500   1.2504   0.07221   0.06492  -0.0686   0.0871   1.0000
   9.000   1.2261   0.08206   0.07541  -0.0635   0.0895   1.0000
   9.500   1.1981   0.09173   0.08540  -0.0596   0.0915   1.0000
  10.000   1.0992   0.10664   0.10071  -0.0647   0.0993   1.0000
  10.500   1.0924   0.12009   0.11417  -0.0674   0.1057   1.0000
  11.000   0.8266   0.13440   0.12862  -0.0671   0.1306   1.0000
