  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.071 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1596   0.02086   0.01109  -0.0870   1.0000   0.3114
  -1.500   0.2175   0.02004   0.01118  -0.0883   1.0000   0.5270
  -1.000   0.2483   0.01950   0.01142  -0.0845   1.0000   1.0000
  -0.500   0.2928   0.02091   0.01244  -0.0849   1.0000   1.0000
   0.000   0.3801   0.02220   0.01344  -0.0933   0.9813   1.0000
   0.500   0.4693   0.02324   0.01436  -0.1015   0.9573   1.0000
   1.000   0.5534   0.02405   0.01517  -0.1082   0.9318   1.0000
   1.500   0.6410   0.02458   0.01584  -0.1151   0.9094   1.0000
   2.000   0.7238   0.02444   0.01594  -0.1196   0.8794   1.0000
   2.500   0.8063   0.02345   0.01528  -0.1223   0.8456   1.0000
   3.000   0.8836   0.02223   0.01445  -0.1232   0.8132   1.0000
   3.500   0.9478   0.02135   0.01393  -0.1216   0.7739   1.0000
   4.000   1.0070   0.02062   0.01360  -0.1188   0.7273   1.0000
   4.500   1.0562   0.01976   0.01290  -0.1132   0.6501   1.0000
   5.000   1.0902   0.01994   0.01281  -0.1057   0.5099   1.0000
   5.500   1.1009   0.02325   0.01438  -0.0972   0.2466   1.0000
   6.000   1.1136   0.02935   0.01913  -0.0900   0.0962   1.0000
   6.500   1.1568   0.03406   0.02370  -0.0869   0.0713   1.0000
   7.000   1.2124   0.04056   0.03058  -0.0857   0.0632   1.0000
   7.500   1.2519   0.04695   0.03785  -0.0826   0.0576   1.0000
   8.000   1.2720   0.05563   0.04772  -0.0773   0.0585   1.0000
   8.500   1.2697   0.06560   0.05875  -0.0709   0.0619   1.0000
   9.000   1.2599   0.07578   0.06950  -0.0658   0.0651   1.0000
   9.500   1.2105   0.08453   0.07902  -0.0587   0.0697   1.0000
  10.000   1.1411   0.09627   0.09120  -0.0589   0.0719   1.0000
  10.500   1.0790   0.11426   0.10930  -0.0697   0.0749   1.0000
  11.000   0.9980   0.15702   0.15192  -0.1023   0.1689   1.0000
  11.500   1.0322   0.16733   0.16230  -0.0987   0.1620   1.0000
  12.000   1.0020   0.17626   0.17108  -0.1091   0.1525   1.0000
  12.500   1.0129   0.18607   0.18086  -0.1113   0.1461   1.0000
  13.000   1.0195   0.19423   0.18901  -0.1150   0.1361   1.0000
  13.500   1.0213   0.20285   0.19755  -0.1204   0.1299   1.0000
  14.000   1.0485   0.21272   0.20748  -0.1197   0.1204   1.0000
  14.500   0.7624   0.18818   0.18329  -0.0886   0.1292   1.0000
  15.000   0.7830   0.19678   0.19194  -0.0884   0.1205   1.0000
