  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.294 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2232   0.01116   0.00464  -0.1132   0.9637   0.1898
  -1.500   0.3036   0.01047   0.00419  -0.1185   0.9583   0.2640
  -1.000   0.3738   0.00978   0.00388  -0.1215   0.9472   0.3734
  -0.500   0.4402   0.00889   0.00364  -0.1236   0.9343   0.5672
   0.000   0.4953   0.00767   0.00326  -0.1222   0.9173   1.0000
   0.500   0.5528   0.00757   0.00304  -0.1219   0.8943   1.0000
   1.000   0.6090   0.00755   0.00290  -0.1213   0.8679   1.0000
   1.500   0.6641   0.00763   0.00287  -0.1205   0.8374   1.0000
   2.000   0.7176   0.00779   0.00286  -0.1193   0.7965   1.0000
   2.500   0.7698   0.00808   0.00294  -0.1178   0.7465   1.0000
   3.000   0.8229   0.00844   0.00316  -0.1169   0.7041   1.0000
   3.500   0.8754   0.00886   0.00348  -0.1158   0.6600   1.0000
   4.000   0.9262   0.00937   0.00383  -0.1145   0.6030   1.0000
   4.500   0.9753   0.01002   0.00428  -0.1129   0.5303   1.0000
   5.000   1.0206   0.01106   0.00487  -0.1108   0.4133   1.0000
   5.500   1.0562   0.01344   0.00613  -0.1078   0.2000   1.0000
   6.000   1.0946   0.01573   0.00767  -0.1053   0.0736   1.0000
   6.500   1.1345   0.01782   0.00965  -0.1024   0.0409   1.0000
   7.000   1.1728   0.01994   0.01188  -0.0993   0.0316   1.0000
   7.500   1.2067   0.02271   0.01476  -0.0955   0.0267   1.0000
   8.000   1.2448   0.02575   0.01805  -0.0923   0.0246   1.0000
   8.500   1.2852   0.02827   0.02082  -0.0897   0.0218   1.0000
   9.000   1.3231   0.03170   0.02454  -0.0870   0.0200   1.0000
   9.500   1.3552   0.03799   0.03133  -0.0837   0.0190   1.0000
  10.000   1.3631   0.04638   0.04058  -0.0776   0.0183   1.0000
  10.500   1.3659   0.05071   0.04556  -0.0707   0.0175   1.0000
  11.000   1.3389   0.05778   0.05322  -0.0615   0.0176   1.0000
  11.500   1.2991   0.06589   0.06182  -0.0546   0.0178   1.0000
  12.000   1.2134   0.08370   0.08058  -0.0535   0.0223   1.0000
