  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4284   0.13145   0.12401  -0.0196   1.0000   0.1473
  -9.500  -0.4096   0.12282   0.11543  -0.0196   1.0000   0.1548
  -9.000  -0.4250   0.12133   0.11414  -0.0232   1.0000   0.1624
  -8.500  -0.4068   0.11308   0.10595  -0.0223   1.0000   0.1758
  -8.000  -0.3976   0.10656   0.09953  -0.0216   1.0000   0.1890
  -7.500  -0.3924   0.10053   0.09364  -0.0204   1.0000   0.2005
  -6.000  -0.3890   0.08463   0.07821  -0.0185   1.0000   0.2439
  -5.000  -0.3705   0.07331   0.06713  -0.0172   1.0000   0.3003
  -4.500  -0.3545   0.06756   0.06144  -0.0185   1.0000   0.3381
  -4.000  -0.3371   0.06170   0.05566  -0.0151   1.0000   0.3838
  -3.500  -0.2437   0.05044   0.04378  -0.0431   1.0000   0.3234
  -3.000  -0.2572   0.04881   0.04254  -0.0237   1.0000   0.4656
  -2.500  -0.0146   0.02732   0.01713  -0.0820   1.0000   0.2275
  -2.000   0.0428   0.02529   0.01478  -0.0828   1.0000   0.2898
  -1.500   0.0983   0.02391   0.01336  -0.0832   1.0000   0.3708
  -1.000   0.1546   0.02273   0.01235  -0.0836   1.0000   0.4945
  -0.500   0.1908   0.02046   0.01141  -0.0797   1.0000   1.0000
   0.000   0.2411   0.02160   0.01169  -0.0808   1.0000   1.0000
   0.500   0.2852   0.02296   0.01266  -0.0810   1.0000   1.0000
   1.000   0.3268   0.02458   0.01403  -0.0812   1.0000   1.0000
   1.500   0.3661   0.02647   0.01578  -0.0815   1.0000   1.0000
   2.000   0.4035   0.02863   0.01788  -0.0820   1.0000   1.0000
   2.500   0.4829   0.03099   0.02026  -0.0902   0.9787   1.0000
   3.000   0.5684   0.03313   0.02255  -0.0987   0.9489   1.0000
   3.500   0.6511   0.03501   0.02467  -0.1060   0.9181   1.0000
   4.000   0.7282   0.03648   0.02652  -0.1111   0.8826   1.0000
   4.500   0.8217   0.03625   0.02686  -0.1158   0.8359   1.0000
   5.000   0.9369   0.03315   0.02455  -0.1193   0.7875   1.0000
   5.500   1.0246   0.02899   0.02121  -0.1152   0.7225   1.0000
   6.000   1.0823   0.02475   0.01722  -0.1039   0.5953   1.0000
   6.500   1.0834   0.02721   0.01752  -0.0893   0.2972   1.0000
   7.000   1.1178   0.03401   0.02272  -0.0849   0.1631   1.0000
   7.500   1.1765   0.04001   0.02852  -0.0841   0.1227   1.0000
   8.000   1.2259   0.04677   0.03604  -0.0819   0.1081   1.0000
   8.500   1.2571   0.05359   0.04388  -0.0778   0.0989   1.0000
   9.000   1.2711   0.06268   0.05414  -0.0725   0.0993   1.0000
   9.500   1.2574   0.07304   0.06562  -0.0665   0.1035   1.0000
  10.000   1.2390   0.08356   0.07670  -0.0621   0.1074   1.0000
  10.500   1.1733   0.09347   0.08718  -0.0579   0.1126   1.0000
  11.000   1.0970   0.10942   0.10332  -0.0649   0.1186   1.0000
  11.500   1.0213   0.13994   0.13363  -0.0890   0.1581   1.0000
  12.000   0.9935   0.16730   0.16091  -0.1103   0.2756   1.0000
  12.500   0.9806   0.17409   0.16762  -0.1136   0.2564   1.0000
  13.000   0.9914   0.18229   0.17582  -0.1149   0.2376   1.0000
  13.500   0.9988   0.19039   0.18391  -0.1174   0.2237   1.0000
  14.000   1.0067   0.19824   0.19173  -0.1202   0.2105   1.0000
  14.500   1.0165   0.20597   0.19948  -0.1232   0.1973   1.0000
  15.000   1.0286   0.21354   0.20704  -0.1259   0.1827   1.0000
  15.500   1.0397   0.22097   0.21445  -0.1294   0.1708   1.0000
  16.000   1.0572   0.22993   0.22341  -0.1319   0.1620   1.0000
  16.500   1.0837   0.24133   0.23490  -0.1326   0.1504   1.0000
