  
       XFOIL         Version 6.99
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4435   0.12464   0.11813   0.0078   1.0000   0.1450
  -9.500  -0.4323   0.11673   0.11028   0.0074   1.0000   0.1540
  -9.000  -0.4547   0.11330   0.10701   0.0029   1.0000   0.1606
  -8.500  -0.5461   0.11441   0.10776   0.0148   1.0000   0.1587
  -8.000  -0.5348   0.10692   0.10038   0.0133   1.0000   0.1710
  -7.500  -0.5298   0.10037   0.09397   0.0104   1.0000   0.1859
  -7.000  -0.5269   0.09392   0.08769   0.0036   1.0000   0.2029
  -6.500  -0.5106   0.08639   0.08025   0.0018   1.0000   0.2310
  -6.000  -0.4888   0.07884   0.07280   0.0044   1.0000   0.2680
  -5.500  -0.4723   0.07195   0.06598   0.0039   1.0000   0.3160
  -4.000  -0.4057   0.05375   0.04823   0.0407   1.0000   0.6469
  -3.500  -0.2379   0.03200   0.02264  -0.0355   1.0000   0.1087
  -3.000  -0.1822   0.02667   0.01641  -0.0343   1.0000   0.1145
  -2.500  -0.1273   0.02236   0.01158  -0.0326   1.0000   0.1502
  -2.000  -0.0735   0.01788   0.00784  -0.0306   1.0000   0.3203
  -1.500  -0.0136   0.01438   0.00570  -0.0282   1.0000   1.0000
  -1.000   0.0324   0.01445   0.00504  -0.0267   1.0000   1.0000
  -0.500   0.0778   0.01463   0.00477  -0.0253   1.0000   1.0000
   0.000   0.1223   0.01496   0.00477  -0.0241   1.0000   1.0000
   0.500   0.1661   0.01547   0.00505  -0.0233   1.0000   1.0000
   1.000   0.2084   0.01623   0.00571  -0.0230   1.0000   1.0000
   1.500   0.2483   0.01737   0.00680  -0.0233   1.0000   1.0000
   2.000   0.3036   0.01906   0.00857  -0.0280   0.9903   1.0000
   2.500   0.4700   0.02002   0.01001  -0.0498   0.9112   1.0000
   3.000   0.5645   0.01982   0.01022  -0.0529   0.8262   1.0000
   3.500   0.6155   0.01992   0.01035  -0.0471   0.7393   1.0000
   4.000   0.6590   0.02046   0.01080  -0.0406   0.6501   1.0000
   4.500   0.7024   0.02151   0.01166  -0.0354   0.5570   1.0000
