  
       XFOIL         Version 6.99
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0277   0.00844   0.00231  -0.0348   0.9852   0.0161
  -1.500   0.0440   0.00702   0.00174  -0.0385   0.9664   0.2383
  -1.000   0.0926   0.00483   0.00160  -0.0369   0.9321   0.8619
  -0.500   0.1622   0.00470   0.00138  -0.0387   0.8879   1.0000
   0.000   0.2125   0.00486   0.00121  -0.0369   0.8296   1.0000
   0.500   0.2642   0.00510   0.00111  -0.0355   0.7672   1.0000
   1.000   0.3166   0.00541   0.00108  -0.0345   0.7042   1.0000
   1.500   0.3697   0.00574   0.00112  -0.0337   0.6399   1.0000
   2.000   0.4230   0.00612   0.00121  -0.0330   0.5728   1.0000
   2.500   0.4765   0.00655   0.00136  -0.0325   0.5033   1.0000
   3.000   0.5298   0.00705   0.00158  -0.0321   0.4315   1.0000
   3.500   0.5831   0.00760   0.00186  -0.0317   0.3622   1.0000
   4.000   0.6364   0.00817   0.00222  -0.0314   0.2999   1.0000
   4.500   0.6895   0.00878   0.00264  -0.0311   0.2431   1.0000
   5.000   0.7424   0.00944   0.00315  -0.0308   0.1939   1.0000
   5.500   0.7949   0.01017   0.00373  -0.0305   0.1470   1.0000
   6.000   0.8467   0.01104   0.00445  -0.0301   0.1041   1.0000
   6.500   0.8980   0.01198   0.00536  -0.0296   0.0733   1.0000
   7.000   0.9480   0.01316   0.00651  -0.0289   0.0522   1.0000
   7.500   0.9982   0.01424   0.00772  -0.0282   0.0392   1.0000
   8.000   1.0469   0.01556   0.00917  -0.0274   0.0285   1.0000
   8.500   1.0934   0.01719   0.01096  -0.0263   0.0199   1.0000
   9.000   1.1361   0.01947   0.01345  -0.0249   0.0134   1.0000
   9.500   1.1806   0.02108   0.01524  -0.0239   0.0088   1.0000
  10.000   1.2240   0.02274   0.01713  -0.0228   0.0061   1.0000
  10.500   1.2515   0.02681   0.02165  -0.0201   0.0045   1.0000
  11.000   1.2805   0.02994   0.02514  -0.0180   0.0035   1.0000
  11.500   1.2838   0.03555   0.03123  -0.0145   0.0030   1.0000
  13.500   1.1672   0.08503   0.08237  -0.0379   0.0029   1.0000
  14.000   1.1388   0.10027   0.09779  -0.0461   0.0030   1.0000
  14.500   1.1071   0.11632   0.11403  -0.0540   0.0032   1.0000
  15.000   1.0168   0.14968   0.14771  -0.0699   0.0044   1.0000
