  
       XFOIL         Version 6.99
  
 Calculated polar for: AG08                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4851   0.12814   0.12165   0.0107   1.0000   0.1570
  -9.500  -0.4680   0.11903   0.11256   0.0108   1.0000   0.1698
  -9.000  -0.4574   0.11095   0.10449   0.0105   1.0000   0.1820
  -8.500  -0.4520   0.10349   0.09711   0.0097   1.0000   0.1949
  -8.000  -0.4504   0.09637   0.09009   0.0086   1.0000   0.2100
  -7.000  -0.5498   0.09405   0.08767   0.0109   1.0000   0.2261
  -6.500  -0.5349   0.08675   0.08046   0.0076   1.0000   0.2544
  -6.000  -0.5150   0.07927   0.07306   0.0086   1.0000   0.2959
  -5.500  -0.4943   0.07179   0.06566   0.0096   1.0000   0.3404
  -5.000  -0.4719   0.06472   0.05868   0.0135   1.0000   0.3983
  -4.500  -0.3523   0.04155   0.03336  -0.0361   1.0000   0.1417
  -4.000  -0.2956   0.03328   0.02410  -0.0384   1.0000   0.1388
  -3.500  -0.2380   0.02744   0.01711  -0.0387   1.0000   0.1554
  -3.000  -0.1833   0.02319   0.01245  -0.0378   1.0000   0.1926
  -2.500  -0.1293   0.01991   0.00906  -0.0362   1.0000   0.2697
  -2.000  -0.0806   0.01595   0.00663  -0.0335   1.0000   0.5385
  -1.500  -0.0196   0.01402   0.00488  -0.0321   1.0000   1.0000
  -1.000   0.0304   0.01404   0.00427  -0.0311   1.0000   1.0000
  -0.500   0.0793   0.01414   0.00398  -0.0301   1.0000   1.0000
   0.000   0.1276   0.01432   0.00389  -0.0291   1.0000   1.0000
   0.500   0.1751   0.01461   0.00406  -0.0282   1.0000   1.0000
   1.000   0.2214   0.01504   0.00448  -0.0275   1.0000   1.0000
   1.500   0.2665   0.01571   0.00522  -0.0272   1.0000   1.0000
   2.000   0.3084   0.01682   0.00648  -0.0277   1.0000   1.0000
   2.500   0.4003   0.01859   0.00866  -0.0394   0.9684   1.0000
   3.000   0.5511   0.01837   0.00920  -0.0537   0.8474   1.0000
   3.500   0.6029   0.01862   0.00939  -0.0472   0.7298   1.0000
   4.000   0.6447   0.01968   0.01022  -0.0407   0.6177   1.0000
   4.500   0.6892   0.02126   0.01151  -0.0361   0.5134   1.0000
   5.000   0.7345   0.02324   0.01331  -0.0324   0.4162   1.0000
   5.500   0.7794   0.02566   0.01553  -0.0292   0.3221   1.0000
   6.000   0.8235   0.02864   0.01824  -0.0262   0.2326   1.0000
   6.500   0.8677   0.03285   0.02238  -0.0237   0.1627   1.0000
   7.000   0.9109   0.03879   0.02901  -0.0214   0.1248   1.0000
   7.500   0.9457   0.04661   0.03778  -0.0196   0.1065   1.0000
   8.000   0.9624   0.05821   0.05070  -0.0192   0.1055   1.0000
   8.500   0.9625   0.07071   0.06395  -0.0208   0.1074   1.0000
   9.000   0.9594   0.08288   0.07640  -0.0231   0.1090   1.0000
   9.500   0.8343   0.12176   0.11512  -0.0703   0.2822   1.0000
  10.000   0.8348   0.13021   0.12353  -0.0715   0.2636   1.0000
  10.500   0.8522   0.14017   0.13356  -0.0708   0.2441   1.0000
  11.000   0.8583   0.14930   0.14267  -0.0722   0.2306   1.0000
  11.500   0.8621   0.15784   0.15117  -0.0740   0.2168   1.0000
  12.000   0.8619   0.16531   0.15859  -0.0766   0.2026   1.0000
  12.500   0.8666   0.17306   0.16629  -0.0789   0.1886   1.0000
  13.000   0.8872   0.18357   0.17683  -0.0795   0.1761   1.0000
  13.500   0.8771   0.18733   0.18050  -0.0850   0.1666   1.0000
  14.000   0.8865   0.19515   0.18828  -0.0882   0.1588   1.0000
  14.500   0.9078   0.20549   0.19865  -0.0893   0.1485   1.0000
  15.000   0.9184   0.21192   0.20513  -0.0925   0.1369   1.0000
  15.500   0.9227   0.21706   0.21019  -0.0980   0.1299   1.0000
  16.000   0.9499   0.22992   0.22310  -0.0982   0.1221   1.0000
  16.500   0.9508   0.23156   0.22467  -0.1054   0.1161   1.0000
  17.000   0.9799   0.24616   0.23932  -0.1050   0.1090   1.0000
  17.500   0.9811   0.24606   0.23915  -0.1131   0.1048   1.0000
  18.000   1.0006   0.25467   0.24780  -0.1155   0.0976   1.0000
  18.500   1.0140   0.26120   0.25429  -0.1205   0.0942   1.0000
  19.000   1.0289   0.26681   0.25991  -0.1252   0.0869   1.0000
  19.500   1.0508   0.27950   0.27268  -0.1266   0.0827   1.0000
  20.000   1.0605   0.28044   0.27358  -0.1342   0.0794   1.0000
