  
       XFOIL         Version 6.99
  
 Calculated polar for: AG09                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0573   0.01007   0.00303  -0.0317   1.0000   0.0756
  -1.500  -0.0042   0.00928   0.00239  -0.0311   1.0000   0.1151
  -1.000   0.0483   0.00857   0.00199  -0.0306   1.0000   0.1893
   0.000   0.1489   0.00610   0.00181  -0.0283   1.0000   1.0000
   0.500   0.2334   0.00613   0.00173  -0.0344   0.9701   1.0000
   1.000   0.3037   0.00616   0.00164  -0.0365   0.8995   1.0000
   1.500   0.3516   0.00646   0.00160  -0.0334   0.8008   1.0000
   2.000   0.4008   0.00698   0.00167  -0.0312   0.6909   1.0000
   2.500   0.4520   0.00764   0.00182  -0.0298   0.5733   1.0000
   3.000   0.5043   0.00839   0.00212  -0.0290   0.4637   1.0000
   3.500   0.5574   0.00913   0.00251  -0.0285   0.3744   1.0000
   4.000   0.6108   0.00986   0.00302  -0.0281   0.3014   1.0000
   4.500   0.6640   0.01064   0.00359  -0.0278   0.2389   1.0000
   5.000   0.7172   0.01143   0.00428  -0.0275   0.1799   1.0000
   5.500   0.7696   0.01242   0.00507  -0.0271   0.1150   1.0000
   6.000   0.8196   0.01438   0.00671  -0.0265   0.0430   1.0000
   6.500   0.8685   0.01677   0.00927  -0.0253   0.0257   1.0000
   7.000   0.9138   0.02027   0.01301  -0.0237   0.0205   1.0000
   7.500   0.9600   0.02411   0.01737  -0.0220   0.0188   1.0000
   8.000   1.0003   0.03020   0.02429  -0.0199   0.0189   1.0000
   8.500   1.0291   0.03814   0.03324  -0.0178   0.0189   1.0000
   9.000   1.0379   0.04837   0.04445  -0.0165   0.0192   1.0000
   9.500   0.9491   0.04804   0.04486  -0.0091   0.0199   1.0000
  10.000   0.8959   0.05931   0.05641  -0.0139   0.0205   1.0000
