  
       XFOIL         Version 6.99
  
 Calculated polar for: AG23 XC Bubble Dancer Root Airfoil              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1033   0.01652   0.00889  -0.0301   1.0000   1.0000
  -1.500  -0.0474   0.01651   0.00795  -0.0347   1.0000   1.0000
  -1.000   0.0043   0.01692   0.00774  -0.0365   1.0000   1.0000
  -0.500   0.0533   0.01755   0.00790  -0.0378   1.0000   1.0000
   0.000   0.1001   0.01841   0.00844  -0.0389   1.0000   1.0000
   0.500   0.1449   0.01954   0.00933  -0.0401   1.0000   1.0000
   1.000   0.1871   0.02098   0.01063  -0.0414   1.0000   1.0000
   1.500   0.2757   0.02300   0.01258  -0.0515   0.9763   1.0000
   2.000   0.3906   0.02472   0.01440  -0.0647   0.9310   1.0000
   2.500   0.4972   0.02566   0.01555  -0.0742   0.8846   1.0000
   3.000   0.5813   0.02606   0.01625  -0.0779   0.8354   1.0000
   3.500   0.6583   0.02579   0.01631  -0.0782   0.7883   1.0000
   4.000   0.7173   0.02568   0.01644  -0.0753   0.7366   1.0000
   4.500   0.7726   0.02548   0.01648  -0.0712   0.6831   1.0000
   5.000   0.8242   0.02552   0.01666  -0.0667   0.6249   1.0000
   5.500   0.8748   0.02579   0.01699  -0.0621   0.5628   1.0000
   6.000   0.9215   0.02669   0.01790  -0.0580   0.4934   1.0000
   6.500   0.9657   0.02806   0.01923  -0.0540   0.4185   1.0000
   7.000   1.0078   0.02974   0.02074  -0.0500   0.3388   1.0000
   7.500   1.0445   0.03223   0.02290  -0.0460   0.2544   1.0000
   8.000   1.0757   0.03608   0.02664  -0.0420   0.1778   1.0000
   8.500   1.1105   0.04168   0.03228  -0.0388   0.1300   1.0000
   9.000   1.1424   0.04851   0.03946  -0.0360   0.1051   1.0000
   9.500   1.1626   0.05648   0.04812  -0.0331   0.0925   1.0000
  10.000   1.1482   0.06603   0.05890  -0.0292   0.0901   1.0000
  10.500   1.1199   0.07623   0.06976  -0.0271   0.0906   1.0000
  11.000   1.0817   0.08655   0.08039  -0.0270   0.0919   1.0000
  11.500   0.9959   0.10713   0.10122  -0.0410   0.1050   1.0000
  13.000   0.6627   0.15571   0.14948  -0.0630   0.2642   1.0000
  13.500   0.6671   0.16159   0.15542  -0.0632   0.2437   1.0000
  14.000   0.6683   0.16744   0.16134  -0.0641   0.2296   1.0000
  14.500   0.6799   0.17520   0.16914  -0.0646   0.2127   1.0000
  15.000   0.6920   0.18328   0.17727  -0.0654   0.1996   1.0000
