  
       XFOIL         Version 6.99
  
 Calculated polar for: AG27 Bubble Dancer DLG by Mark Drela | The AG2x 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.1602   0.00667   0.00163  -0.0706   0.9482   0.2874
  -1.000   0.2147   0.00609   0.00148  -0.0700   0.9138   0.4653
  -0.500   0.2565   0.00484   0.00142  -0.0661   0.8733   0.8837
   0.000   0.3141   0.00489   0.00124  -0.0657   0.8289   1.0000
   0.500   0.3676   0.00510   0.00117  -0.0647   0.7783   1.0000
   1.000   0.4215   0.00538   0.00115  -0.0638   0.7243   1.0000
   1.500   0.4756   0.00570   0.00121  -0.0631   0.6670   1.0000
   2.000   0.5297   0.00608   0.00130  -0.0625   0.6075   1.0000
   2.500   0.5838   0.00649   0.00146  -0.0620   0.5430   1.0000
   3.000   0.6376   0.00700   0.00170  -0.0615   0.4719   1.0000
   3.500   0.6911   0.00760   0.00200  -0.0611   0.3970   1.0000
   4.000   0.7442   0.00827   0.00240  -0.0607   0.3210   1.0000
   4.500   0.7968   0.00906   0.00289  -0.0603   0.2471   1.0000
   5.000   0.8491   0.00989   0.00349  -0.0599   0.1830   1.0000
   5.500   0.9012   0.01076   0.00417  -0.0595   0.1370   1.0000
   6.000   0.9532   0.01157   0.00493  -0.0590   0.1039   1.0000
   6.500   1.0047   0.01245   0.00577  -0.0584   0.0783   1.0000
   7.000   1.0555   0.01340   0.00671  -0.0578   0.0564   1.0000
   7.500   1.1048   0.01462   0.00792  -0.0569   0.0363   1.0000
   8.000   1.1532   0.01592   0.00926  -0.0560   0.0212   1.0000
   8.500   1.1972   0.01814   0.01165  -0.0544   0.0128   1.0000
   9.000   1.2401   0.02025   0.01405  -0.0527   0.0093   1.0000
   9.500   1.2709   0.02435   0.01854  -0.0498   0.0074   1.0000
  10.000   1.3051   0.02754   0.02215  -0.0473   0.0067   1.0000
  10.500   1.3300   0.03178   0.02688  -0.0441   0.0061   1.0000
  11.000   1.3409   0.03714   0.03279  -0.0402   0.0057   1.0000
  11.500   1.3271   0.04339   0.03959  -0.0349   0.0057   1.0000
  12.000   1.2973   0.05191   0.04861  -0.0340   0.0057   1.0000
  12.500   1.2617   0.06468   0.06184  -0.0407   0.0057   1.0000
  13.000   1.2217   0.08192   0.07947  -0.0526   0.0059   1.0000
  13.500   1.1771   0.10221   0.10003  -0.0654   0.0060   1.0000
  14.000   1.1266   0.12476   0.12277  -0.0777   0.0063   1.0000
  14.500   1.0620   0.15345   0.15155  -0.0920   0.0070   1.0000
