  
       XFOIL         Version 6.99
  
 Calculated polar for: AG44ct -02f                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0116   0.00719   0.00178  -0.0390   0.9094   0.2239
  -1.000   0.0812   0.00552   0.00145  -0.0343   0.7608   0.8002
  -0.500   0.1520   0.00537   0.00135  -0.0365   0.7262   1.0000
   0.000   0.2058   0.00558   0.00131  -0.0359   0.6987   1.0000
   0.500   0.2603   0.00570   0.00127  -0.0353   0.6681   1.0000
   1.000   0.3146   0.00584   0.00123  -0.0348   0.6319   1.0000
   1.500   0.3688   0.00605   0.00124  -0.0342   0.5880   1.0000
   2.000   0.4227   0.00634   0.00130  -0.0336   0.5371   1.0000
   2.500   0.4765   0.00670   0.00144  -0.0331   0.4816   1.0000
   3.000   0.5303   0.00711   0.00163  -0.0327   0.4265   1.0000
   3.500   0.5840   0.00756   0.00190  -0.0323   0.3756   1.0000
   4.000   0.6377   0.00805   0.00221  -0.0319   0.3281   1.0000
   4.500   0.6912   0.00857   0.00260  -0.0316   0.2843   1.0000
   5.000   0.7446   0.00911   0.00303  -0.0312   0.2432   1.0000
   5.500   0.7976   0.00971   0.00354  -0.0308   0.2036   1.0000
   6.000   0.8502   0.01038   0.00412  -0.0304   0.1654   1.0000
   6.500   0.9021   0.01116   0.00481  -0.0300   0.1286   1.0000
   7.000   0.9530   0.01209   0.00562  -0.0295   0.0916   1.0000
   7.500   1.0026   0.01324   0.00665  -0.0289   0.0561   1.0000
   8.000   1.0507   0.01469   0.00808  -0.0280   0.0318   1.0000
   8.500   1.0974   0.01633   0.00984  -0.0269   0.0208   1.0000
   9.000   1.1404   0.01853   0.01225  -0.0254   0.0155   1.0000
   9.500   1.1828   0.02054   0.01449  -0.0240   0.0128   1.0000
  10.000   1.2150   0.02402   0.01831  -0.0217   0.0108   1.0000
  10.500   1.2505   0.02660   0.02119  -0.0198   0.0095   1.0000
  11.000   1.2791   0.02972   0.02460  -0.0176   0.0085   1.0000
  11.500   1.2930   0.03411   0.02934  -0.0147   0.0079   1.0000
  12.000   1.2732   0.04111   0.03683  -0.0106   0.0075   1.0000
  14.000   1.1557   0.09047   0.08772  -0.0367   0.0075   1.0000
  14.500   1.1287   0.10508   0.10255  -0.0453   0.0075   1.0000
  15.000   1.1003   0.12118   0.11885  -0.0545   0.0077   1.0000
