  
       XFOIL         Version 6.99
  
 Calculated polar for: AG455ct -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0629   0.00909   0.00257  -0.0281   1.0000   0.1364
  -1.500  -0.0119   0.00711   0.00232  -0.0283   1.0000   0.5821
  -1.000   0.0600   0.00602   0.00217  -0.0303   0.9752   1.0000
  -0.500   0.1390   0.00608   0.00184  -0.0344   0.8718   1.0000
   0.000   0.1892   0.00646   0.00167  -0.0323   0.7831   1.0000
   0.500   0.2413   0.00687   0.00167  -0.0310   0.7313   1.0000
   1.000   0.2949   0.00724   0.00176  -0.0301   0.6898   1.0000
   1.500   0.3491   0.00746   0.00181  -0.0295   0.6453   1.0000
   2.000   0.4031   0.00771   0.00185  -0.0288   0.5956   1.0000
   2.500   0.4570   0.00805   0.00199  -0.0281   0.5409   1.0000
   3.000   0.5108   0.00848   0.00218  -0.0276   0.4832   1.0000
   3.500   0.5646   0.00897   0.00247  -0.0271   0.4239   1.0000
   4.000   0.6182   0.00953   0.00287  -0.0267   0.3638   1.0000
   4.500   0.6715   0.01018   0.00334  -0.0263   0.3048   1.0000
   5.000   0.7245   0.01093   0.00395  -0.0260   0.2482   1.0000
   5.500   0.7771   0.01178   0.00467  -0.0256   0.1960   1.0000
   6.000   0.8290   0.01278   0.00556  -0.0252   0.1506   1.0000
   6.500   0.8804   0.01388   0.00661  -0.0248   0.1118   1.0000
   7.000   0.9307   0.01521   0.00795  -0.0242   0.0790   1.0000
   7.500   0.9794   0.01686   0.00965  -0.0235   0.0535   1.0000
   8.000   1.0252   0.01908   0.01196  -0.0224   0.0371   1.0000
   8.500   1.0696   0.02149   0.01462  -0.0212   0.0278   1.0000
   9.000   1.1091   0.02523   0.01877  -0.0193   0.0228   1.0000
   9.500   1.1465   0.02869   0.02251  -0.0178   0.0187   1.0000
  10.000   1.1684   0.03584   0.03047  -0.0153   0.0172   1.0000
  10.500   1.1812   0.04255   0.03797  -0.0131   0.0163   1.0000
  11.000   1.1756   0.04935   0.04544  -0.0114   0.0152   1.0000
  11.500   1.1439   0.05894   0.05552  -0.0149   0.0151   1.0000
  12.000   1.0975   0.07576   0.07274  -0.0283   0.0160   1.0000
  12.500   1.0419   0.09760   0.09482  -0.0439   0.0173   1.0000
  13.500   0.7513   0.13630   0.13365  -0.0459   0.0251   1.0000
