  
       XFOIL         Version 6.99
  
 Calculated polar for: AG46c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1712   0.01240   0.00552  -0.0258   1.0000   0.0263
  -1.500  -0.1170   0.01060   0.00367  -0.0250   1.0000   0.0376
  -1.000  -0.0627   0.00883   0.00243  -0.0248   1.0000   0.1612
  -0.500  -0.0159   0.00646   0.00223  -0.0239   1.0000   0.7273
   0.000   0.0706   0.00592   0.00197  -0.0290   0.9283   1.0000
   0.500   0.1261   0.00619   0.00171  -0.0279   0.8230   1.0000
   1.000   0.1776   0.00656   0.00163  -0.0264   0.7695   1.0000
   1.500   0.2306   0.00695   0.00167  -0.0254   0.7313   1.0000
   2.000   0.2845   0.00731   0.00180  -0.0247   0.6969   1.0000
   2.500   0.3391   0.00747   0.00187  -0.0241   0.6584   1.0000
   3.000   0.3935   0.00762   0.00188  -0.0235   0.6136   1.0000
   3.500   0.4475   0.00788   0.00196  -0.0228   0.5574   1.0000
   4.000   0.5013   0.00828   0.00214  -0.0223   0.4911   1.0000
   4.500   0.5548   0.00884   0.00245  -0.0218   0.4168   1.0000
   5.000   0.6081   0.00952   0.00287  -0.0215   0.3368   1.0000
   5.500   0.6610   0.01037   0.00346  -0.0212   0.2560   1.0000
   6.000   0.7135   0.01135   0.00419  -0.0210   0.1874   1.0000
   6.500   0.7656   0.01245   0.00511  -0.0208   0.1394   1.0000
   7.000   0.8176   0.01355   0.00620  -0.0205   0.1037   1.0000
   7.500   0.8681   0.01499   0.00760  -0.0200   0.0747   1.0000
   8.000   0.9188   0.01637   0.00912  -0.0195   0.0531   1.0000
   8.500   0.9652   0.01881   0.01169  -0.0185   0.0380   1.0000
   9.000   1.0098   0.02176   0.01486  -0.0174   0.0282   1.0000
   9.500   1.0555   0.02436   0.01793  -0.0162   0.0234   1.0000
  10.000   1.0895   0.02997   0.02406  -0.0147   0.0194   1.0000
  10.500   1.1206   0.03551   0.03040  -0.0131   0.0178   1.0000
  11.000   1.1298   0.04403   0.03985  -0.0116   0.0171   1.0000
  11.500   1.1139   0.05317   0.04972  -0.0116   0.0166   1.0000
  12.000   1.0706   0.06648   0.06350  -0.0212   0.0172   1.0000
  12.500   1.0209   0.08761   0.08492  -0.0391   0.0183   1.0000
  13.000   0.9176   0.12997   0.12721  -0.0615   0.0234   1.0000
