  
       XFOIL         Version 6.99
  
 Calculated polar for: AG46ct  -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0729   0.00785   0.00186  -0.0258   1.0000   0.0586
  -1.500  -0.0074   0.00664   0.00155  -0.0285   0.9880   0.2958
  -1.000   0.0595   0.00477   0.00140  -0.0308   0.8973   0.8301
  -0.500   0.1157   0.00492   0.00118  -0.0293   0.7642   1.0000
   0.000   0.1690   0.00528   0.00113  -0.0285   0.7145   1.0000
   0.500   0.2238   0.00550   0.00112  -0.0280   0.6763   1.0000
   1.000   0.2788   0.00568   0.00110  -0.0276   0.6317   1.0000
   1.500   0.3335   0.00593   0.00112  -0.0271   0.5827   1.0000
   2.000   0.3883   0.00622   0.00120  -0.0267   0.5310   1.0000
   2.500   0.4430   0.00656   0.00133  -0.0264   0.4752   1.0000
   3.000   0.4975   0.00698   0.00152  -0.0260   0.4111   1.0000
   3.500   0.5516   0.00750   0.00179  -0.0258   0.3421   1.0000
   4.000   0.6056   0.00812   0.00216  -0.0255   0.2720   1.0000
   4.500   0.6591   0.00882   0.00262  -0.0253   0.2061   1.0000
   5.000   0.7126   0.00956   0.00318  -0.0251   0.1538   1.0000
   5.500   0.7658   0.01030   0.00382  -0.0248   0.1155   1.0000
   6.000   0.8186   0.01115   0.00459  -0.0244   0.0851   1.0000
   6.500   0.8709   0.01206   0.00546  -0.0240   0.0601   1.0000
   7.000   0.9229   0.01300   0.00647  -0.0236   0.0419   1.0000
   7.500   0.9721   0.01464   0.00817  -0.0228   0.0269   1.0000
   8.000   1.0221   0.01596   0.00964  -0.0221   0.0202   1.0000
   8.500   1.0687   0.01796   0.01193  -0.0210   0.0156   1.0000
   9.000   1.1104   0.02091   0.01515  -0.0196   0.0124   1.0000
   9.500   1.1491   0.02445   0.01916  -0.0179   0.0111   1.0000
  10.000   1.1895   0.02692   0.02196  -0.0167   0.0094   1.0000
  10.500   1.2217   0.03042   0.02579  -0.0153   0.0083   1.0000
  11.000   1.2188   0.03914   0.03533  -0.0127   0.0077   1.0000
