  
       XFOIL         Version 6.99
  
 Calculated polar for: AH21 7% version (Andrew Hollom)                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000   0.1708   0.00784   0.00414  -0.0749   0.9307   0.8172
  -0.500   0.2222   0.00751   0.00397  -0.0730   0.9211   0.8904
   0.000   0.2964   0.00704   0.00355  -0.0759   0.9173   0.9331
   0.500   0.3621   0.00668   0.00320  -0.0771   0.9065   0.9641
   1.000   0.4451   0.00634   0.00284  -0.0824   0.8942   0.9804
   1.500   0.5327   0.00606   0.00253  -0.0888   0.8745   0.9879
   2.000   0.6137   0.00593   0.00235  -0.0940   0.8363   0.9966
   2.500   0.6717   0.00604   0.00219  -0.0942   0.7607   1.0000
   3.000   0.6938   0.00660   0.00227  -0.0869   0.6506   1.0000
   3.500   0.7107   0.00759   0.00259  -0.0787   0.5080   1.0000
   4.000   0.7390   0.00882   0.00310  -0.0735   0.3526   1.0000
   4.500   0.7759   0.01001   0.00368  -0.0702   0.2259   1.0000
   5.000   0.8175   0.01103   0.00431  -0.0678   0.1448   1.0000
   5.500   0.8607   0.01198   0.00499  -0.0656   0.0941   1.0000
   6.000   0.9045   0.01291   0.00579  -0.0636   0.0676   1.0000
   6.500   0.9478   0.01386   0.00675  -0.0614   0.0533   1.0000
   7.000   0.9898   0.01492   0.00783  -0.0590   0.0442   1.0000
   7.500   1.0327   0.01587   0.00889  -0.0567   0.0389   1.0000
   8.000   1.0682   0.01757   0.01067  -0.0534   0.0339   1.0000
   8.500   1.1087   0.01873   0.01200  -0.0508   0.0314   1.0000
   9.000   1.1467   0.01993   0.01331  -0.0480   0.0284   1.0000
   9.500   1.1790   0.02254   0.01608  -0.0446   0.0253   1.0000
  10.000   1.2144   0.02347   0.01722  -0.0414   0.0233   1.0000
  10.500   1.2459   0.02475   0.01863  -0.0378   0.0211   1.0000
  11.000   1.2679   0.02814   0.02227  -0.0335   0.0190   1.0000
  11.500   1.2933   0.02937   0.02375  -0.0293   0.0175   1.0000
  12.000   1.3157   0.03070   0.02523  -0.0252   0.0158   1.0000
  12.500   1.3179   0.03485   0.02964  -0.0197   0.0143   1.0000
  13.000   1.3272   0.03772   0.03287  -0.0153   0.0135   1.0000
  13.500   1.3276   0.04165   0.03714  -0.0111   0.0125   1.0000
  14.000   1.3267   0.04581   0.04154  -0.0082   0.0118   1.0000
  14.500   1.3193   0.05120   0.04715  -0.0066   0.0112   1.0000
  15.000   1.2942   0.05982   0.05609  -0.0073   0.0109   1.0000
