  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 63-K-127/24                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1925   0.01467   0.00978  -0.0949   0.7729   0.7826
  -1.500   0.2301   0.01555   0.01062  -0.0897   0.7668   0.8472
  -1.000   0.2673   0.01593   0.01093  -0.0850   0.7598   0.8778
  -0.500   0.3058   0.01617   0.01109  -0.0809   0.7535   0.9021
   0.000   0.3453   0.01617   0.01102  -0.0772   0.7463   0.9222
   1.000   0.4429   0.01611   0.01086  -0.0745   0.7330   0.9576
   1.500   0.5128   0.01602   0.01069  -0.0777   0.7288   0.9649
   2.000   0.5772   0.01610   0.01079  -0.0805   0.7202   0.9739
   2.500   0.6566   0.01580   0.01047  -0.0855   0.7170   0.9797
   3.000   0.7264   0.01590   0.01068  -0.0896   0.7074   0.9873
   3.500   0.8025   0.01544   0.01026  -0.0940   0.7040   0.9929
   4.000   0.8588   0.01542   0.01038  -0.0953   0.6939   1.0000
   4.500   0.8980   0.01476   0.00983  -0.0922   0.6848   1.0000
   5.000   0.9598   0.01323   0.00834  -0.0925   0.6772   1.0000
   5.500   1.0144   0.01241   0.00765  -0.0922   0.6635   1.0000
   6.000   1.0664   0.01174   0.00711  -0.0914   0.6382   1.0000
   6.500   1.1174   0.01143   0.00687  -0.0905   0.6015   1.0000
   7.000   1.1609   0.01173   0.00706  -0.0883   0.5478   1.0000
   7.500   1.1819   0.01300   0.00790  -0.0825   0.4493   1.0000
   8.000   1.1551   0.01587   0.00994  -0.0696   0.3024   1.0000
   8.500   1.1234   0.02042   0.01369  -0.0599   0.1744   1.0000
   9.000   1.1236   0.02390   0.01683  -0.0549   0.1117   1.0000
   9.500   1.1326   0.02694   0.01966  -0.0510   0.0702   1.0000
  10.000   1.1392   0.03033   0.02288  -0.0469   0.0379   1.0000
  10.500   1.1403   0.03440   0.02697  -0.0426   0.0237   1.0000
  11.000   1.1516   0.03791   0.03063  -0.0395   0.0189   1.0000
  11.500   1.1568   0.04239   0.03526  -0.0357   0.0164   1.0000
  12.000   1.1796   0.04549   0.03861  -0.0336   0.0142   1.0000
  12.500   1.2004   0.04892   0.04223  -0.0317   0.0126   1.0000
  13.000   1.2254   0.05311   0.04669  -0.0297   0.0117   1.0000
  13.500   1.2445   0.05965   0.05377  -0.0276   0.0112   1.0000
  14.000   1.2411   0.06705   0.06169  -0.0259   0.0113   1.0000
  14.500   1.2276   0.07475   0.06986  -0.0251   0.0114   1.0000
  15.000   1.2018   0.08455   0.08016  -0.0256   0.0115   1.0000
