"Moments - Moment Center (-0.045 0 -1) Moment Axis (-1 0 0)"
Zone,Pressure [N m],Viscous [N m],Total [N m],Pressure Coefficient,Viscous Coefficient,Total Coefficient
wall_s1,-0.00062422795,-1.5926168e-06,-0.00062582057,-0.0010191477,-2.6001907e-06,-0.0010217479
wall_s10,-0.0048112803,-1.6407222e-05,-0.0048276875,-0.0078551515,-2.6787301e-05,-0.0078819388
wall_s11,-0.0047917144,-3.5689186e-05,-0.0048274036,-0.0078232072,-5.8268058e-05,-0.0078814752
wall_s12,-0.0043582194,-5.4721833e-05,-0.0044129413,-0.0071154603,-8.9341768e-05,-0.0072048021
wall_s13,-0.0033323,-8.5643944e-05,-0.0034179439,-0.0054404898,-0.00013982685,-0.0055803166
wall_s2,-0.0012260735,-4.175918e-06,-0.0012302495,-0.0020017527,-6.8178253e-06,-0.0020085706
wall_s3,-0.0019286797,-6.4629196e-06,-0.0019351426,-0.0031488647,-1.0551706e-05,-0.0031594164
wall_s4,-0.0026657728,-8.1761332e-06,-0.002673949,-0.0043522822,-1.3348789e-05,-0.0043656309
wall_s5,-0.003341108,-7.9264638e-06,-0.0033490344,-0.0054548702,-1.2941165e-05,-0.0054678113
wall_s6,-0.0038755778,-7.3929424e-06,-0.0038829708,-0.006327474,-1.207011e-05,-0.0063395441
wall_s7,-0.0042243669,-7.4611636e-06,-0.004231828,-0.0068969255,-1.2181492e-05,-0.006909107
wall_s8,-0.0044406371,-8.8549787e-06,-0.0044494921,-0.0072500197,-1.4457108e-05,-0.0072644768
wall_s9,-0.0046370684,-1.1260058e-05,-0.0046483285,-0.0075707239,-1.8383769e-05,-0.0075891077
wall_s_blades,-0.040515501,-0.00029016293,-0.040805664,-0.066147756,-0.0004737354,-0.066621492
wall_s_blades:293,-0.050596309,-0.00030690646,-0.050903216,-0.082606219,-0.00050107177,-0.083107291
wall_s_sides,6.2855116e-06,-5.9877731e-06,2.9773849e-07,1.026206e-05,-9.7759561e-06,4.8610366e-07
wall_s_sides:291,-1.4343596e-06,-5.8954291e-06,-7.3297887e-06,-2.3418115e-06,-9.6251904e-06,-1.1967002e-05
wall_s_sides:292,3.1033406e-06,-6.0764479e-06,-2.9731073e-06,5.0666786e-06,-9.9207312e-06,-4.8540527e-06
wall_s_te,-1.8675395e-05,9.4179354e-07,-1.7733602e-05,-3.0490442e-05,1.5376221e-06,-2.895282e-05
wall_s_te:294,-2.2130519e-05,1.5900349e-07,-2.1971516e-05,-3.613146e-05,2.5959753e-07,-3.5871863e-05
wall_s_te:295,-2.204484e-05,5.4944745e-07,-2.1495393e-05,-3.5991576e-05,8.9705706e-07,-3.5094519e-05
Net,-0.13542373,-0.00086914418,-0.13629288,-0.22109997,-0.0014190109,-0.22251898

