Zone,Pressure [N],Viscous [N],Total [N],Pressure Coefficient,Viscous Coefficient,Total Coefficient
wa--_m_te,0.010737385,7.6313272e-05,0.010813699,0.017530425,0.0001245931,0.017655018
wall_m1,0.040176507,0.0040258019,0.044202309,0.065594297,0.0065727379,0.072167035
wall_m10,0.13613058,0.018188764,0.15431935,0.22225402,0.029695941,0.25194996
wall_m11,0.13785361,0.01900168,0.15685529,0.22506712,0.031023152,0.25609028
wall_m12,0.15200917,0.026398026,0.17840719,0.24817823,0.043098818,0.29127705
wall_m13,0.12241846,0.02615025,0.14856871,0.19986688,0.042694286,0.24256116
wall_m14,0.076572011,0.023543755,0.10011577,0.12501553,0.038438783,0.16345431
wall_m15,0.1759638,0.033761547,0.20972535,0.28728784,0.055120893,0.34240873
wall_m2,0.092995999,0.0069942692,0.099990268,0.1518302,0.011419215,0.16324942
wall_m3,0.16397721,0.01283578,0.17681299,0.2677179,0.020956375,0.28867428
wall_m4,0.24442062,0.020865576,0.2652862,0.39905408,0.034066247,0.43312032
wall_m5,0.32562758,0.030507183,0.35613476,0.53163687,0.049807647,0.58144451
wall_m6,0.40168302,0.041789088,0.44347211,0.65580901,0.068227083,0.72403609
wall_m7,0.46827693,0.054523128,0.52280006,0.76453377,0.089017352,0.85355112
wall_m8,0.12821833,0.016000995,0.14421933,0.20933605,0.026124074,0.23546012
wall_m9,0.13269855,0.017118367,0.14981692,0.2166507,0.027948355,0.24459905
wall_m_sides,0,0.0043851021,0.0043851021,0,0.0071593504,0.0071593504
Net,2.8097598,0.35616563,3.1659254,4.5873629,0.5814949,5.1688578

