Zone,Pressure [N],Viscous [N],Total [N],Pressure Coefficient,Viscous Coefficient,Total Coefficient
wall_s1,0.0015602336,-0.0016480624,-8.7828821e-05,0.0025473201,-0.0026907141,-0.00014339399
wall_s10,0.045939837,-0.00021463465,0.045725202,0.075003815,-0.00035042392,0.074653391
wall_s11,0.050033739,-0.0005905786,0.049443161,0.081687738,-0.00096420995,0.080723528
wall_s12,0.047492241,-0.00085326694,0.046638974,0.077538353,-0.0013930889,0.076145264
wall_s13,0.035729856,-0.0012587671,0.034471088,0.058334458,-0.00205513,0.056279328
wall_s2,0.0084268839,-0.0011330182,0.0072938657,0.013758178,-0.0018498257,0.011908352
wall_s3,0.015040423,-0.00092450712,0.014115916,0.024555792,-0.0015093994,0.023046393
wall_s4,0.021689619,-0.00066585279,0.021023766,0.035411622,-0.0010871066,0.034324516
wall_s5,0.027201854,-0.00031347153,0.026888383,0.044411191,-0.00051179025,0.043899401
wall_s6,0.030691533,-0.00017657963,0.030514953,0.050108625,-0.00028829328,0.049820331
wall_s7,0.03311989,-0.00011593643,0.033003953,0.054073289,-0.00018928397,0.053884005
wall_s8,0.03679949,-0.0001176378,0.036681852,0.0600808,-0.00019206172,0.059888738
wall_s9,0.040993313,-0.0001526261,0.040840687,0.066927858,-0.00024918547,0.066678672
wall_s_blades,0.35986862,-0.01112356,0.34874506,0.5875406,-0.018160914,0.56937969
wall_s_blades:293,0.44486874,-0.010389436,0.4344793,0.72631631,-0.016962345,0.70935396
wall_s_sides,1.6359513e-08,-0.00029010054,-0.00029008418,2.6709409e-08,-0.00047363354,-0.00047360683
wall_s_sides:291,-1.1801722e-08,-0.00040828747,-0.00040829927,-1.9268118e-08,-0.00066659178,-0.00066661105
wall_s_sides:292,-1.0583806e-18,-0.00035841955,-0.00035841955,-1.7279684e-18,-0.00058517477,-0.00058517477
wall_s_te,-0.00090122683,-4.1522215e-06,-0.00090537905,-0.0014713907,-6.7791372e-06,-0.0014781699
wall_s_te:294,-0.001557139,-8.8511476e-07,-0.0015580241,-0.0025422678,-1.4450853e-06,-0.0025437129
wall_s_te:295,-0.0013247212,-3.443454e-06,-0.0013281647,-0.0021628102,-5.6219657e-06,-0.0021684321
Net,1.1956732,-0.030743224,1.16493,1.9521195,-0.050193019,1.9019265
