QBlade CE v2.0.7.7_beta windows

 Calculated polar for: A18 (smoothed)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.191 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-4.500   -0.2131  0.02474  0.01887  -0.0794  0.0000   0.0000   3.0163   0.0000   0.0000   
-4.000   -0.1572  0.02176  0.01535  -0.0817  0.0000   0.0000   2.6320   0.0000   0.0000   
-3.500   -0.0911  0.01816  0.01093  -0.0841  0.0000   0.0000   2.3372   0.0000   0.0000   
-3.000   -0.0089  0.01621  0.00867  -0.0896  0.0000   0.0000   1.9216   0.0000   0.0000   
-2.500   0.0737   0.01519  0.00771  -0.0956  0.0000   0.0000   1.5913   0.0000   0.0000   
-2.000   0.1566   0.01444  0.00715  -0.1017  0.0000   0.0000   1.2329   0.0000   0.0000   
-1.500   0.2340   0.01383  0.00671  -0.1066  0.0000   0.0000   0.9204   0.0000   0.0000   
-1.000   0.3113   0.01310  0.00638  -0.1113  0.0000   0.0000   0.6024   0.0000   0.0000   
-0.500   0.3911   0.01157  0.00613  -0.1162  0.0000   0.0000   0.4915   0.0000   0.0000   
0.000    0.4603   0.01091  0.00561  -0.1182  0.0000   0.0000   0.5320   0.0000   0.0000   
0.500    0.5300   0.01061  0.00518  -0.1204  0.0000   0.0000   0.5742   0.0000   0.0000   
1.000    0.5960   0.01037  0.00486  -0.1218  0.0000   0.0000   0.6300   0.0000   0.0000   
1.500    0.6581   0.01016  0.00460  -0.1222  0.0000   0.0000   0.7167   0.0000   0.0000   
2.000    0.7159   0.01010  0.00458  -0.1218  0.0000   0.0000   0.8135   0.0000   0.0000   
2.500    0.7690   0.01003  0.00440  -0.1199  0.0000   0.0000   0.9793   0.0000   0.0000   
3.000    0.8223   0.01018  0.00437  -0.1182  0.0000   0.0000   1.1950   0.0000   0.0000   
3.500    0.8748   0.01052  0.00464  -0.1169  0.0000   0.0000   1.4712   0.0000   0.0000   
4.000    0.9260   0.01090  0.00498  -0.1154  0.0000   0.0000   1.8063   0.0000   0.0000   
4.500    0.9745   0.01142  0.00528  -0.1132  0.0000   0.0000   2.2404   0.0000   0.0000   
5.000    1.0207   0.01214  0.00596  -0.1108  0.0000   0.0000   2.6569   0.0000   0.0000   
5.500    1.0557   0.01391  0.00677  -0.1068  0.0000   0.0000   3.0649   0.0000   0.0000   
6.000    1.0846   0.01705  0.00869  -0.1029  0.0000   0.0000   3.4309   0.0000   0.0000   
6.500    1.1166   0.02011  0.01130  -0.0988  0.0000   0.0000   3.7187   0.0000   0.0000   
7.000    1.1491   0.02315  0.01444  -0.0947  0.0000   0.0000   3.9870   0.0000   0.0000   
7.500    1.1868   0.02580  0.01725  -0.0914  0.0000   0.0000   4.2138   0.0000   0.0000   
8.000    1.2256   0.03121  0.02295  -0.0882  0.0000   0.0000   4.3419   0.0000   0.0000   
8.500    1.2673   0.03668  0.02911  -0.0855  0.0000   0.0000   4.5883   0.0000   0.0000   
9.000    1.2985   0.04392  0.03737  -0.0806  0.0000   0.0000   4.7496   0.0000   0.0000   
9.500    1.2885   0.05670  0.05141  -0.0720  0.0000   0.0000   4.5089   0.0000   0.0000   
12.500   1.0268   0.14482  0.14160  -0.0884  0.0000   0.0000   2.6135   0.0000   0.0000   
14.000   1.0103   0.18063  0.17730  -0.1014  0.0000   0.0000   2.4546   0.0000   0.0000   
15.000   1.0136   0.19966  0.19628  -0.1168  0.0000   0.0000   2.2256   0.0000   0.0000   


