# alpha[deg]    cl        cd        lift[N]     drag[N]
0.0     0.410403    0.016267    1.170911    0.04641
2.0     0.616308    0.040121    1.758374   -0.011756
4.0     0.812094   -0.037044    2.316968   -0.10569
6.0     0.992017   -0.080736    2.833001   -0.230345
7.0     1.07283    -0.105525    3.080686   -0.301072
8.0     1.143885   -0.131006    3.263592   -0.37377
8.5     1.174962   -0.143697    3.325228   -0.409978
9.0     1.202441   -0.156007    3.405058   -0.450909
9.5     1.225607   -0.167636    3.496753   -0.478277
10.0    1.243067   -0.178189    3.548107   -0.508387
10.5    1.255081   -0.187048    3.580843   -0.533662
11.0    1.251165   -0.150421    3.569672   -0.429163
11.5    0.862645   -0.005739    2.461193   -0.016527
12.0    1.278059   -0.155171    3.646402   -0.442714
