QBlade CE v2.0.7.7_beta windows

 Calculated polar for: A18 (smoothed)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.148 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
0.000    0.4147   0.01349  0.00754  -0.1111  0.0000   0.0000   0.5056   0.0000   0.0000   
0.500    0.5027   0.01318  0.00706  -0.1175  0.0000   0.0000   0.5563   0.0000   0.0000   
1.000    0.5743   0.01290  0.00670  -0.1202  0.0000   0.0000   0.6103   0.0000   0.0000   
1.500    0.6414   0.01267  0.00646  -0.1217  0.0000   0.0000   0.6982   0.0000   0.0000   
2.000    0.7056   0.01241  0.00621  -0.1224  0.0000   0.0000   0.7984   0.0000   0.0000   
2.500    0.7655   0.01218  0.00607  -0.1220  0.0000   0.0000   0.9651   0.0000   0.0000   
3.000    0.8213   0.01184  0.00562  -0.1199  0.0000   0.0000   1.1798   0.0000   0.0000   
3.500    0.8743   0.01203  0.00577  -0.1182  0.0000   0.0000   1.4572   0.0000   0.0000   
4.000    0.9255   0.01233  0.00609  -0.1164  0.0000   0.0000   1.7833   0.0000   0.0000   
4.500    0.9751   0.01268  0.00631  -0.1140  0.0000   0.0000   2.2195   0.0000   0.0000   
5.000    1.0208   0.01325  0.00687  -0.1109  0.0000   0.0000   2.6316   0.0000   0.0000   
5.500    1.0602   0.01433  0.00749  -0.1071  0.0000   0.0000   3.0548   0.0000   0.0000   
6.000    1.0821   0.01773  0.00928  -0.1018  0.0000   0.0000   3.3927   0.0000   0.0000   
6.500    1.1069   0.02170  0.01257  -0.0964  0.0000   0.0000   3.6040   0.0000   0.0000   
7.000    1.1421   0.02439  0.01527  -0.0929  0.0000   0.0000   3.9121   0.0000   0.0000   
7.500    1.1773   0.02879  0.01978  -0.0892  0.0000   0.0000   4.0725   0.0000   0.0000   
8.000    1.2226   0.03344  0.02489  -0.0866  0.0000   0.0000   4.2000   0.0000   0.0000   
8.500    1.2617   0.04027  0.03265  -0.0832  0.0000   0.0000   4.3224   0.0000   0.0000   
9.000    1.2813   0.04881  0.04213  -0.0778  0.0000   0.0000   4.4378   0.0000   0.0000   
9.500    1.2864   0.06051  0.05451  -0.0726  0.0000   0.0000   4.4560   0.0000   0.0000   
12.500   1.0295   0.14730  0.14367  -0.0863  0.0000   0.0000   2.5361   0.0000   0.0000   
13.500   1.0086   0.17408  0.17033  -0.0984  0.0000   0.0000   2.3072   0.0000   0.0000   
14.000   1.0012   0.18387  0.18006  -0.1086  0.0000   0.0000   2.1155   0.0000   0.0000   
14.500   1.0070   0.19219  0.18838  -0.1123  0.0000   0.0000   2.1484   0.0000   0.0000   
15.000   1.0193   0.19974  0.19595  -0.1136  0.0000   0.0000   2.2808   0.0000   0.0000   


