QBlade CE v2.0.7.7_beta windows

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.191 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-5.000   -0.6190  0.01326  0.00593  0.0097   0.0000   0.0000   2.0368   0.0000   0.0000   
-4.500   -0.5781  0.01251  0.00548  0.0122   0.0000   0.0000   1.8178   0.0000   0.0000   
-4.000   -0.5357  0.01194  0.00519  0.0144   0.0000   0.0000   1.6051   0.0000   0.0000   
-3.500   -0.4918  0.01152  0.00503  0.0164   0.0000   0.0000   1.4161   0.0000   0.0000   
-3.000   -0.4467  0.01121  0.00500  0.0181   0.0000   0.0000   1.2389   0.0000   0.0000   
-2.500   -0.4016  0.01103  0.00510  0.0198   0.0000   0.0000   1.0786   0.0000   0.0000   
-2.000   -0.3188  0.01090  0.00527  0.0143   0.0000   0.0000   0.8870   0.0000   0.0000   
-1.500   -0.2365  0.01076  0.00538  0.0094   0.0000   0.0000   0.7260   0.0000   0.0000   
-1.000   -0.1509  0.01068  0.00547  0.0045   0.0000   0.0000   0.5920   0.0000   0.0000   
-0.500   -0.0746  0.01062  0.00550  0.0018   0.0000   0.0000   0.4928   0.0000   0.0000   
0.000    0.0000   0.01061  0.00552  0.0000   0.0000   0.0000   0.4122   0.0000   0.0000   
0.500    0.0747   0.01062  0.00550  -0.0018  0.0000   0.0000   0.4928   0.0000   0.0000   
1.000    0.1509   0.01068  0.00547  -0.0045  0.0000   0.0000   0.5920   0.0000   0.0000   
1.500    0.2365   0.01076  0.00538  -0.0094  0.0000   0.0000   0.7261   0.0000   0.0000   
2.000    0.3188   0.01089  0.00526  -0.0143  0.0000   0.0000   0.8872   0.0000   0.0000   
2.500    0.4015   0.01102  0.00509  -0.0198  0.0000   0.0000   1.0792   0.0000   0.0000   
3.000    0.4466   0.01121  0.00500  -0.0181  0.0000   0.0000   1.2385   0.0000   0.0000   
3.500    0.4917   0.01152  0.00503  -0.0164  0.0000   0.0000   1.4160   0.0000   0.0000   
4.000    0.5356   0.01194  0.00519  -0.0144  0.0000   0.0000   1.6051   0.0000   0.0000   
4.500    0.5780   0.01251  0.00548  -0.0122  0.0000   0.0000   1.8170   0.0000   0.0000   
5.000    0.6189   0.01326  0.00593  -0.0097  0.0000   0.0000   2.0363   0.0000   0.0000   
5.500    0.6583   0.01421  0.00657  -0.0070  0.0000   0.0000   2.2658   0.0000   0.0000   
6.000    0.6960   0.01540  0.00744  -0.0041  0.0000   0.0000   2.5008   0.0000   0.0000   
6.500    0.7335   0.01669  0.00853  -0.0010  0.0000   0.0000   2.7409   0.0000   0.0000   
7.000    0.7709   0.01809  0.00980  0.0021   0.0000   0.0000   2.9887   0.0000   0.0000   
7.500    0.8092   0.01955  0.01126  0.0051   0.0000   0.0000   3.2580   0.0000   0.0000   
8.000    0.8483   0.02114  0.01284  0.0078   0.0000   0.0000   3.5434   0.0000   0.0000   
8.500    0.8884   0.02295  0.01468  0.0102   0.0000   0.0000   3.8314   0.0000   0.0000   
9.000    0.9291   0.02505  0.01687  0.0124   0.0000   0.0000   4.1167   0.0000   0.0000   
9.500    0.9700   0.02748  0.01939  0.0144   0.0000   0.0000   4.4021   0.0000   0.0000   
10.000   1.0099   0.02978  0.02180  0.0163   0.0000   0.0000   4.7188   0.0000   0.0000   
10.500   1.0426   0.03318  0.02570  0.0191   0.0000   0.0000   4.9647   0.0000   0.0000   
11.000   1.0779   0.03609  0.02871  0.0210   0.0000   0.0000   5.2983   0.0000   0.0000   
11.500   1.0898   0.04092  0.03426  0.0253   0.0000   0.0000   5.4431   0.0000   0.0000   
12.000   1.0879   0.04610  0.04009  0.0302   0.0000   0.0000   5.5289   0.0000   0.0000   
12.500   1.0827   0.05044  0.04474  0.0347   0.0000   0.0000   5.6513   0.0000   0.0000   
13.000   1.0913   0.05546  0.04979  0.0365   0.0000   0.0000   5.8572   0.0000   0.0000   
13.500   1.0485   0.06374  0.05859  0.0373   0.0000   0.0000   5.7289   0.0000   0.0000   


