r, v_axial, v_tangential, inflowangle, alpha, f_axial, f_tan, gammas, Cl, Cd,  chords, twist
1.236842105263157993e-01,-1.269536114065987986e+00,4.842308990294166726e+00,2.564049825513072811e-01,3.090766536845777068e-01,1.302704727885575830e-04,2.840668099570898154e-03,2.727985385844461895e-03,2.840668099570898154e-03,1.164165269226720943e-02,3.733890046244180139e-02,1.000000000000000056e-01,1.500000000000000000e+01
1.710526315789473728e-01,-1.648974335350454012e+00,6.658213329865469099e+00,2.427752734316260541e-01,6.455570177888354522e-01,2.415044729036255715e-03,5.669069732451329294e-03,8.994734974194279822e-03,5.669069732451329294e-03,2.715598615132276336e-02,3.605791705206431996e-02,1.000000000000000056e-01,1.455555555555555536e+01
2.184210526315789602e-01,-2.017810597584984045e+00,8.473411386397369682e+00,2.337802259768928526e-01,7.164908290204969887e-01,5.338032938546954063e-03,9.108456219256138436e-03,1.431652936687822716e-02,9.108456219256138436e-03,3.317617934408101377e-02,3.463551771786420319e-02,1.000000000000000056e-01,1.411111111111111072e+01
2.657894736842105199e-01,-2.316539246868537738e+00,1.030676874298268331e+01,2.210850627268145518e-01,9.994256590351255909e-01,1.374381436577737023e-02,1.418429279773508224e-02,2.717717218203878279e-02,1.418429279773508224e-02,5.102232778571313965e-02,3.343432056988071555e-02,1.000000000000000056e-01,1.366666666666666607e+01
3.131578947368421351e-01,-2.554148572571871778e+00,1.215135515195862048e+01,2.071785152806308039e-01,1.351767690855441018e+00,3.015078296150464424e-02,2.112336757575283830e-02,4.739536963865335906e-02,2.112336757575283830e-02,7.567492957261759412e-02,3.234724900595369046e-02,1.000000000000000056e-01,1.322222222222222143e+01
3.605263157894736947e-01,-2.732031149087819522e+00,1.398356883923428207e+01,1.929439216896302878e-01,1.722905382259298790e+00,5.738252626811531781e-02,3.005183047792340037e-02,7.542276641442122176e-02,3.005183047792340037e-02,1.054029373322308560e-01,3.139524029965642948e-02,1.000000000000000056e-01,1.277777777777777857e+01
4.078947368421052544e-01,-2.884039938215177123e+00,1.579968821936283518e+01,1.805499779757832046e-01,1.988581604140989612e+00,9.286091033048257670e-02,4.006793484899708047e-02,1.059153277356952305e-01,4.006793484899708047e-02,1.316783167470106097e-01,3.038736202254734356e-02,1.000000000000000056e-01,1.233333333333333393e+01
4.552631578947368696e-01,-3.047123329219146193e+00,1.760535147818453794e+01,1.713815124432139514e-01,2.069451539323928557e+00,1.291004659936055565e-01,4.964355286097734549e-02,1.309293407608271009e-01,4.964355286097734549e-02,1.464867483620374555e-01,2.904242152231617177e-02,1.000000000000000056e-01,1.188888888888888928e+01
5.026315789473684292e-01,-3.244735205985427751e+00,1.941249231730376579e+01,1.656157594372921482e-01,1.955360407833669711e+00,1.572268585015403064e-01,5.745487010367993086e-02,1.441029582877021986e-01,5.745487010367993086e-02,1.464086745551602120e-01,2.735881022201333904e-02,1.000000000000000056e-01,1.144444444444444464e+01
5.500000000000000444e-01,-3.465349084634721244e+00,2.123157664445393777e+01,1.617901421972453291e-01,1.730107685276395912e+00,1.745614055508778462e-01,6.320218215631112635e-02,1.461802893710868467e-01,6.320218215631112635e-02,1.358927999795336294e-01,2.551399631518198874e-02,1.000000000000000056e-01,1.100000000000000000e+01
5.973684210526315486e-01,-3.673874584131976651e+00,2.306998831046981380e+01,1.579230074370055192e-01,1.507233741402027150e+00,1.879461197014807572e-01,6.803136506887906554e-02,1.448179286009247391e-01,6.803136506887906554e-02,1.239847643296956570e-01,2.376474880840963311e-02,1.000000000000000056e-01,1.055555555555555536e+01
6.447368421052631637e-01,-3.829508058434135886e+00,2.492867747313464122e+01,1.524270097021593329e-01,1.377686771377730324e+00,2.102162032460374030e-01,7.361227589517452263e-02,1.495905111154035572e-01,7.361227589517452263e-02,1.186406600326246619e-01,2.212908452758705069e-02,1.000000000000000056e-01,1.011111111111111072e+01
6.921052631578947789e-01,-3.861502502549925886e+00,2.678835372127121772e+01,1.431624098893218844e-01,1.464064795086564175e+00,2.734773137672804055e-01,8.395559291831670989e-02,1.799266507180853347e-01,8.395559291831670989e-02,1.329971533722305033e-01,2.074003380142651690e-02,1.000000000000000056e-01,9.666666666666667851e+00
7.394736842105262831e-01,-3.682175461967755137e+00,2.862620256880408220e+01,1.279270912250212999e-01,1.892539809643433379e+00,4.329989169660028447e-01,1.038277242510542708e-01,2.642827774743675140e-01,1.038277242510542708e-01,1.831752956337405480e-01,1.975215867376782161e-02,1.000000000000000056e-01,9.222222222222221433e+00
7.868421052631578982e-01,-3.390807238810826796e+00,3.046124731734181879e+01,1.108590566601111577e-01,2.426021710351749405e+00,6.696250640953074207e-01,1.265575794413846544e-01,3.820612218704920182e-01,1.265575794413846544e-01,2.493221691985333943e-01,1.896882924567126760e-02,1.000000000000000056e-01,8.777777777777778567e+00
8.342105263157895134e-01,-3.138048982078893712e+00,3.230030416917639968e+01,9.684836416826700378e-02,2.784330813745605759e+00,9.077305767377522594e-01,1.432592057694339061e-01,4.871904024206799022e-01,1.432592057694339061e-01,3.002183756068318443e-01,1.793889105680715121e-02,1.000000000000000056e-01,8.333333333333333925e+00
8.815789473684210176e-01,-2.998334900658360169e+00,3.425643871458037637e+01,8.730368468989566089e-02,2.886756220216966540e+00,1.106130044988000272e+00,1.533556977358170037e-01,5.590932302562816592e-01,1.533556977358170037e-01,3.250824645676025915e-01,1.641752401509049761e-02,1.000000000000000056e-01,7.888888888888889284e+00
9.289473684210526327e-01,-2.395198515443233589e+00,3.537204876785410335e+01,6.761122919558017197e-02,3.570606363846009046e+00,1.487393058182298944e+00,1.609982934743632854e-01,7.270703035430786665e-01,1.609982934743632854e-01,4.099224427892834144e-01,1.649224611497443482e-02,1.000000000000000056e-01,7.444444444444444642e+00
9.763157894736842479e-01,-1.366898971866020496e+00,4.167650602460840048e+01,3.278607769575900971e-02,5.121496121245005639e+00,3.160553337118278350e+00,1.677341486480271038e-01,1.303119832942783551e+00,1.677341486480271038e-01,6.272496437256240842e-01,1.269432635047338352e-02,1.000000000000000056e-01,7.000000000000000000e+00
1.236842105263157993e-01,-1.272647053397164552e+00,4.831594996198221637e+00,2.575510807845682870e-01,2.434100620113213154e-01,-4.797928473908254134e-05,2.782221935800922082e-03,2.383957294720345701e-03,2.782221935800922082e-03,9.143829598006362330e-03,3.731520423901855954e-02,1.000000000000000056e-01,1.500000000000000000e+01
1.710526315789473728e-01,-1.655043132491799573e+00,6.646648531761607082e+00,2.440411822791791474e-01,5.730257835757726070e-01,1.995461335916459168e-03,5.550832448853902298e-03,8.171624026565892443e-03,5.550832448853902298e-03,2.407822614462986482e-02,3.602817130561145054e-02,1.000000000000000056e-01,1.455555555555555536e+01
2.184210526315789602e-01,-2.018791371012657265e+00,8.464404253752633167e+00,2.341296535457236538e-01,6.964701040809764265e-01,5.122720218991144540e-03,9.043630945365933524e-03,1.359818557642254733e-02,9.043630945365933524e-03,3.223163052326058486e-02,3.463222085056869015e-02,1.000000000000000056e-01,1.411111111111111072e+01
2.657894736842105199e-01,-2.310049783851388927e+00,1.030236842131560415e+01,2.205767770476190770e-01,1.028548283239965500e+00,1.421298555351524148e-02,1.427983755279640249e-02,2.713980941643192799e-02,1.427983755279640249e-02,5.254068179647097825e-02,3.346735286503880330e-02,1.000000000000000056e-01,1.366666666666666607e+01
3.131578947368421351e-01,-2.545513535686396267e+00,1.215045724406781957e+01,2.065126926141726271e-01,1.389916519547641727e+00,3.114129749047874970e-02,2.132751702946998965e-02,4.793365718656372038e-02,2.132751702946998965e-02,7.794751971388894085e-02,3.240411133701558144e-02,1.000000000000000056e-01,1.322222222222222143e+01
3.605263157894736947e-01,-2.725978730343990186e+00,1.398435454192709848e+01,1.925164263540991294e-01,1.747399060746763766e+00,5.830024768227198145e-02,3.022317131051806965e-02,7.602808638131927643e-02,3.022317131051806965e-02,1.069803647744296676e-01,3.142942506637300126e-02,1.000000000000000056e-01,1.277777777777777857e+01
