  
       XFOIL         Version 6.99
  
 Calculated polar for: FX_63_137                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.300 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.080 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.6249   0.02302   0.01182  -0.1429   0.3000   0.7375
   0.500   0.6716   0.02280   0.01153  -0.1413   0.3000   0.7623
   1.000   0.7242   0.02267   0.01133  -0.1412   0.3000   0.7894
   1.500   0.7738   0.02258   0.01120  -0.1406   0.3000   0.8180
   2.000   0.8189   0.02247   0.01109  -0.1390   0.3000   0.8491
   2.500   0.8583   0.02228   0.01096  -0.1363   0.3000   0.8859
   3.000   0.8898   0.02190   0.01070  -0.1323   0.3000   0.9414
   3.500   0.9639   0.02235   0.01115  -0.1379   0.3000   1.0000
   4.000   1.0418   0.02321   0.01200  -0.1442   0.3000   1.0000
   4.500   1.1098   0.02411   0.01293  -0.1482   0.3000   1.0000
   5.000   1.1688   0.02504   0.01391  -0.1502   0.3000   1.0000
   5.500   1.2212   0.02602   0.01502  -0.1508   0.3000   1.0000
   6.000   1.2691   0.02709   0.01622  -0.1506   0.3000   1.0000
   6.500   1.3137   0.02824   0.01758  -0.1498   0.3000   1.0000
   7.000   1.3558   0.02950   0.01909  -0.1486   0.3000   1.0000
   7.500   1.3957   0.03089   0.02074  -0.1471   0.3000   1.0000
   8.000   1.4338   0.03242   0.02258  -0.1455   0.3000   1.0000
   8.500   1.4703   0.03408   0.02458  -0.1438   0.3000   1.0000
   9.000   1.5056   0.03588   0.02676  -0.1420   0.3000   1.0000
   9.500   1.5405   0.03779   0.02908  -0.1402   0.3000   1.0000
  10.000   1.5764   0.03975   0.03149  -0.1385   0.3000   1.0000
  10.500   1.6178   0.04154   0.03378  -0.1372   0.3000   1.0000
  11.000   1.6879   0.04291   0.03538  -0.1376   0.2877   1.0000
  11.500   1.6808   0.04777   0.04007  -0.1320   0.2485   1.0000
  12.000   1.6892   0.05241   0.04454  -0.1282   0.2185   1.0000
  12.500   1.7175   0.05616   0.04806  -0.1261   0.1962   1.0000
  13.000   1.7467   0.06021   0.05220  -0.1243   0.1805   1.0000
  13.500   1.7887   0.06384   0.05585  -0.1235   0.1672   1.0000
  14.000   1.7838   0.07025   0.06290  -0.1203   0.1599   1.0000
  14.500   1.8223   0.07478   0.06755  -0.1196   0.1516   1.0000
  15.000   1.7934   0.08353   0.07702  -0.1168   0.1476   1.0000
