r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.039556638755280149e+00,-3.113121179606595845e+00,3.222851703331436890e-01,2.534419940256018577e+00,1.263157843930399690e-02,4.568648179811586434e-03,4.139909265386535253e+01
1.099137931034482735e-01,-1.100912121537721333e+00,-3.930696271664273045e+00,2.730835247634236795e-01,5.067752290785234592e+00,2.785520519215296115e-02,8.272156683037079281e-03,3.895229834209299025e+00
1.331896551724137956e-01,-1.185897265329298955e+00,-4.743967927473351054e+00,2.449598718116488827e-01,6.393404623698284439e+00,4.263588896390883148e-02,1.160720053827525577e-02,4.948151961170821522e+01
1.564655172413793038e-01,-1.293639707331443622e+00,-5.555243534018854845e+00,2.287907956920773589e-01,7.034110158261212220e+00,5.988921600420513136e-02,1.556120658579033048e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.420694074166023890e+00,-6.366879427977249151e+00,2.195416581394161737e-01,7.278332418450373709e+00,7.939764208072509766e-02,1.995367684425747301e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.561525163326557664e+00,-7.181260194306148037e+00,2.141114290661067787e-01,7.303747340425953638e+00,1.004651861019618675e-01,2.468261824694643197e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.709943062621284815e+00,-8.000289118592723625e+00,2.105668888238859393e-01,7.221120250905196158e+00,1.231282746916115001e-01,2.973383500541010652e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.860695420592945792e+00,-8.824888477420604005e+00,2.078026472262412827e-01,7.093785342290450657e+00,1.474896707817308916e-01,3.508391784319431911e-02,0.000000000000000000e+00
2.728448275862068728e-01,-2.010197110493971095e+00,-9.655003626358345414e+00,2.052701158084064836e-01,6.953174418302381810e+00,1.737357824281267060e-01,4.071551361681119419e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.156345047474997667e+00,-1.048998269346893153e+01,2.027381666509359415e-01,6.812530133252865383e+00,2.020700426998213450e-01,4.661332465426685362e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.297990087234670131e+00,-1.132896630787835868e+01,2.001267444720645217e-01,6.676439316914766664e+00,2.322548083839805488e-01,5.270878361331405443e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.434462414812859965e+00,-1.217112026295469995e+01,1.974143907854056523e-01,6.546131449992785178e+00,2.642242839737637961e-01,5.895775975713231365e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.565228089370370057e+00,-1.301573512402640809e+01,1.945927325394803398e-01,6.422086272998303258e+00,2.987584012166768499e-01,6.545745120240929749e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.689655515583064815e+00,-1.386225348617712427e+01,1.916460315146885085e-01,6.305205519491465793e+00,3.356514210326280723e-01,7.213383120052546671e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.806880249105512704e+00,-1.471025942779588647e+01,1.885446344266170637e-01,6.197188197517837338e+00,3.744168910983850518e-01,7.886691446605678668e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.915746068584585515e+00,-1.555944725201103473e+01,1.852454865765282843e-01,6.100501159603300749e+00,4.150260146981331055e-01,8.560970030510978157e-02,0.000000000000000000e+00
4.590517241379309943e-01,-3.014793708444920561e+00,-1.640957746583577403e+01,1.816953824635590131e-01,6.018192856394188439e+00,4.574675559890026832e-01,9.231294166523161537e-02,0.000000000000000000e+00
4.823275862068965303e-01,-3.102300508182894934e+00,-1.726041140548576180e+01,1.778362689740184410e-01,5.953589486292578670e+00,5.013566704946430530e-01,9.898012201829693713e-02,0.000000000000000000e+00
5.056034482758620108e-01,-3.176393295044684706e+00,-1.811159416501897113e+01,1.736133819721465410e-01,5.909828803146208287e+00,5.470460538368037140e-01,1.055092907153588055e-01,0.000000000000000000e+00
5.288793103448274913e-01,-3.235228069464789691e+00,-1.896242836206316085e+01,1.689854317597114519e-01,5.889276532401126474e+00,5.947379332517823691e-01,1.118079326489274244e-01,0.000000000000000000e+00
5.521551724137930828e-01,-3.277189925536055704e+00,-1.981142104280471727e+01,1.639347059272857898e-01,5.892947520362531222e+00,6.444325865216938842e-01,1.177927494282673543e-01,0.000000000000000000e+00
5.754310344827586743e-01,-3.301049351773214013e+00,-2.065533134127529280e+01,1.584757043736293447e-01,5.920010984028117207e+00,6.959690299555748583e-01,1.233632994686370971e-01,0.000000000000000000e+00
5.987068965517241548e-01,-3.306145306101549330e+00,-2.148709150992033301e+01,1.526692831762558877e-01,5.966980126998629785e+00,7.488183883232247817e-01,1.283863369474976535e-01,0.000000000000000000e+00
6.219827586206896353e-01,-3.294085353896843316e+00,-2.229196447425980665e+01,1.467083856943859899e-01,6.022800109105649113e+00,8.012866894191136291e-01,1.327441067889671145e-01,0.000000000000000000e+00
6.452586206896551158e-01,-3.286069883549944226e+00,-2.305858770395598967e+01,1.415564364086558391e-01,6.032270773729138114e+00,8.510635755090244503e-01,1.365651113275478390e-01,0.000000000000000000e+00
6.685344827586205962e-01,-3.465971020472448316e+00,-2.417553979498190131e+01,1.423965332586060450e-01,5.698422484130471588e+00,9.172880307028159486e-01,1.466347177939109625e-01,0.000000000000000000e+00
6.918103448275860767e-01,-3.799077692985668442e+00,-2.820243828993982760e+01,1.339013734072902195e-01,5.899445004185567498e+00,1.248323830961461045e+00,1.896623434041662670e-01,0.000000000000000000e+00
7.150862068965516682e-01,-2.875981200976824415e+00,-2.928361265709528283e+01,9.789733476104352239e-02,7.676610178327126555e+00,1.463321045634933704e+00,1.863679849570615832e-01,0.000000000000000000e+00
7.383620689655172598e-01,-3.027509326034127923e+00,-2.967779467682381522e+01,1.016609370914262900e-01,7.175257363316307035e+00,1.438955852901259380e+00,1.849218843303406801e-01,0.000000000000000000e+00
