r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.142857142857142960e-01,-9.135566393503192772e-01,4.625028923626516075e+00,1.950141658615994200e-01,3.826511350866134364e+00,3.457466040059421764e-02,7.256258255975089021e-03,2.140886695735379486e-01,4.787188805470161235e+00,0.000000000000000000e+00,4.787188805470161235e+00,-1.621598818436454648e-01,3.071216956703494150e-01,-9.135566393503192772e-01,9.082347623286921579e-01,1.076814862665826170e-02,3.190678688572605097e+04,4.120162625717157994e+02
1.428571428571428492e-01,-9.176508846284345822e-01,5.756908272063594900e+00,1.580701342934869302e-01,5.943248437917059590e+00,6.335037393113283899e-02,1.110338401821091975e-02,3.151823416353151663e-01,5.983986006837700877e+00,0.000000000000000000e+00,5.983986006837700877e+00,-2.270777347741058383e-01,3.757006427635219969e-01,-9.176508846284345822e-01,1.081319759711605988e+00,1.669360019011913165e-02,3.945438216744139208e+04,7.393299752624974985e+01
1.714285714285714302e-01,-9.911105476008575943e-01,6.896863165248566574e+00,1.427274049615274987e-01,6.822322074849907381e+00,9.539777309718651399e-02,1.560341573074308305e-02,3.963064113010525413e-01,7.180783208205242296e+00,0.000000000000000000e+00,7.180783208205242296e+00,-2.839200429566759443e-01,4.406257254077501906e-01,-9.911105476008575943e-01,1.137550934865243946e+00,2.206971821508743603e-02,4.715717225278185651e+04,4.601799836995332527e+01
2.000000000000000111e-01,-1.107328721365576474e+00,8.047486449005806008e+00,1.367406453649792353e-01,7.165338132691568163e+00,1.325066690282217241e-01,2.103351256875582789e-02,4.717884149188456000e-01,8.377580409572782827e+00,0.000000000000000000e+00,8.377580409572782827e+00,-3.300939605669768184e-01,4.980299305170891033e-01,-1.107328721365576474e+00,1.161566495204944260e+00,2.402629210326531067e-02,5.497822373750730185e+04,7.128225057276794674e-01
2.285714285714285920e-01,-1.241485073038768538e+00,9.208005238216736998e+00,1.340185379772642627e-01,7.321303397389017142e+00,1.751692278003036674e-01,2.740612021423743591e-02,5.450875536300452406e-01,9.574377610940322469e+00,0.000000000000000000e+00,9.574377610940322469e+00,-3.663723727235862482e-01,5.461548545590270143e-01,-1.241485073038768538e+00,1.173326276163132009e+00,2.485290800616178977e-02,6.288324976301914285e+04,0.000000000000000000e+00
2.571428571428571730e-01,-1.383660078065257260e+00,1.037661145186444500e+01,1.325621263151970930e-01,7.404749638859099647e+00,2.236011865891699424e-01,3.470994910501633279e-02,6.174390482475091702e-01,1.077117481230786389e+01,0.000000000000000000e+00,1.077117481230786389e+01,-3.945633604434184982e-01,5.850463865120487661e-01,-1.383660078065257260e+00,1.179618122769976241e+00,2.529517308595322783e-02,7.085005055585241644e+04,2.648409582895933454e+03
2.857142857142856984e-01,-1.530167940697521489e+00,1.155145946751408381e+01,1.316985980946297485e-01,7.454226161388049832e+00,2.779441102398154673e-01,4.294372223662349525e-02,6.894405719408120969e-01,1.196797201367540175e+01,0.000000000000000000e+00,1.196797201367540175e+01,-4.165125461613182756e-01,6.155143563657711203e-01,-1.530167940697521489e+00,1.183348652568658954e+00,2.555739865535666330e-02,7.886269700873775582e+04,1.708878554901303346e+02
3.142857142857142794e-01,-1.679020279599056975e+00,1.273097718219566765e+01,1.311278695648851467e-01,7.486926497390122393e+00,3.382813619257023507e-01,5.210350971721813829e-02,7.613649921500623696e-01,1.316476921504294317e+01,0.000000000000000000e+00,1.316476921504294317e+01,-4.337920328472756881e-01,6.384375303025200399e-01,-1.679020279599056975e+00,1.185814257903215374e+00,2.573071043616764753e-02,8.690879833068368316e+04,2.819297438386063732e+03
3.428571428571428603e-01,-1.829211638894025826e+00,1.391393208327032660e+01,1.307165560364570434e-01,7.510493026625686852e+00,4.046565610048347694e-01,6.220663546190868115e-02,8.333285425390410950e-01,1.436156641641048459e+01,0.000000000000000000e+00,1.436156641641048459e+01,-4.476343331401574921e-01,6.544820355207358054e-01,-1.829211638894025826e+00,1.187614258866153349e+00,2.591353454808993304e-02,9.497916848188465519e+04,3.096898158484514170e+03
3.714285714285713857e-01,-1.980186232793169854e+00,1.509940636530845204e+01,1.303991551512046210e-01,7.528678757764367013e+00,4.770889139880345464e-01,7.325457697664378154e-02,9.053654277734836109e-01,1.555836361777802246e+01,0.000000000000000000e+00,1.555836361777802246e+01,-4.589572524695699207e-01,6.640610336095538191e-01,-1.980186232793169854e+00,1.189025471602515038e+00,2.611030415901045149e-02,1.030671477118794428e+05,1.470000000000000000e+02
