r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-2.103217782383328682e+00,4.440024812214010019e+00,4.423830772742667894e-01,4.653316744174752273e+00,2.412700791074219933e-02,1.177861486998156917e-02,2.428647926157787851e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-1.334502072976620213e-01,2.560067881246742005e-01,-1.970217782383328675e+00,9.886664671617471090e-01,1.164077611161164205e-02,3.325081282073108014e+04,9.349797673477982585e+01
1.275510204081632681e-01,-2.136223362205002196e+00,5.171326558493841929e+00,3.917396926576529048e-01,7.075802276297814331e+00,3.727408971573546725e-02,1.629501730967541917e-02,3.230701787977741102e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-1.715180904683918373e-01,2.957616391715308102e-01,-2.003223362205002189e+00,1.154815491632855240e+00,2.355175206437841798e-02,3.786794871763735136e+04,1.137444450454092681e+01
1.459183673469388043e-01,-3.637515122577691939e-01,5.904477054353056253e+00,6.152828968589878211e-02,2.551635534700635333e+01,3.934613544462488982e-02,1.029938878497950808e-02,2.998062108540564541e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-2.077372240597407105e-01,3.325810912038005274e-01,-2.307515122577691868e-01,1.013600000000000056e+00,1.996600000000000041e-01,4.003700047270473442e+04,2.680528239376394950e+01
1.642857142857143127e-01,-2.574964387922551445e+00,6.641092044731512267e+00,3.698860485297466028e-01,7.369590518474371521e+00,6.211563852069944269e-02,2.562130063963121915e-02,4.191661679021405629e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-2.404918631318452849e-01,3.642234701534901586e-01,-2.441964387922551438e+00,1.176967125092967636e+00,2.510882974791416727e-02,4.820692162426945288e+04,7.631713812709226552e-01
1.826530612244898211e-01,-8.073637400452075008e-01,7.381858813811938091e+00,1.089383335467037084e-01,2.184162659391877526e+01,6.116091578620689445e-02,1.914934787593442975e-02,3.763435369132073216e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-2.690947235019813255e-01,3.889728879346727175e-01,-6.743637400452074937e-01,1.013600000000000056e+00,1.996600000000000041e-01,5.025801941321877530e+04,0.000000000000000000e+00
2.010204081632653295e-01,-1.335221945987986603e+00,8.126846994489786979e+00,1.628428164067745043e-01,1.827396056253477141e+01,7.385151603136660969e-02,2.757335193681816066e-02,4.173905226908514732e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-2.934761722746948576e-01,4.060948405160959562e-01,-1.202221945987986595e+00,1.013600000000000056e+00,1.996600000000000041e-01,5.573955424973960180e+04,3.932420914661680627e+02
2.193877551020408379e-01,-1.482993523395946811e+00,8.875795780417545799e+00,1.655536146174598489e-01,1.763947659928421885e+01,8.808026380792970123e-02,3.315815424863292893e-02,4.560609272991136831e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-3.138970157974974029e-01,4.158170244735716614e-01,-1.349993523395946804e+00,1.013600000000000056e+00,1.996600000000000041e-01,6.090371346843730862e+04,3.375337584387028045e+01
2.377551020408163462e-01,-1.603457605607795156e+00,9.628288651571772050e+00,1.650216332395365304e-01,1.719079022035210969e+01,1.036506510039293533e-01,3.895674447386372752e-02,4.946820221739793855e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-3.307737740938316295e-01,4.189784793178269462e-01,-1.470457605607795148e+00,1.013600000000000056e+00,1.996600000000000041e-01,6.606128772078872134e+04,4.269954673100383502e+02
2.561224489795918546e-01,-1.715682448571593799e+00,1.038382582589102476e+01,1.637470375275804080e-01,1.678465250856600477e+01,1.205626042790737956e-01,4.513775253895167816e-02,5.333872092622015115e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-3.446062292251411696e-01,4.165931091149082111e-01,-1.582682448571593792e+00,1.013600000000000056e+00,1.996600000000000041e-01,7.123009189393812267e+04,4.764516172550742681e+02
2.744897959183673630e-01,-1.824001497297795149e+00,1.114186355696513431e+01,1.622676654160302434e-01,1.639024762022051718e+01,1.388168443933753826e-01,5.173798795989256738e-02,5.721861889672681389e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-3.559381276015926021e-01,4.095279416394621008e-01,-1.691001497297795142e+00,1.013600000000000056e+00,1.996600000000000041e-01,7.641142140824612579e+04,1.470000000000000000e+02
2.928571428571428714e-01,-1.929781402746880703e+00,1.190186220007544904e+01,1.607422486506025483e-01,1.599848089621135472e+01,1.584115339097366126e-01,5.876600859362902940e-02,6.110637471071797000e-01,1.226717131401728800e+01,0.000000000000000000e+00,1.226717131401728800e+01,-3.653091139418389033e-01,3.983556064890812487e-01,-1.796781402746880696e+00,1.013600000000000056e+00,1.996600000000000041e-01,8.160324451730417786e+04,0.000000000000000000e+00
3.112244897959184353e-01,-2.033682419426248167e+00,1.266333412372208933e+01,1.592364554723067760e-01,1.560558982348062429e+01,1.793428547365864267e-01,6.622386504396293727e-02,6.500011708031158131e-01,1.303654094346785186e+01,0.000000000000000000e+00,1.303654094346785186e+01,-3.732068197457630854e-01,3.833481223979537944e-01,-1.900682419426248160e+00,1.013600000000000056e+00,1.996600000000000041e-01,8.680306224854011089e+04,3.000000000000000000e+00
3.295918367346939437e-01,-2.138500421537002705e+00,1.342587121520124782e+01,1.579551641751091862e-01,1.519983574047022401e+01,2.016043848491900770e-01,7.415072634557751119e-02,6.890005215130043936e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,-3.800393577171654047e-01,3.645509017429211518e-01,-2.005500421537002698e+00,1.013600000000000056e+00,1.996600000000000041e-01,9.201114989563486597e+04,0.000000000000000000e+00
3.479591836734694521e-01,-2.234251419088651769e+00,1.418914598763332258e+01,1.561796458591058756e-01,1.482239877975872133e+01,2.251864703278835256e-01,8.157909743889196763e-02,7.275452672863329528e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897603e+01,-3.861342147356537913e-01,3.418801478618267442e-01,-2.101251419088651762e+00,1.013013915973203893e+00,1.962802487788084804e-01,9.721473979131286615e+04,4.000000000000000000e+02
3.663265306122449605e-01,-2.317857950365961983e+00,1.495289436455371224e+01,1.537867051724667589e-01,1.448033751506161160e+01,2.500792846763694177e-01,8.823022945433552089e-02,7.655656811485553881e-01,1.534464983181953635e+01,0.000000000000000000e+00,1.534464983181953635e+01,-3.917554672658241643e-01,3.152058685563121632e-01,-2.184857950365961976e+00,1.011885113799703362e+00,1.897708229116224776e-01,1.024091494611830130e+05,0.000000000000000000e+00
3.846938775510204689e-01,-2.391163700919177515e+00,1.571689312851319542e+01,1.509819224153261530e-01,1.416187306283017122e+01,2.762850149929480525e-01,9.486950712610695002e-02,8.034993572444326659e-01,1.611401946127010021e+01,0.000000000000000000e+00,1.611401946127010021e+01,-3.971263327569041768e-01,2.844043075356321726e-01,-2.258163700919177508e+00,1.010834181107339580e+00,1.837104443856581726e-01,1.075952562238843238e+05,0.000000000000000000e+00
4.030612244897959773e-01,-2.412902440572821661e+00,1.648094248738792800e+01,1.453728118335429476e-01,1.400408475932185048e+01,3.038461995265263615e-01,1.014892956160024090e-01,8.414212558238078898e-01,1.688338909072065874e+01,0.000000000000000000e+00,1.688338909072065874e+01,-4.024466033327293024e-01,2.493785991306630145e-01,-2.279902440572821654e+00,1.010313479705762019e+00,1.807077329698948409e-01,1.127313844962662261e+05,0.000000000000000000e+00
4.214285714285714857e-01,-2.607305297635119423e+00,1.724485958579093392e+01,1.500566748996310928e-01,1.325655250715112743e+01,3.362801634473672752e-01,1.072157731630371258e-01,8.881560326204497313e-01,1.765275872017122083e+01,0.000000000000000000e+00,1.765275872017122083e+01,-4.078991343802880754e-01,2.100534155678484283e-01,-2.474305297635119416e+00,1.018477922421337611e+00,1.628814301873879322e-01,1.180388969523217093e+05,0.000000000000000000e+00
4.397959183673469941e-01,-2.628182933703112845e+00,1.800848690525406326e+01,1.449182662368902474e-01,1.307179497027297366e+01,3.677437395410103615e-01,1.133430115774786140e-01,9.286263707981210480e-01,1.842212834962178292e+01,0.000000000000000000e+00,1.842212834962178292e+01,-4.136414443677207120e-01,1.663502785504937798e-01,-2.495182933703112838e+00,1.020510255326997129e+00,1.584706519236501188e-01,1.231717652778642951e+05,0.000000000000000000e+00
4.581632653061225025e-01,-1.810472813597713948e+00,1.877171663477671970e+01,9.614945208193106940e-02,1.538687552654333501e+01,3.960112039165741282e-01,1.184510940402237339e-01,9.557650865648885663e-01,1.919149797907234500e+01,0.000000000000000000e+00,1.919149797907234500e+01,-4.197813442956235819e-01,1.181453491432365721e-01,-1.677472813597713941e+00,1.013600000000000056e+00,1.996600000000000041e-01,1.276356719620737422e+05,0.000000000000000000e+00
4.765306122448980108e-01,-4.821757108088930543e+00,1.953451960773886142e+01,2.419954069575884770e-01,6.551351186446048303e+00,4.929868587301060034e-01,1.312657609367213207e-01,1.126702536413431988e+00,1.996086760852290709e+01,0.000000000000000000e+00,1.996086760852290709e+01,-4.263480007840472763e-01,6.521318255158990718e-02,-4.688757108088930536e+00,1.119937827118993257e+00,2.042221521359197448e-02,1.361767196065707831e+05,0.000000000000000000e+00
4.948979591836735192e-01,-6.514989539089555137e-01,2.029696744692654775e+01,3.208732273084113906e-02,1.809903183164861318e+01,4.670360315484700098e-01,1.076690989821404987e-01,1.029180084770755510e+00,2.073023723797346918e+01,0.000000000000000000e+00,2.073023723797346918e+01,-4.332697910469227587e-01,7.178600106329237340e-03,-5.184989539089555066e-01,1.013600000000000056e+00,1.996600000000000041e-01,1.374397262222504360e+05,0.000000000000000000e+00
5.132653061224490276e-01,-4.534025510510486079e+00,2.105925306836249788e+01,2.120614500755756970e-01,7.308107246578632754e+00,5.955892540956552184e-01,1.414640268255366318e-01,1.262706821887289221e+00,2.149960686742403126e+01,0.000000000000000000e+00,2.149960686742403126e+01,-4.403537990615339348e-01,-5.650890232847639860e-02,-4.401025510510486072e+00,1.172331286392028993e+00,2.478296840686675453e-02,1.457940099523123645e+05,0.000000000000000000e+00
5.316326530612245360e-01,-4.319291247778399345e+00,2.182167943124336773e+01,1.954099521069287970e-01,7.783001136086095784e+00,6.569872351250334308e-01,1.464204451093347459e-01,1.344446940016218228e+00,2.226897649687458980e+01,0.000000000000000000e+00,2.226897649687458980e+01,-4.472970656312214022e-01,-1.265784842473942351e-01,-4.186291247778399338e+00,1.208760888160281155e+00,2.886207229245155853e-02,1.505534726873178734e+05,0.000000000000000000e+00
5.500000000000000444e-01,-4.246504205209117089e+00,2.258457850991297278e+01,1.858567321830852104e-01,7.851193651815957963e+00,7.056071073935338278e-01,1.505666956155504721e-01,1.394967052082414227e+00,2.303834612632515189e+01,0.000000000000000000e+00,2.303834612632515189e+01,-4.537676164121795530e-01,-2.038608959920833463e-01,-4.113504205209117082e+00,1.214052627380918459e+00,2.959991531264866485e-02,1.555299192178127414e+05,0.000000000000000000e+00
5.683673469387755528e-01,-4.228199112992271580e+00,2.334822303471039362e+01,1.791514077182835563e-01,7.756213777248243346e+00,7.488482749324794074e-01,1.540030073589757631e-01,1.431606735352655368e+00,2.380771575577571397e+01,0.000000000000000000e+00,2.380771575577571397e+01,-4.594927210653210747e-01,-2.890827035919486532e-01,-4.095199112992271573e+00,1.206682189114463677e+00,2.857223306982599464e-02,1.605899415295918589e+05,0.000000000000000000e+00
5.867346938775510612e-01,-4.235404979585932317e+00,2.411280682714850343e+01,1.738758982484690518e-01,7.579311537983244307e+00,7.891549297468392066e-01,1.568651790119136580e-01,1.460292996664622533e+00,2.457708538522627606e+01,0.000000000000000000e+00,2.457708538522627606e+01,-4.642785580777721299e-01,-3.826107285455211393e-01,-4.102404979585932310e+00,1.192954575347499935e+00,2.665815084097870533e-02,1.656927876786554407e+05,0.000000000000000000e+00
6.051020408163265696e-01,-4.256085001543060464e+00,2.487847372270099910e+01,1.694347806307743842e-01,7.354602167131679025e+00,8.276117727001128799e-01,1.597824618382633344e-01,1.483900608142351807e+00,2.534645501467683815e+01,0.000000000000000000e+00,2.534645501467683815e+01,-4.679812919758402079e-01,-4.842700652982191434e-01,-4.123085001543060457e+00,1.175837003401728698e+00,2.502939148579789996e-02,1.708225493844827870e+05,0.000000000000000000e+00
6.234693877551020780e-01,-4.282004217307079585e+00,2.564534096532943863e+01,1.654438600998276720e-01,7.104098403260367789e+00,8.649013919010817286e-01,1.626878499308040960e-01,1.504054943517082688e+00,2.611582464412740023e+01,0.000000000000000000e+00,2.611582464412740023e+01,-4.704836787979621016e-01,-5.933013673829657941e-01,-4.149004217307079578e+00,1.156949019605831852e+00,2.370172153727994821e-02,1.759693332642229798e+05,0.000000000000000000e+00
