r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.102272727272727293e-01,-2.038043208346289603e+00,4.482702943956346608e+00,4.267108641573937322e-01,5.551268411401146352e+00,2.909855197712089489e-02,1.370448469215272171e-02,2.606561828489406540e-01,4.617189203003181142e+00,0.000000000000000000e+00,4.617189203003181142e+00,-1.344862590468342556e-01,2.706729476671799195e-01,-2.038043208346289603e+00,1.058663314178986292e+00,1.423196562359919926e-02,3.332711167280565132e+04,9.415023473951654864e+01
1.306818181818181768e-01,-2.112791922622645924e+00,5.298108150004592787e+00,3.794562226588599207e-01,7.723876210740659332e+00,4.516427876743926706e-02,1.924914542058934683e-02,3.434207057148739861e-01,5.473987199436760598e+00,0.000000000000000000e+00,5.473987199436760598e+00,-1.758790494321678111e-01,3.169170591548622351e-01,-2.112791922622645924e+00,1.204172793953475207e+00,2.822234060021393612e-02,3.860336604688021180e+04,1.137350672861586887e+01
1.511363636363636520e-01,-6.773631616247497433e-01,6.116311560456154872e+00,1.102975369296239350e-01,2.261064920138374745e+01,4.675303278334879548e-02,1.470807762190174187e-02,3.118697806424035601e-01,6.330785195870341830e+00,0.000000000000000000e+00,6.330785195870341830e+00,-2.144736354141870693e-01,3.584797681060466479e-01,-6.773631616247497433e-01,1.013600000000000056e+00,1.996600000000000041e-01,4.164800495443923865e+04,2.639191962648040146e+01
1.715909090909090995e-01,-1.096474599724703403e+00,6.938908830325628330e+00,1.567224354180042634e-01,1.941581473274604264e+01,5.997461228130715472e-02,2.197495493449748427e-02,3.560273149133399428e-01,7.187583192303921287e+00,0.000000000000000000e+00,7.187583192303921287e+00,-2.486743619782929016e-01,3.923846406828440658e-01,-1.096474599724703403e+00,1.013600000000000056e+00,1.996600000000000041e-01,4.754493155723754899e+04,7.733721856336207567e-01
1.920454545454545470e-01,-1.234032899713498388e+00,7.766351661395706429e+00,1.575774643888614712e-01,1.883194146042428230e+01,7.512779310796169341e-02,2.760002848923007179e-02,3.985364330354801976e-01,8.044381188737501631e+00,0.000000000000000000e+00,8.044381188737501631e+00,-2.780295273417954238e-01,4.170283515751238568e-01,-1.234032899713498388e+00,1.013600000000000056e+00,1.996600000000000041e-01,5.322172383410670591e+04,0.000000000000000000e+00
2.124999999999999944e-01,-1.358618678105156796e+00,8.598585955675320136e+00,1.567093545905070273e-01,1.834679676709371421e+01,9.209571979524867891e-02,3.374289995478030324e-02,4.411824996100854324e-01,8.901179185171081087e+00,0.000000000000000000e+00,8.901179185171081087e+00,-3.025932294957612845e-01,4.323802495295467896e-01,-1.358618678105156796e+00,1.013600000000000056e+00,1.996600000000000041e-01,5.891680460885116918e+04,3.920282979272518560e+02
2.329545454545454697e-01,-1.481133367127674738e+00,9.435265674184806883e+00,1.557077508022363388e-01,1.786930071597570446e+01,1.108959672826892173e-01,4.050517392453925614e-02,4.840351111284635355e-01,9.757977181604662320e+00,0.000000000000000000e+00,9.757977181604662320e+00,-3.227115074198558253e-01,4.394109998485336011e-01,-1.481133367127674738e+00,1.013600000000000056e+00,1.996600000000000041e-01,6.463946800097137020e+04,3.375202165624138217e+01
2.534090909090909172e-01,-1.602600855161556481e+00,1.027579497783702323e+01,1.547124883796522632e-01,1.739144133136750270e+01,1.315408722720000645e-01,4.789747442172784253e-02,5.270727112950343018e-01,1.061477517803824178e+01,0.000000000000000000e+00,1.061477517803824178e+01,-3.389802002012185511e-01,4.393765610267816868e-01,-1.602600855161556481e+00,1.013600000000000056e+00,1.996600000000000041e-01,7.038683531952628982e+04,4.257803195834932239e+02
2.738636363636363646e-01,-1.722824629265005569e+00,1.111943359477184501e+01,1.537159146059545456e-01,1.691365708164357784e+01,1.540344921414727175e-01,5.591419328660978544e-02,5.702568193204194946e-01,1.147157317447182123e+01,0.000000000000000000e+00,1.147157317447182123e+01,-3.521395796999760575e-01,4.333078768723581109e-01,-1.722824629265005569e+00,1.013600000000000056e+00,1.996600000000000041e-01,7.615376772703151801e+04,4.764123357889826025e+02
2.943181818181818121e-01,-1.841559086369297660e+00,1.196544415699221986e+01,1.527082342517708802e-01,1.643650919210631400e+01,1.783749021938219048e-01,6.454635531091566791e-02,6.135487367455779717e-01,1.232837117090540069e+01,0.000000000000000000e+00,1.232837117090540069e+01,-3.629270139131807182e-01,4.218154278992378714e-01,-1.841559086369297660e+00,1.013600000000000056e+00,1.996600000000000041e-01,8.193509731772389205e+04,1.320000000000000000e+02
3.147727272727273151e-01,-1.958554491941651321e+00,1.281319498323269990e+01,1.516804572969367437e-01,1.596051275296888861e+01,2.045574509273491159e-01,7.378303551710704844e-02,6.569150541588053560e-01,1.318516916733898192e+01,0.000000000000000000e+00,1.318516916733898192e+01,-3.719741841062816912e-01,4.051356894624207339e-01,-1.958554491941651321e+00,1.013600000000000056e+00,1.996600000000000041e-01,8.772636250065389322e+04,0.000000000000000000e+00
3.352272727272727071e-01,-2.073616657029095478e+00,1.366218885227175051e+01,1.506281500422315678e-01,1.548592179648426281e+01,2.325767790715871086e-01,8.361301379225136166e-02,7.003295532750161145e-01,1.404196716377255960e+01,0.000000000000000000e+00,1.404196716377255960e+01,-3.797783115008089849e-01,3.832747365418321950e-01,-2.073616657029095478e+00,1.013600000000000056e+00,1.996600000000000041e-01,9.352406200858372904e+04,3.000000000000000000e+00
3.556818181818182101e-01,-2.190724688617109450e+00,1.451203842689419155e+01,1.498278393590726509e-01,1.499689249999826757e+01,2.624228277254075370e-01,9.408972019113143181e-02,7.437955640306163074e-01,1.489876516020614261e+01,0.000000000000000000e+00,1.489876516020614261e+01,-3.867267333119512873e-01,3.561423407003474484e-01,-2.190724688617109450e+00,1.013589745249994234e+00,1.996008642749670381e-01,9.932964547028529341e+04,0.000000000000000000e+00
3.761363636363636576e-01,-2.281998304067721861e+00,1.536241977577396334e+01,1.474658758742743991e-01,1.459733931811098451e+01,2.940625795261296305e-01,1.023394544044504140e-01,7.860783954770877990e-01,1.575556315663972207e+01,0.000000000000000000e+00,1.575556315663972207e+01,-3.931433808657595619e-01,3.236378507778384650e-01,-2.281998304067721861e+00,1.012271219749766304e+00,1.919973672236520434e-01,1.051130118692539254e+05,4.000000000000000000e+02
3.965909090909091050e-01,-2.362427673773821013e+00,1.621302734069542595e+01,1.446933896167082734e-01,1.422130735849731309e+01,3.275096787475916815e-01,1.105437570381180845e-01,8.282481652970906660e-01,1.661236115307330152e+01,0.000000000000000000e+00,1.661236115307330152e+01,-3.993338123778751303e-01,2.856895947687407844e-01,-2.362427673773821013e+00,1.011030314283041021e+00,1.848414790322038814e-01,1.108878120899152564e+05,0.000000000000000000e+00
4.170454545454545525e-01,-2.385633325816863604e+00,1.706354515464481736e+01,1.389083864050781325e-01,1.401787990606311141e+01,3.628270674373481608e-01,1.186862256106719082e-01,8.703992412437099313e-01,1.746915914950688276e+01,0.000000000000000000e+00,1.746915914950688276e+01,-4.056139948620647862e-01,2.422590515900395480e-01,-2.385633325816863604e+00,1.010359003690008306e+00,1.809702546123810318e-01,1.166085238103115698e+05,0.000000000000000000e+00
4.375000000000000000e-01,-2.613758558516110497e+00,1.791364878821845608e+01,1.448863685160959869e-01,1.314048304016685087e+01,4.048267314697709396e-01,1.255043076303564709e-01,9.230477285953286870e-01,1.832595714594046044e+01,0.000000000000000000e+00,1.832595714594046044e+01,-4.123083577220044149e-01,1.933188580996628159e-01,-2.613758558516110497e+00,1.019754686558164591e+00,1.601104651122499667e-01,1.225225353527075931e+05,0.000000000000000000e+00
4.579545454545454475e-01,-2.373596619487695847e+00,1.876306587572128137e+01,1.258352522385554340e-01,1.369714787695267511e+01,4.408892132784394402e-01,1.340981273624695103e-01,9.585204901619746032e-01,1.918275514237404167e+01,0.000000000000000000e+00,1.918275514237404167e+01,-4.196892666527610727e-01,1.388028401812807511e-01,-2.373596619487695847e+00,1.013631373353520493e+00,1.733999103157835564e-01,1.279996700864445302e+05,0.000000000000000000e+00
4.784090909090908950e-01,-1.337075531391521466e+00,1.961171577389267640e+01,6.807204734256684653e-02,1.647185200771200186e+01,4.829795719001225840e-01,1.298094073459446496e-01,9.962290283901569232e-01,2.003955313880761935e+01,0.000000000000000000e+00,2.003955313880761935e+01,-4.278373649149419533e-01,7.848676982130450841e-02,-1.337075531391521466e+00,1.013600000000000056e+00,1.996600000000000041e-01,1.330393456346279709e+05,0.000000000000000000e+00
4.988636363636363424e-01,-4.462130515450795087e+00,2.045983993664944833e+01,2.147298067953631595e-01,7.534097637291688798e+00,6.353990639347195657e-01,1.532904528021679924e-01,1.245395463647358980e+00,2.089635113524120058e+01,0.000000000000000000e+00,2.089635113524120058e+01,-4.365111985917516368e-01,1.175267861055166382e-02,-4.462130515450795087e+00,1.189445976653835224e+00,2.616893643549607351e-02,1.417261752231752907e+05,0.000000000000000000e+00
5.193181818181817899e-01,-4.237079278529257920e+00,2.130793685406996474e+01,1.962893674723889259e-01,8.055773261934962903e+00,7.098295300803791896e-01,1.603336689450017283e-01,1.336368310756441691e+00,2.175314913167477826e+01,0.000000000000000000e+00,2.175314913167477826e+01,-4.452122776048144104e-01,-6.262436957424510897e-02,-4.237079278529257920e+00,1.230251490045376039e+00,3.182015948556849577e-02,1.470346791572693910e+05,0.000000000000000000e+00
5.397727272727272929e-01,-4.167549608977063613e+00,2.215652116330963395e+01,1.859234982484782583e-01,8.114810098519361858e+00,7.691747733234215456e-01,1.657152913611154577e-01,1.392355139618182358e+00,2.260994712810836305e+01,0.000000000000000000e+00,2.260994712810836305e+01,-4.534259647987285424e-01,-1.463433193194904058e-01,-4.167549608977063613e+00,1.235175162216514799e+00,3.246602247780181610e-02,1.525839950399109221e+05,0.000000000000000000e+00
5.602272727272727959e-01,-4.154456358642434566e+00,2.300597274461786412e+01,1.786562703019175524e-01,7.996307867686578419e+00,8.218505092897376851e-01,1.700990882233140711e-01,1.432273401737865326e+00,2.346674512454194428e+01,0.000000000000000000e+00,2.346674512454194428e+01,-4.607723799240799334e-01,-2.410210102216867323e-01,-4.154456358642434566e+00,1.225313490532478511e+00,3.117005112836877811e-02,1.582217636743649491e+05,0.000000000000000000e+00
5.806818181818181879e-01,-4.172262432852708258e+00,2.385657028617681874e+01,1.731383984790663966e-01,7.777574914099876224e+00,8.710215794928271027e-01,1.738197749798182923e-01,1.463218838992290216e+00,2.432354312097552196e+01,0.000000000000000000e+00,2.432354312097552196e+01,-4.669728347987014971e-01,-3.475230430170449525e-01,-4.172262432852708258e+00,1.208339813334150525e+00,2.880336057056066129e-02,1.639108522202031454e+05,0.000000000000000000e+00
6.011363636363635798e-01,-4.201956692249417813e+00,2.470856345004827403e+01,1.684491947069915729e-01,7.511362778586358147e+00,9.180512327460840227e-01,1.768186497385079159e-01,1.488361843133280127e+00,2.518034111740909964e+01,0.000000000000000000e+00,2.518034111740909964e+01,-4.717776673608251592e-01,-4.655364087532353201e-01,-4.201956692249417813e+00,1.187681751618301362e+00,2.592294526430439366e-02,1.696273796631618170e+05,0.000000000000000000e+00
6.215909090909090828e-01,-4.237582324708231596e+00,2.556217652201491930e+01,1.642814609739254306e-01,7.215272610695114608e+00,9.636621056766728755e-01,1.804623640604215151e-01,1.509747602508892061e+00,2.603713911384268087e+01,0.000000000000000000e+00,2.603713911384268087e+01,-4.749625918277613490e-01,-5.935602052852014809e-01,-4.237582324708231596e+00,1.165331554846411599e+00,2.429094483668410923e-02,1.753647706884029903e+05,0.000000000000000000e+00
6.420454545454545858e-01,-4.276242852489360757e+00,2.641756356356128421e+01,1.604792257624704788e-01,6.898240920097284956e+00,1.008695478684548563e+00,1.837581541991820111e-01,1.528727267775680021e+00,2.689393711027626210e+01,0.000000000000000000e+00,2.689393711027626210e+01,-4.763735467149763925e-01,-7.292741070588777408e-01,-4.276242852489360757e+00,1.142485659806323550e+00,2.253130479419149235e-02,1.811201478386124654e+05,0.000000000000000000e+00
6.624999999999999778e-01,-4.323522551884373399e+00,2.727477389468123192e+01,1.572092039079462655e-01,6.550715650346832675e+00,1.053727069355689494e+00,1.867856963888607502e-01,1.546315277415390543e+00,2.775073510670983978e+01,0.000000000000000000e+00,2.775073510670983978e+01,-4.759612120286095260e-01,-8.700733358379120208e-01,-4.323522551884373399e+00,1.119896517272544134e+00,2.041835115410874091e-02,1.868992945490497805e+05,0.000000000000000000e+00
6.829545454545453698e-01,-4.367089735318373300e+00,2.813375540223503535e+01,1.539969701466470942e-01,6.199879366748477949e+00,1.098397131835893159e+00,1.892790035156706463e-01,1.562175265586112083e+00,2.860753310314341746e+01,0.000000000000000000e+00,2.860753310314341746e+01,-4.737777009083808943e-01,-1.013532775178188183e+00,-4.367089735318373300e+00,1.097392279471902654e+00,1.827326172450068412e-02,1.926883093499479000e+05,0.000000000000000000e+00
7.034090909090908728e-01,-4.413565877712763097e+00,2.899438682396577605e+01,1.510617454579663288e-01,5.833171632402253337e+00,1.142625588962345340e+00,1.913753793423279004e-01,1.576337983168710100e+00,2.946433109957699870e+01,0.000000000000000000e+00,2.946433109957699870e+01,-4.699442756112219843e-01,-1.157671889575554669e+00,-4.413565877712763097e+00,1.074957320352850187e+00,1.600231785148615096e-02,1.984931977457639587e+05,0.000000000000000000e+00
7.238636363636363757e-01,-4.464630481813809837e+00,2.985651766916023675e+01,1.484363319594144970e-01,5.448713024415715367e+00,1.185739434074415843e+00,1.931599857688293953e-01,1.588080167393211894e+00,3.032112909601057993e+01,0.000000000000000000e+00,3.032112909601057993e+01,-4.646114268503441225e-01,-1.301021283349977686e+00,-4.464630481813809837e+00,1.052109911709100176e+00,1.372844410643163371e-02,2.043143261373507266e+05,0.000000000000000000e+00
7.443181818181817677e-01,-4.493192702594974719e+00,3.072000056696508352e+01,1.452329766682795009e-01,5.097368041948421080e+00,1.225605674841052872e+00,1.944976904166070275e-01,1.595056653451652595e+00,3.117792709244415761e+01,0.000000000000000000e+00,3.117792709244415761e+01,-4.579265254790745310e-01,-1.442559189745189263e+00,-4.493192702594974719e+00,1.027515762936389354e+00,1.248468286849740982e-02,2.101237435048228072e+05,0.000000000000000000e+00
7.647727272727272707e-01,-4.495378297939048196e+00,3.158471213152084189e+01,1.413781269707993504e-01,4.783350939341081798e+00,1.261157398081991676e+00,1.947320266131712940e-01,1.596238126198481488e+00,3.203472508887774239e+01,0.000000000000000000e+00,3.203472508887774239e+01,-4.500129573568991681e-01,-1.581592146561148660e+00,-4.495378297939048196e+00,1.000681626795115964e+00,1.182802535265115723e-02,2.159182060896284529e+05,0.000000000000000000e+00
7.852272727272726627e-01,-4.488455021695816782e+00,3.245056587617583688e+01,1.374446148222940589e-01,4.473840863183641048e+00,1.292410409183825770e+00,1.942257312629694921e-01,1.592050835683344046e+00,3.289152308531132007e+01,0.000000000000000000e+00,3.289152308531132007e+01,-4.409572091354851953e-01,-1.717633277930826319e+00,-4.488455021695816782e+00,9.719625637288131781e-01,1.139279449771098650e-02,2.217149114823227865e+05,0.000000000000000000e+00
