r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.025823113945901088e+00,-3.597300295392277469e+00,2.777914917124900684e-01,5.837199402309334317e-01,1.365414038934324552e-02,4.278087554339845590e-03,4.090485623072736132e+01
1.099137931034482735e-01,-1.185531486336239171e+00,-4.554186602827540398e+00,2.546648178084224834e-01,1.640923606252203015e+00,2.783270595801169700e-02,7.809122597075903414e-03,3.095092165365116443e+00
1.331896551724137956e-01,-1.346144299881109729e+00,-5.505695431899475523e+00,2.397958341106969371e-01,2.224996474923555567e+00,4.439414861680121560e-02,1.163402228280931150e-02,6.738160160313145752e+01
1.564655172413793038e-01,-1.503106231990122055e+00,-6.451813314534589061e+00,2.288913435426507825e-01,2.581920619355672741e+00,6.314409737506235243e-02,1.574397746427667888e-02,8.162067390909507614e-01
1.797413793103448398e-01,-1.658029265689331400e+00,-7.393182754160801728e+00,2.206143798244269150e-01,2.788298564735667284e+00,8.372691306402053890e-02,2.009276779292785281e-02,1.009236965377949824e+00
2.030172413793103481e-01,-1.812347862404267484e+00,-8.331625243093355948e+00,2.141896124250397271e-01,2.888553478216653758e+00,1.058449737499239096e-01,2.465398439375282233e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.965116124735952763e+00,-9.269912157650365359e+00,2.088960810864250450e-01,2.923993339782365197e+00,1.293150691130234564e-01,2.938788147078183824e-02,0.000000000000000000e+00
2.495689655172413646e-01,-2.115079008386603565e+00,-1.021074707421781902e+01,2.042537577407939620e-01,2.922121731764937280e+00,1.540755161163087361e-01,3.426422487389960136e-02,0.000000000000000000e+00
2.728448275862068728e-01,-2.260682546080604371e+00,-1.115576972843321357e+01,1.999393895548696731e-01,2.901459677226769784e+00,1.801297141703601667e-01,3.925327714455800060e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.400348341475813996e+00,-1.210555205588073946e+01,1.957458955487095253e-01,2.873872042336012456e+00,2.074975833089469923e-01,4.432165195452712758e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.532628537330489316e+00,-1.305984266856124520e+01,1.915473409558750006e-01,2.846574357703554270e+00,2.361886692583940184e-01,4.943120949277693410e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.656277991002657046e+00,-1.401796409280682276e+01,1.872706324172680459e-01,2.823754564316152127e+00,2.661969790116367474e-01,5.454048082316718254e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.770159001430022361e+00,-1.497927243555898613e+01,1.828668026880154451e-01,2.808218278639420973e+00,2.975294123743187913e-01,5.960841215345747540e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.873212068362805738e+00,-1.594299924238029931e+01,1.783038839941363807e-01,2.801797119202896980e+00,3.301940007353501016e-01,6.459255634653200684e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.964310603616423734e+00,-1.690831144233797545e+01,1.735530102760885762e-01,2.806144989389517619e+00,3.642207156148088987e-01,6.944970495090181661e-02,0.000000000000000000e+00
4.357758620689655138e-01,-3.041927620431445156e+00,-1.787409733286460423e+01,1.685712801452042831e-01,2.823719957705201011e+00,3.996989844559093452e-01,7.413438838657308849e-02,0.000000000000000000e+00
4.590517241379309943e-01,-3.104758227999544040e+00,-1.884013478471617020e+01,1.633269532779358935e-01,2.856340610729601437e+00,4.367670400959157151e-01,7.860498705558034704e-02,0.000000000000000000e+00
4.823275862068965303e-01,-3.150885183798335376e+00,-1.980513908075118579e+01,1.577720667294082169e-01,2.906755022777085529e+00,4.756055421821708262e-01,8.280755215748059062e-02,0.000000000000000000e+00
5.056034482758620108e-01,-3.177321917879506685e+00,-2.076612168031335415e+01,1.518275886656984264e-01,2.979491384378615493e+00,5.164721444720887789e-01,8.666682452325241703e-02,0.000000000000000000e+00
5.288793103448274913e-01,-3.180557203467328620e+00,-2.171878288078678310e+01,1.454091230715942595e-01,3.079385231013567648e+00,5.596781885955333102e-01,9.013241527178167400e-02,0.000000000000000000e+00
5.521551724137930828e-01,-3.152370096971877089e+00,-2.264798163513506424e+01,1.383013172449273076e-01,3.218775363622937036e+00,6.055273254121587012e-01,9.298348222047184142e-02,0.000000000000000000e+00
5.754310344827586743e-01,-3.083637291439197625e+00,-2.354606110428982646e+01,1.302208178701959873e-01,3.413896731296000020e+00,6.551271848749674609e-01,9.501117820615877230e-02,0.000000000000000000e+00
5.987068965517241548e-01,-2.945959895512098470e+00,-2.436878307315184955e+01,1.203069156343364726e-01,3.714064345058917915e+00,7.098393481793557891e-01,9.554927738195405362e-02,0.000000000000000000e+00
6.219827586206896353e-01,-2.683081430363625230e+00,-2.504343010630633160e+01,1.067300185323905581e-01,4.224106105026675273e+00,7.734566480561111401e-01,9.314702487712547829e-02,0.000000000000000000e+00
6.452586206896551158e-01,-2.180741922189175952e+00,-2.557602990732404891e+01,8.505933497876690119e-02,5.197887668955732288e+00,8.597103378513221150e-01,8.468906732572731300e-02,0.000000000000000000e+00
6.685344827586205962e-01,-1.520283129570259462e+00,-2.767636012457274219e+01,5.487559747557403667e-02,6.659431294962281811e+00,1.058602101061050682e+00,7.933474740480425669e-02,0.000000000000000000e+00
6.918103448275860767e-01,-2.824385774436887431e+00,-3.523779277627842532e+01,7.998119231773412330e-02,4.953129525483956463e+00,1.522371411339630942e+00,1.418589922294931083e-01,0.000000000000000000e+00
7.150862068965516682e-01,-3.988588501821040744e+00,-3.863280678785543643e+01,1.028790559029529039e-01,3.373321439327482629e+00,1.513062028362970768e+00,1.774341213710814991e-01,0.000000000000000000e+00
7.383620689655172598e-01,-4.818400207865197515e+00,-3.715304578401391211e+01,1.289707183210945518e-01,1.610522159430718858e+00,1.045089153113623048e+00,1.558096561348508990e-01,0.000000000000000000e+00
