r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.102272727272727293e-01,-1.372559431109162897e+00,4.490880896323544036e+00,2.966162377045765131e-01,3.005141444478567792e+00,2.165809463032802862e-02,6.913611180624810310e-03,1.932006760695503811e-01,4.617189203003181142e+00,0.000000000000000000e+00,4.617189203003181142e+00,-1.263083066796373000e-01,2.470144995820851008e-01,-1.239559431109162890e+00,8.228398516702496446e-01,1.018349618224542556e-02,3.178197066883005027e+04,8.400968115628907640e+01
1.306818181818181768e-01,-1.376920234283820044e+00,5.305078837632293265e+00,2.539442142560344173e-01,5.147742709967968011e+00,3.743913586232379409e-02,1.020959971252617844e-02,2.825495882511763202e-01,5.473987199436760598e+00,0.000000000000000000e+00,5.473987199436760598e+00,-1.689083618044671664e-01,2.888098545723579713e-01,-1.243920234283820037e+00,1.031041989697757844e+00,1.266300919328660658e-02,3.709418394405020081e+04,8.676373472012921084e+00
1.511363636363636520e-01,-1.414039555581333207e+00,6.119776557698093811e+00,2.270755159101560949e-01,6.384880144801581281e+00,5.320162140509192977e-02,1.327720744991169217e-02,3.483553618027143139e-01,6.330785195870341830e+00,0.000000000000000000e+00,6.330785195870341830e+00,-2.110086381722483528e-01,3.269414336620277695e-01,-1.281039555581333200e+00,1.109232329267301198e+00,1.940546648618567821e-02,4.250964459430547140e+04,6.956648647473721780e+01
1.715909090909090995e-01,-1.498442592604360080e+00,6.937184300839030371e+00,2.127332658656941600e-01,6.904304959675219067e+00,7.019540885571887157e-02,1.661933632740108038e-02,4.055607722236871937e-01,7.187583192303921287e+00,0.000000000000000000e+00,7.187583192303921287e+00,-2.503988914648905828e-01,3.583553124797496658e-01,-1.365442592604360073e+00,1.142879822378889187e+00,2.256817415482533298e-02,4.803334918840925093e+04,7.801670027705238653e-01
1.920454545454545470e-01,-1.605449834017451671e+00,7.758611768355962113e+00,2.040451479430161474e-01,7.099771867161289052e+00,8.869849953408338872e-02,2.025560127693439016e-02,4.581946657457364735e-01,8.044381188737501631e+00,0.000000000000000000e+00,8.044381188737501631e+00,-2.857694203815390743e-01,3.805399999508372044e-01,-1.472449834017451664e+00,1.156622798783961237e+00,2.367879089595483280e-02,5.362234157693528687e+04,0.000000000000000000e+00
2.124999999999999944e-01,-1.722435608575553445e+00,8.584719837663666198e+00,1.980105797923459032e-01,7.143201571983409437e+00,1.087772448376733841e-01,2.416720979510997638e-02,5.077920463629593817e-01,8.901179185171081087e+00,0.000000000000000000e+00,8.901179185171081087e+00,-3.164593475074156670e-01,3.922130744713515638e-01,-1.589435608575553438e+00,1.159897398527549139e+00,2.390896833151207046e-02,5.925893135746559710e+04,3.220008777256423969e+02
2.329545454545454697e-01,-1.843453343581258785e+00,9.415692770273471623e+00,1.933396075148663407e-01,7.108502988310251069e+00,1.304550189516985037e-01,2.832928725137563372e-02,5.551741721728087331e-01,9.757977181604662320e+00,0.000000000000000000e+00,9.757977181604662320e+00,-3.422844113311910297e-01,3.933468071181477899e-01,-1.710453343581258778e+00,1.157281125318593062e+00,2.372506583804433189e-02,6.493485577954772452e+04,3.375202165624138217e+01
2.534090909090909172e-01,-1.965558472569321147e+00,1.025133531727721881e+01,1.894377201739349814e-01,7.029739083685793588e+00,1.537489048594459229e-01,3.271879635799380265e-02,6.008895803063428742e-01,1.061477517803824178e+01,0.000000000000000000e+00,1.061477517803824178e+01,-3.634398607610228038e-01,3.847736195067168463e-01,-1.832558472569321140e+00,1.151342326909908786e+00,2.330761714353470765e-02,7.064439335214205494e+04,3.557528993818837648e+02
2.738636363636363646e-01,-2.088703212533720155e+00,1.109118228332205369e+01,1.861410075505836592e-01,6.916301221875976069e+00,1.786873851635372157e-01,3.732724866675411757e-02,6.453752476378979974e-01,1.147157317447182123e+01,0.000000000000000000e+00,1.147157317447182123e+01,-3.803908911497680956e-01,3.676863666159940203e-01,-1.955703212533720148e+00,1.143659579421938410e+00,2.264111142900593343e-02,7.638411151261125633e+04,3.634350821263621469e+02
2.943181818181818121e-01,-2.211145886418760753e+00,1.193463028969912898e+01,1.831941903683247663e-01,6.782815828020694937e+00,2.052492246385641539e-01,4.212455037911610328e-02,6.888060722475525255e-01,1.232837117090540069e+01,0.000000000000000000e+00,1.232837117090540069e+01,-3.937408812062709318e-01,3.432562853667037728e-01,-2.078145886418760746e+00,1.134983028821345163e+00,2.182952023436582345e-02,8.214764155791355006e+04,1.320000000000000000e+02
