r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.102272727272727293e-01,-1.701919446776342770e+00,4.529380316632849457e+00,3.594289695731018308e-01,-5.937629912748150218e-01,1.020520339912778067e-02,4.206135365378798133e-03,9.099799224326118874e-02,4.617189203003181142e+00,0.000000000000000000e+00,4.617189203003181142e+00,-8.780888637033186506e-02,1.689757828473795465e-01,-3.719194467763428102e-01,3.761354265925395124e-01,1.185691475330093517e-02,3.274726721321348305e+04,7.495423730257533634e+01
1.306818181818181768e-01,-1.850622505180583577e+00,5.355382765692350944e+00,3.327166417490348138e-01,6.344150726187542944e-01,2.068473452228354603e-02,7.596656062520202798e-03,1.551788546946208380e-01,5.473987199436760598e+00,0.000000000000000000e+00,5.473987199436760598e+00,-1.186044337444095292e-01,1.956104572740447467e-01,-5.206225051805835058e-01,5.477427895856755713e-01,1.054548076514299701e-02,3.834805711110869015e+04,8.618496167972258704e+00
1.511363636363636520e-01,-1.993220115806294768e+00,6.180757668593122034e+00,3.119581967364766228e-01,1.521460779697378030e+00,3.305450679477958675e-02,1.122359911183773082e-02,2.144973694556564781e-01,6.330785195870341830e+00,0.000000000000000000e+00,6.330785195870341830e+00,-1.500275272772194635e-01,2.207036580843202422e-01,-6.632201158062946966e-01,6.605808661330169196e-01,1.015742470643631566e-02,4.395248886306995701e+04,6.700697741851648459e+01
1.715909090909090995e-01,-2.124275484886581911e+00,7.007058014808254853e+00,2.943554118173523082e-01,2.227700481844387070e+00,4.737455332522506196e-02,1.506881021199771992e-02,2.709432580406228586e-01,7.187583192303921287e+00,0.000000000000000000e+00,7.187583192303921287e+00,-1.805251774956659894e-01,2.429882594706860022e-01,-7.942754848865818396e-01,7.400817911718738928e-01,1.006812193254178617e-02,4.955484498349217029e+04,6.591858300643239632e-01
1.920454545454545470e-01,-2.249509249659943144e+00,7.835289895106632763e+00,2.795800292866371661e-01,2.771941960150343220e+00,6.362375751883309061e-02,1.914219638292620138e-02,3.252528838959700130e-01,8.044381188737501631e+00,0.000000000000000000e+00,8.044381188737501631e+00,-2.090912936308686743e-01,2.611235499055001297e-01,-9.195092496599430731e-01,7.979890129520266218e-01,1.011158258804510310e-02,5.517111191674571455e+04,0.000000000000000000e+00
2.124999999999999944e-01,-2.372487092793581276e+00,8.666010799564551448e+00,2.672216129912418636e-01,3.177701473946846988e+00,8.176063782131698376e-02,2.346370912039582451e-02,3.777965086730681321e-01,8.901179185171081087e+00,0.000000000000000000e+00,8.901179185171081087e+00,-2.351683856065295841e-01,2.740536728264704180e-01,-1.042487092793581205e+00,8.409586547644190002e-01,1.030083700228385558e-02,6.080940990904094360e+04,3.210846054032454049e+02
2.329545454545454697e-01,-2.492827178113355302e+00,9.499464925819724570e+00,2.566312792365424422e-01,3.482157320330708572e+00,1.017088820027847174e-01,2.800298461145582507e-02,4.286549821376985370e-01,9.757977181604662320e+00,0.000000000000000000e+00,9.757977181604662320e+00,-2.585122557849382496e-01,2.811323746018009051e-01,-1.162827178113355231e+00,8.729265186347243688e-01,1.050786697782488122e-02,6.646877623357372067e+04,3.375202165624138217e+01
2.534090909090909172e-01,-2.609872451740665511e+00,1.033568550780194606e+01,2.473403908052598799e-01,3.712160433974775131e+00,1.233816801552630460e-01,3.272363106549532746e-02,4.778526491212938265e-01,1.061477517803824178e+01,0.000000000000000000e+00,1.061477517803824178e+01,-2.790896702362959392e-01,2.820884397495330154e-01,-1.279872451740665440e+00,8.965252284390170523e-01,1.068124192982082901e-02,7.214711646562315582e+04,3.548366270594867729e+02
2.738636363636363646e-01,-2.724346482680897630e+00,1.117456812284437540e+01,2.391337932799945942e-01,3.880038254939631059e+00,1.467074034081022327e-01,3.761104201273495623e-02,5.254721461762698054e-01,1.147157317447182123e+01,0.000000000000000000e+00,1.147157317447182123e+01,-2.970050516274455044e-01,2.769233898486658241e-01,-1.394346482680897559e+00,9.137159173058182482e-01,1.080882907375411983e-02,7.784415455481722893e+04,3.610107232839124549e+02
2.943181818181818121e-01,-2.836078424961549160e+00,1.201592674136428407e+01,2.317846179297136933e-01,3.998789404016958926e+00,1.716038401089780563e-01,4.264160726539427404e-02,5.715472669049751486e-01,1.232837117090540069e+01,0.000000000000000000e+00,1.232837117090540069e+01,-3.124444295411173411e-01,2.658043434261564975e-01,-1.506078424961549089e+00,9.258760349713366367e-01,1.089907994705288825e-02,8.355776347848935984e+04,1.320000000000000000e+02
3.147727272727273151e-01,-2.943918185713412683e+00,1.285953634716305949e+01,2.250507667900426001e-01,4.082285072794119785e+00,1.979730386890931337e-01,4.777895983405755498e-02,6.160639859158260068e-01,1.318516916733898192e+01,0.000000000000000000e+00,1.318516916733898192e+01,-3.256328201759223218e-01,2.489815382109550335e-01,-1.613918185713412612e+00,9.339816520610296768e-01,1.098557647570588477e-02,8.928427487422470585e+04,0.000000000000000000e+00
