r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-1.659736887016547868e+00,4.432974667582795014e+00,3.582507063569095873e-01,4.473746518168510988e+00,2.284363243677777627e-02,8.859457478788430179e-03,2.300369146200083037e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-1.405003519288770819e-01,2.638354891413422498e-01,-1.659736887016547868e+00,9.719534122623455508e-01,1.139269637889525101e-02,3.203609639926331147e+04,9.206720153266624607e+01
1.275510204081632681e-01,-1.570361324608632980e+00,5.161296843738491624e+00,2.953578206093877556e-01,7.702243432899997799e+00,3.740173949478836635e-02,1.233764888093918932e-02,3.243671823446029334e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-1.815478052237419759e-01,3.045099337390519412e-01,-1.570361324608632980e+00,1.202494090393039894e+00,2.798827394397797666e-02,3.651249103587694117e+04,9.992376642586073388e+00
1.459183673469388043e-01,-1.647446457015937504e+00,5.891327558615588877e+00,2.726741542227802961e-01,8.626921780735374412e+00,5.126599644903295783e-02,1.601977733383895541e-02,3.900475470399562550e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-2.208867197972080032e-01,3.420632421941038892e-01,-1.647446457015937504e+00,1.275219919117887457e+00,3.851782738504822001e-02,4.140187100575445947e+04,5.050599653699783431e+01
1.642857142857143127e-01,-1.803711422523856189e+00,6.625079380812057828e+00,2.658124807784022492e-01,8.645066709495232260e+00,6.477757486797144915e-02,1.976774091085336388e-02,4.381860905148647900e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-2.565045270513002240e-01,3.738330059344341927e-01,-1.803711422523856189e+00,1.276352162672502510e+00,3.878056595349096275e-02,4.647031025147353648e+04,7.966160463216038767e-01
1.826530612244898211e-01,-2.062091696196648449e+00,7.363449443227434443e+00,2.730497380771033100e-01,7.855402411029409393e+00,7.639856025553404262e-02,2.342013163404653431e-02,4.643020304438058021e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-2.875040940864849737e-01,3.975588696765868790e-01,-2.062091696196648449e+00,1.214379227095882197e+00,2.964545408733821122e-02,5.175278826986967761e+04,0.000000000000000000e+00
2.010204081632653295e-01,-5.714866725090044230e-01,8.106438532653843509e+00,7.038142952769130267e-02,1.909244113196585602e+01,7.407687390645804892e-02,2.009302979276802320e-02,4.118539746172915073e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-3.138846341106373283e-01,4.121425665968593277e-01,-5.714866725090044230e-01,1.013600000000000056e+00,1.996600000000000041e-01,5.500018443184916396e+04,3.659615679262965386e+02
2.193877551020408379e-01,-1.167541847530230381e+00,8.853523269037687271e+00,1.311165636827411052e-01,1.523757427672064857e+01,8.781418305824455206e-02,2.964821929296966932e-02,4.525812814171066290e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-3.361695271773553206e-01,4.178588905620008731e-01,-1.167541847530230381e+00,1.013600000000000056e+00,1.996600000000000041e-01,6.043903072324300592e+04,3.375337584387028045e+01
2.377551020408163462e-01,-9.138719988722279197e-01,9.603988285144108517e+00,9.486982107288646771e-02,1.693935964936232352e+01,1.036721477558149029e-01,3.086494821587308299e-02,4.889287369556698515e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-3.550741405214951074e-01,4.159992709500656693e-01,-9.138719988722279197e-01,1.013600000000000056e+00,1.996600000000000041e-01,6.529297554392581515e+04,3.997149437701668262e+02
2.561224489795918546e-01,-2.831301885295855136e+00,1.035708165599893960e+01,2.668489670141422354e-01,6.710680422663928724e+00,1.406746812632503063e-01,4.133217027921865655e-02,6.068043650112522336e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-3.713503991172265595e-01,4.082091158643013640e-01,-2.831301885295855136e+00,1.130294227473155333e+00,2.139093696979668668e-02,7.266824797896898235e+04,4.185596940300086430e+02
2.744897959183673630e-01,-9.368131698745979508e-01,1.111204137269078629e+01,8.410723844438622310e-02,1.680601021063620593e+01,1.389542979787912469e-01,3.974611546692956299e-02,5.651560496087411067e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-3.857603118759416749e-01,3.959141419429593745e-01,-9.368131698745979508e-01,1.013600000000000056e+00,1.996600000000000041e-01,7.547259515030639886e+04,1.470000000000000000e+02
