r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-1.069314065960672577e+00,4.477077596844504015e+00,2.344497399999141418e-01,1.567019390065441442e+00,1.509511731049703771e-02,3.913895147688127053e-03,1.505429878186448633e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-9.639742266716826158e-02,2.495354525462829820e-01,-1.069314065960672577e+00,6.541074060247953348e-01,1.259040565135157407e-02,3.115293538459618139e+04,7.616945775577880795e+01
1.275510204081632681e-01,-1.082117255799772249e+00,5.215756415619133612e+00,2.045686110610380748e-01,3.112415298682604359e+00,2.601081738628045759e-02,5.783337287219820350e-03,2.222987729589469552e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-1.270882333431002098e-01,2.891094419532742044e-01,-1.082117255799772249e+00,8.346385047200926000e-01,1.186597289557843327e-02,3.605173405056001502e+04,7.782543577415309777e+00
1.459183673469388043e-01,-1.136206487489149097e+00,5.953844437760634989e+00,1.885684726242470299e-01,3.862489036069106874e+00,3.698075968072320197e-02,7.570912745289305919e-03,2.767611601586962844e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-1.583698406521618363e-01,3.262904511428875720e-01,-1.136206487489149097e+00,9.132088685223318514e-01,1.220749342164146461e-02,4.102253852282110165e+04,5.821174930349703658e+01
1.642857142857143127e-01,-1.211203276457822220e+00,6.692736381957428371e+00,1.790350534834518059e-01,4.242047050499245131e+00,4.859905880198713002e-02,9.454825023205439341e-03,3.234993924891598760e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-1.888475259059297640e-01,3.589343603560332663e-01,-1.211203276457822220e+00,9.512658391792255808e-01,1.247395575837942708e-02,4.603191873136823415e+04,7.621374747486077128e-01
1.826530612244898211e-01,-1.298268010510942760e+00,7.433459806985030838e+00,1.729079074701534435e-01,4.426439990854982298e+00,6.103728564272791618e-02,1.148056379958803559e-02,3.657714105783962388e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-2.174937303288883572e-01,3.850005374484069542e-01,-1.298268010510942760e+00,9.694469830983012404e-01,1.261409439304978647e-02,5.107086376587724226e+04,0.000000000000000000e+00
2.010204081632653295e-01,-1.392659423445739009e+00,8.176746070074813133e+00,1.687006809505448568e-01,4.500829647217400975e+00,7.436308206453455527e-02,1.366031671488626524e-02,4.050931979418384010e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-2.435770966896676770e-01,4.030947796039144881e-01,-1.392659423445739009e+00,9.767758297556704550e-01,1.267091261193914117e-02,5.613678748960568191e+04,2.806447877479872091e+02
2.193877551020408379e-01,-1.491205000230452438e+00,8.923068208027068238e+00,1.655877463074948708e-01,4.512520997497562192e+00,8.861142020266306318e-02,1.599262024157586601e-02,4.423188156757005274e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-2.666245881879748536e-01,4.126950085356017039e-01,-1.491205000230452438e+00,9.778444191712771794e-01,1.268377309724731845e-02,6.122843544022081187e+04,3.375337584387028045e+01
2.377551020408163462e-01,-1.592265914015470907e+00,9.672634982668403936e+00,1.631523134733846025e-01,4.485394353512999643e+00,1.038100796055491798e-01,1.847568596034580846e-02,4.780146014828641765e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-2.864274429971989111e-01,4.140600682474586125e-01,-1.592265914015470907e+00,9.752598832563817988e-01,1.265889970866988096e-02,6.634501737766110455e+04,3.143981635918574966e+02
2.561224489795918546e-01,-1.694043251186828414e+00,1.042540204495199063e+01,1.610840002655462011e-01,4.437233304366635878e+00,1.199717524371333721e-01,2.109935799949132218e-02,5.125337349414877952e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-3.030300101641753008e-01,4.079461951876779957e-01,-1.694043251186828414e+00,9.705112038105503380e-01,1.262229731131864381e-02,7.148409314678088413e+04,3.259944230540048693e+02
2.744897959183673630e-01,-1.795661969934046809e+00,1.118112805020165013e+01,1.592378597028542286e-01,4.376342700330127400e+00,1.371034941491378056e-01,2.385610763152271052e-02,5.461233553991869938e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-3.166736343650773389e-01,3.952943600112476252e-01,-1.795661969934046809e+00,9.645073902525506115e-01,1.257602045225089671e-02,7.664303599218897580e+04,1.470000000000000000e+02
2.928571428571428714e-01,-1.896409214701550550e+00,1.193945666455419463e+01,1.575195944986860219e-01,4.308125377946485202e+00,1.552013035979099842e-01,2.673645219820951560e-02,5.789369088727654988e-01,1.226717131401728800e+01,0.000000000000000000e+00,1.226717131401728800e+01,-3.277146494630929774e-01,3.770008463099526197e-01,-1.896409214701550550e+00,9.577811622655234558e-01,1.252417528723932978e-02,8.181867769483287702e+04,0.000000000000000000e+00
3.112244897959184353e-01,-1.995801172875312446e+00,1.269999333843935752e+01,1.558749584715160563e-01,4.235689414471817571e+00,1.742515045087491277e-01,2.973045045353590182e-02,6.110639256240890660e-01,1.303654094346785186e+01,0.000000000000000000e+00,1.303654094346785186e+01,-3.365476050284935128e-01,3.538007251111321416e-01,-1.995801172875312446e+00,9.506389762669211763e-01,1.246912395499858231e-02,8.700787035923717485e+04,3.000000000000000000e+00
3.295918367346939437e-01,-2.093522348259848620e+00,1.346235905707333558e+01,1.542736357219854360e-01,4.160771782991542267e+00,1.942324692986791834e-01,3.282802816029462695e-02,6.425512411113103450e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,-3.435515158450776485e-01,3.262390473941990665e-01,-2.093522348259848620e+00,9.432520978029660386e-01,1.241218655507357257e-02,9.220776523933690623e+04,0.000000000000000000e+00
3.479591836734694521e-01,-2.189378762182772498e+00,1.422621914816649280e+01,1.526994320914061010e-01,4.084300340451243017e+00,2.151163547924044295e-01,3.601919363055995638e-02,6.734180482589209316e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897603e+01,-3.490610542024832341e-01,2.946904186649279556e-01,-2.189378762182772498e+00,9.357120135684925399e-01,1.235406825874294477e-02,9.741594679117476335e+04,4.000000000000000000e+02
3.663265306122449605e-01,-2.283270802895061902e+00,1.499129338746533158e+01,1.511448858656174177e-01,4.006702611580259088e+00,2.368697942844711635e-01,3.929417410721225412e-02,7.036638771779992751e-01,1.534464983181953635e+01,0.000000000000000000e+00,1.534464983181953635e+01,-3.533564443542054900e-01,2.593964052913792506e-01,-2.283270802895061902e+00,9.280608775018135415e-01,1.229509398480099769e-02,1.026304660615391185e+05,0.000000000000000000e+00
3.846938775510204689e-01,-2.374323475580979448e+00,1.575735497919394490e+01,1.495552422252760250e-01,3.931115816434965993e+00,2.594464043921033136e-01,4.263208570699202754e-02,7.332526928267000255e-01,1.611401946127010021e+01,0.000000000000000000e+00,1.611401946127010021e+01,-3.566644820761545320e-01,2.205037155998481047e-01,-2.374323475580979448e+00,9.202911522560884849e-01,1.224866948986098013e-02,1.078489520175454672e+05,0.000000000000000000e+00
