r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.000550115467412571e+00,-3.103844860827333907e+00,3.118407086130243755e-01,3.132843516104802717e+00,1.398012379475939253e-02,4.834849759492410373e-03,4.216918771844949276e+01
1.099137931034482735e-01,-1.058940359079633797e+00,-3.917370414991502958e+00,2.640093035131926280e-01,5.587666870791398566e+00,2.865577934956826597e-02,8.230919987176109689e-03,3.846765380321443217e+00
1.331896551724137956e-01,-1.139756985700333791e+00,-4.727273421055571134e+00,2.365870833898856829e-01,6.873130063021315905e+00,4.328173582968601607e-02,1.155907066653632381e-02,4.185604512012353950e+01
1.564655172413793038e-01,-1.241619934263338720e+00,-5.536425520846603554e+00,2.206136248740462047e-01,7.502627534491937311e+00,6.136141424491464713e-02,1.556363247261342495e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.360859851181462021e+00,-6.347323435098709332e+00,2.112016510402203451e-01,7.756179626343437050e+00,8.161843598950244139e-02,2.001035717798967800e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.492250392290251915e+00,-7.162046350796126504e+00,2.054164522135192850e-01,7.801932817043160995e+00,1.035388856989744727e-01,2.477823271661281843e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.630290555595165891e+00,-7.981969942866516732e+00,2.014755146502607563e-01,7.742017621028157492e+00,1.271359379964110969e-01,2.985149593835687704e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.770384576788633257e+00,-8.807564598996275862e+00,1.983639075201647783e-01,7.634585291371186244e+00,1.524799545308183346e-01,3.520500800521514373e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.909299170160810410e+00,-9.638543561676581106e+00,1.955583562229585293e-01,7.509617254194273173e+00,1.796200345971749879e-01,4.080554655529121388e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.044979000245366052e+00,-1.047421033443836969e+01,1.928139395874587658e-01,7.381146458919618070e+00,2.088123684567267657e-01,4.669461895923310985e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.176149450286511744e+00,-1.131375677493792153e+01,1.900246827854051579e-01,7.255244815941157555e+00,2.398700667241859541e-01,5.277908787821673081e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.301971011352375474e+00,-1.215642613738908295e+01,1.871465680427694678e-01,7.134434357934280158e+00,2.727241295521020681e-01,5.900982418570702853e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.421789929194114066e+00,-1.300157694992882540e+01,1.841584328466814025e-01,7.019927607570334516e+00,3.073217657987388218e-01,6.534442565512924017e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.534962545774136711e+00,-1.384869708239857644e+01,1.810427443860373742e-01,6.912729120928563731e+00,3.440489822122066443e-01,7.178580041253471156e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.640744819641280827e+00,-1.469739241969203292e+01,1.777775159668735783e-01,6.814098642778539272e+00,3.826300172403587219e-01,7.826560919376099323e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.738245726617953402e+00,-1.554735772300736407e+01,1.743349911913941175e-01,6.725626497568448769e+00,4.229831406640791602e-01,8.473619766758686001e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.826430779714758756e+00,-1.639833133950770971e+01,1.706838230329800199e-01,6.649108737623844689e+00,4.651405026606342252e-01,9.115989748521331759e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.904158938959234604e+00,-1.725002764683832268e+01,1.667926503417165862e-01,6.586342224475513873e+00,5.091570802505877014e-01,9.749881442614620475e-02,0.000000000000000000e+00
5.056034482758620108e-01,-2.970246658782228710e+00,-1.810202365086448850e+01,1.626344535245873024e-01,6.538875066767468880e+00,5.550975398187971699e-01,1.037129327657745487e-01,0.000000000000000000e+00
5.288793103448274913e-01,-3.023550996664240209e+00,-1.895354425479709803e+01,1.581914077571212052e-01,6.507728551712455456e+00,6.030097562863143690e-01,1.097569408216828302e-01,0.000000000000000000e+00
5.521551724137930828e-01,-3.063040494479216669e+00,-1.980302491800136266e+01,1.534592850191519309e-01,6.493144927021699431e+00,6.530384776718888284e-01,1.155946411015212477e-01,0.000000000000000000e+00
5.754310344827586743e-01,-3.087805967161509013e+00,-2.064717285541070879e+01,1.484508282534206802e-01,6.494394075857556459e+00,7.046648762909392127e-01,1.211045181490059686e-01,0.000000000000000000e+00
5.987068965517241548e-01,-3.097099362278002754e+00,-2.147888197753806949e+01,1.432057179792054491e-01,6.509202471936511358e+00,7.574064586361559659e-01,1.261723599945604735e-01,0.000000000000000000e+00
6.219827586206896353e-01,-3.091890666959754785e+00,-2.228327385232447710e+01,1.378735656597178394e-01,6.528998009849757089e+00,8.100498259264351519e-01,1.306231659520827038e-01,0.000000000000000000e+00
6.452586206896551158e-01,-3.091987925005260873e+00,-2.304794963228202676e+01,1.333583437508001346e-01,6.501986883081458224e+00,8.588051378531205149e-01,1.343410991473389660e-01,0.000000000000000000e+00
6.685344827586205962e-01,-3.280358520088891616e+00,-2.415955412375992495e+01,1.349536414478701984e-01,6.124868772258118987e+00,9.290444957521394320e-01,1.435996119917247738e-01,0.000000000000000000e+00
6.918103448275860767e-01,-3.622530174192071684e+00,-2.822762537290286033e+01,1.276351624861979395e-01,6.258472443502939520e+00,1.262265409244475611e+00,1.872268076683589466e-01,0.000000000000000000e+00
7.150862068965516682e-01,-2.698173652852880355e+00,-2.929902318424769447e+01,9.183189198962775357e-02,8.024134450007384345e+00,1.503651871048921729e+00,1.853041351468814879e-01,0.000000000000000000e+00
7.383620689655172598e-01,-2.852410373756910644e+00,-2.969748114588379195e+01,9.575516054442988201e-02,7.513633434206545836e+00,1.475001702029211659e+00,1.832527319886196049e-01,0.000000000000000000e+00
