r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.043584271722330037e+00,-3.114304045111961905e+00,3.233342218489952402e-01,2.474313715905925193e+00,1.249185127061990669e-02,4.538244031540893467e-03,4.208052541183964479e+01
1.099137931034482735e-01,-1.106389908597365856e+00,-3.933388495746069413e+00,2.741967578439076791e-01,5.003968733659153401e+00,2.775930741636604276e-02,8.278404312881433927e-03,3.827457929707191120e+00
1.331896551724137956e-01,-1.192953746417055649e+00,-4.748247921444984421e+00,2.461461612554351752e-01,6.325435245288407060e+00,4.266037271400557190e-02,1.164008073162558360e-02,4.166028029527937804e+01
1.564655172413793038e-01,-1.302287733853120244e+00,-5.561048053612164033e+00,2.300349889923288260e-01,6.962823133258350339e+00,5.975805784334508458e-02,1.557923787361176204e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.430707049637570227e+00,-6.374144755850324806e+00,2.207954022984358611e-01,7.206498169549366395e+00,7.919978517063788748e-02,1.997892117803345968e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.572330584382406915e+00,-7.190030080958455194e+00,2.152928606624084362e-01,7.236056296174464109e+00,1.002585046122424633e-01,2.472117363750295921e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.720622158760150011e+00,-8.010728266094270467e+00,2.115751713127435318e-01,7.163349919736710092e+00,1.229733249964092556e-01,2.978932573931064587e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.870071752270863641e+00,-8.837222038539605862e+00,2.085366373377713634e-01,7.051730806695442055e+00,1.474823962938032751e-01,3.516258690694137878e-02,0.000000000000000000e+00
2.728448275862068728e-01,-2.016922384440013705e+00,-9.669449841357037556e+00,2.056385759590400875e-01,6.932063206752323126e+00,1.740572657539860291e-01,4.083241341399945074e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.158923546061157772e+00,-1.050671658372076855e+01,2.026595074365819815e-01,6.817036974255161752e+00,2.027650933951043177e-01,4.676343886082537371e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.294743263842080605e+00,-1.134811056086304504e+01,1.995231949627845058e-01,6.711020156523703761e+00,2.334841687304018421e-01,5.289848105575332970e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.423463282297610988e+00,-1.219274595370982972e+01,1.962055796190604884e-01,6.615391228052649453e+00,2.661845200007718071e-01,5.919343614912622037e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.544238362939027720e+00,-1.303985917498005165e+01,1.926915683409423929e-01,6.531014957735898463e+00,3.008424451111600950e-01,6.560489932010511727e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.656087829647695742e+00,-1.388882613862358717e+01,1.889576859544437604e-01,6.459236373966222189e+00,3.379588753436970627e-01,7.217097738233163584e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.757797556880527967e+00,-1.473913796466808712e+01,1.849683796095646371e-01,6.402092504998272204e+00,3.774117361243476410e-01,7.882045342784871345e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.847916404066915597e+00,-1.559035174826779091e+01,1.806796026258702947e-01,6.362107039722520341e+00,4.188474372686117886e-01,8.544355957536617363e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.924823683094022186e+00,-1.644202545099569690e+01,1.760455644260008334e-01,6.341903584963157314e+00,4.622610446916523008e-01,9.198282879366558029e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.986858655658079620e+00,-1.729363397124064861e+01,1.710270717665995643e-01,6.343727748149946777e+00,5.076501082183471070e-01,9.837735215439846748e-02,0.000000000000000000e+00
5.056034482758620108e-01,-3.032526710243199197e+00,-1.814444109609434008e+01,1.656019351144095431e-01,6.368850895887883112e+00,5.549986755234697089e-01,1.045627498547349182e-01,0.000000000000000000e+00
5.288793103448274913e-01,-3.060775797746281057e+00,-1.899327129622252031e+01,1.597768751987600211e-01,6.416887958751146925e+00,6.042478453080617484e-01,1.104712517317697762e-01,0.000000000000000000e+00
5.521551724137930828e-01,-3.071265036280274252e+00,-1.983806611530899744e+01,1.535973500615998300e-01,6.485234382791141172e+00,6.552449567314991841e-01,1.160305060305923119e-01,0.000000000000000000e+00
5.754310344827586743e-01,-3.064498329971729440e+00,-2.067495191356616147e+01,1.471513590540136640e-01,6.568848176590822874e+00,7.094153829733419458e-01,1.213640968434174239e-01,0.000000000000000000e+00
5.987068965517241548e-01,-3.041858182368407437e+00,-2.149616389998116972e+01,1.405736888252404615e-01,6.660006634014093763e+00,7.651546639492744495e-01,1.262267947359650699e-01,0.000000000000000000e+00
6.219827586206896353e-01,-3.007088684843874482e+00,-2.228604728139517377e+01,1.341214047611732629e-01,6.743980993390375822e+00,8.202058431567686991e-01,1.303671579594686825e-01,0.000000000000000000e+00
6.452586206896551158e-01,-2.983646040439274394e+00,-2.302995115145638749e+01,1.288374054011245384e-01,6.761017569956708329e+00,8.702042764256776586e-01,1.337082128456208996e-01,0.000000000000000000e+00
6.685344827586205962e-01,-3.160208680303475681e+00,-2.407999470489513172e+01,1.304921683454139392e-01,6.380492351440000043e+00,9.279563278965572426e-01,1.413996941324016099e-01,0.000000000000000000e+00
6.918103448275860767e-01,-3.521038260667519459e+00,-2.802831426370213919e+01,1.249696742767956725e-01,6.411193668243572397e+00,1.248570264617594017e+00,1.835578709538556175e-01,0.000000000000000000e+00
7.150862068965516682e-01,-2.542846007450226153e+00,-2.910904266199745294e+01,8.713468516419810295e-02,8.293264576604546079e+00,1.508648438691015725e+00,1.825803828977015653e-01,0.000000000000000000e+00
7.383620689655172598e-01,-2.673513451250874251e+00,-2.948038412793530227e+01,9.044048219973478686e-02,7.818142072827148681e+00,1.488148833717778619e+00,1.794535894805009135e-01,0.000000000000000000e+00
