r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
6.931034482758621773e-02,-8.235018123430606352e-01,-2.533375116792914827e+00,3.142872002820921717e-01,-1.507330131146694896e+00,-7.057985020824385800e-05,2.171279207701952072e-04,1.528243234562917330e+01
8.793103448275862988e-02,-8.525890135462634856e-01,-3.211335876468833117e+00,2.595068537827844857e-01,1.631352523527885623e+00,7.955546800062201357e-04,5.459397164160053554e-04,1.244487266674681791e+00
1.065517241379310281e-01,-8.918389239709231253e-01,-3.887660540200005954e+00,2.255008036030259622e-01,3.579755676738145098e+00,1.043453577935020242e-02,2.938020034558382152e-03,1.816404716205405734e+01
1.251724137931034542e-01,-9.423802454181997579e-01,-4.561935322997854314e+00,2.037092830051952241e-01,4.828317836166247545e+00,1.723542607229855070e-02,4.323442850408697712e-03,0.000000000000000000e+00
1.437931034482758386e-01,-1.005233095466334881e+00,-5.233588254063650247e+00,1.897623424216013099e-01,5.627418668725903572e+00,2.460721618766932225e-02,5.747782232524728530e-03,0.000000000000000000e+00
1.624137931034482785e-01,-1.081067584830940786e+00,-5.902020661656727007e+00,1.811608396353519557e-01,6.120248475848010017e+00,3.306166326110659970e-02,7.502120240979267066e-03,0.000000000000000000e+00
1.810344827586206906e-01,-1.169632687031511908e+00,-6.566961805438758404e+00,1.762603403789995971e-01,6.401026400743997868e+00,4.195523590212165560e-02,9.369008905953029459e-03,0.000000000000000000e+00
1.996551724137931028e-01,-1.269103441973163715e+00,-7.228885409959838526e+00,1.737890172116099974e-01,6.542622788048324978e+00,5.105516858119405615e-02,1.108240329326954689e-02,0.000000000000000000e+00
2.182758620689655149e-01,-1.375939287696881230e+00,-7.889129856198525914e+00,1.726726673246548605e-01,6.606584925030761113e+00,6.056359426032207477e-02,1.310304591791565214e-02,0.000000000000000000e+00
2.368965517241379271e-01,-1.485597791693842762e+00,-8.549506906412492668e+00,1.720462875966264626e-01,6.642473839819340142e+00,7.046228960402893537e-02,1.499560569336644104e-02,0.000000000000000000e+00
2.555172413793103670e-01,-1.593660648259051404e+00,-9.211656737624100089e+00,1.713090807983501385e-01,6.684712677988924767e+00,8.123129019287425590e-02,1.724416013808269255e-02,0.000000000000000000e+00
2.741379310344827513e-01,-1.696609545898681626e+00,-9.876614816470471681e+00,1.701201072762337507e-01,6.752835842758999618e+00,9.290971077970386349e-02,1.935453526105249122e-02,0.000000000000000000e+00
2.927586206896551912e-01,-1.791995650751986302e+00,-1.054474821173928945e+01,1.683337903485190856e-01,6.855184263589825022e+00,1.059137425187289677e-01,2.191014206620898325e-02,0.000000000000000000e+00
3.113793103448275756e-01,-1.878238144575621993e+00,-1.121590092283500084e+01,1.659224971975054308e-01,6.993341184311708147e+00,1.203171663127716590e-01,2.465276667446232584e-02,0.000000000000000000e+00
3.299999999999999600e-01,-1.954314742171086694e+00,-1.188957210159888334e+01,1.629153649019297878e-01,7.165637173285679395e+00,1.360982763430053366e-01,2.734571851329335029e-02,0.000000000000000000e+00
3.486206896551723999e-01,-2.019476377462974259e+00,-1.256505461426174364e+01,1.593588249961486458e-01,7.369411899556794765e+00,1.534865061247176476e-01,3.045615340928846046e-02,0.000000000000000000e+00
3.672413793103447843e-01,-2.073056692774619680e+00,-1.324151552895595074e+01,1.552967612423088450e-01,7.602151008764883144e+00,1.725609444789753533e-01,3.332779767994227538e-02,0.000000000000000000e+00
3.858620689655172242e-01,-2.114425691165468191e+00,-1.391800434672516928e+01,1.507673407939016941e-01,7.861667684098867070e+00,1.929728662019722374e-01,3.680231742281129398e-02,0.000000000000000000e+00
4.044827586206896086e-01,-2.143097433667135565e+00,-1.459336043000247152e+01,1.458120378298954634e-01,8.145585630145090406e+00,2.143784713659561969e-01,4.026498950011540845e-02,0.000000000000000000e+00
4.231034482758619930e-01,-2.158933705904022116e+00,-1.526595777512845054e+01,1.404897822275783248e-01,8.450528413647720782e+00,2.386508253359550247e-01,4.309769423272707956e-02,0.000000000000000000e+00
4.417241379310344329e-01,-2.162319907049476519e+00,-1.593313784948959722e+01,1.348880351837497271e-01,8.771484877158986393e+00,2.600083337446728593e-01,4.658202919035524248e-02,0.000000000000000000e+00
4.603448275862068728e-01,-2.154243584107335074e+00,-1.658996385595470713e+01,1.291296741789242086e-01,9.101414659648199290e+00,2.812352249981141528e-01,5.008478522503017477e-02,0.000000000000000000e+00
4.789655172413792572e-01,-2.136923856752208639e+00,-1.722668850006558117e+01,1.234168223254672736e-01,9.428736959834770559e+00,3.040278582305485089e-01,5.285507606631335842e-02,0.000000000000000000e+00
4.975862068965516416e-01,-2.120641470046092714e+00,-1.782903911042964751e+01,1.183869153664786344e-01,9.716929399928302402e+00,3.184185779417763040e-01,5.576891800901911944e-02,0.000000000000000000e+00
5.162068965517241370e-01,-2.178991318497974117e+00,-1.849125671210338595e+01,1.172980675037487708e-01,9.779315786994564164e+00,3.365324295700343193e-01,5.910236800791454637e-02,0.000000000000000000e+00
5.348275862068965214e-01,-2.480674259273801141e+00,-2.066184403349199172e+01,1.194887067269461561e-01,9.653801405069536656e+00,4.286444213396571334e-01,7.232946373646989557e-02,0.000000000000000000e+00
5.534482758620689058e-01,-2.000640791754065617e+00,-2.254467662395865801e+01,8.850931075862981945e-02,1.142879004591866021e+01,4.901774847332291407e-01,7.851360483263319923e-02,0.000000000000000000e+00
5.720689655172412902e-01,-1.789321197023960197e+00,-2.248568977928715995e+01,7.940866554463978100e-02,1.195021860752622089e+01,4.650560548169582753e-01,7.243858582633865006e-02,0.000000000000000000e+00
