r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
6.931034482758621773e-02,-9.330986247825682200e-01,-2.524171855598110081e+00,3.540854476793344752e-01,-4.287601739026197123e+00,2.146988830729648981e-03,1.082496838804984521e-03,2.233655322266400134e+01
8.793103448275862988e-02,-9.647744620175641161e-01,-3.196898597278389875e+00,2.930931502476005757e-01,-7.930005133812301210e-01,3.602801806976571597e-03,1.469347094480724213e-03,1.723202303203349439e+00
1.065517241379310281e-01,-1.008133781376262084e+00,-3.867066735176840186e+00,2.550210765509075550e-01,1.388368626750311918e+00,7.777915048872379930e-03,2.666425559493448578e-03,3.438498028901100412e+01
1.251724137931034542e-01,-1.064364444862490933e+00,-4.534658597285398329e+00,2.305443777062884947e-01,2.790780166959722308e+00,1.408348265414235967e-02,4.366458438769142691e-03,0.000000000000000000e+00
1.437931034482758386e-01,-1.134110749179299882e+00,-5.199703450996620901e+00,2.147474742291846650e-01,3.695876065573306946e+00,2.926645073329006697e-02,7.663007079712580612e-03,0.000000000000000000e+00
1.624137931034482785e-01,-1.217350965619306002e+00,-5.862269031382933093e+00,2.047486990051290701e-01,4.268763686211666908e+00,4.201290173230800423e-02,1.024828014926850231e-02,0.000000000000000000e+00
1.810344827586206906e-01,-1.313325035122179685e+00,-6.522492177614320319e+00,1.986964279624629237e-01,4.615533273425679539e+00,5.518683155638765686e-02,1.286867375753089973e-02,0.000000000000000000e+00
1.996551724137931028e-01,-1.420436207349202951e+00,-7.180653337220022081e+00,1.952930839762636872e-01,4.810530520066125248e+00,7.108808556910216347e-02,1.560388810412587438e-02,0.000000000000000000e+00
2.182758620689655149e-01,-1.536114166580228479e+00,-7.837288217738775487e+00,1.935471615805643419e-01,4.910564504697067179e+00,8.459654963650800608e-02,1.837685801235960925e-02,0.000000000000000000e+00
2.368965517241379271e-01,-1.656775816711480775e+00,-8.493269665183074579e+00,1.926499981100478487e-01,4.961968185090970707e+00,9.949074599138761632e-02,2.118566369566039082e-02,0.000000000000000000e+00
2.555172413793103670e-01,-1.778089044277258779e+00,-9.149745416861065905e+00,1.919397426119525962e-01,5.002662827507791121e+00,1.144926856167876178e-01,2.428431619267558753e-02,0.000000000000000000e+00
2.741379310344827513e-01,-1.895566851923668361e+00,-9.807898702936133972e+00,1.909155474367107419e-01,5.061344888446811296e+00,1.307501328355061554e-01,2.736977891412506123e-02,0.000000000000000000e+00
2.927586206896551912e-01,-2.005239697054620684e+00,-1.046864905655598577e+01,1.892547478795948146e-01,5.156501693686751153e+00,1.481686262765326279e-01,3.075295497784715990e-02,0.000000000000000000e+00
3.113793103448275756e-01,-2.104101814743639220e+00,-1.113244843676815243e+01,1.868026015320492506e-01,5.296999330149532170e+00,1.671971240746515652e-01,3.426475033198831538e-02,0.000000000000000000e+00
3.299999999999999600e-01,-2.190224125540923605e+00,-1.179922980231934382e+01,1.835353680818342659e-01,5.484198017530816927e+00,1.881384716024387116e-01,3.774731957571070273e-02,0.000000000000000000e+00
3.486206896551723999e-01,-2.262621889133656250e+00,-1.246846373951332509e+01,1.795140922652411486e-01,5.714600150079627738e+00,2.091878869427262755e-01,4.131995885604199115e-02,0.000000000000000000e+00
3.672413793103447843e-01,-2.321033802185656469e+00,-1.313924014867019707e+01,1.748452296986474364e-01,5.982106270272064208e+00,2.313446032698501520e-01,4.482007679334190642e-02,0.000000000000000000e+00
3.858620689655172242e-01,-2.365744798666836957e+00,-1.381028835597008531e+01,1.696563533049480488e-01,6.279406988046101645e+00,2.550160598701968762e-01,4.855766497571509938e-02,0.000000000000000000e+00
4.044827586206896086e-01,-2.397515438921910658e+00,-1.447984260120138167e+01,1.640873694926827109e-01,6.598486256665580640e+00,2.804192306692889769e-01,5.232710789436528787e-02,0.000000000000000000e+00
4.231034482758619930e-01,-2.417593173342263313e+00,-1.514521726388384693e+01,1.582920393596188857e-01,6.930534214175127161e+00,3.088529414270744233e-01,5.609519301815107939e-02,0.000000000000000000e+00
4.417241379310344329e-01,-2.427721155007367848e+00,-1.580182046748923419e+01,1.524435736742948411e-01,7.265626614571282005e+00,3.388259283585201009e-01,5.998524970700849779e-02,0.000000000000000000e+00
