r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.021723133480445966e+00,-3.118554804680941483e+00,3.166062025009933611e-01,2.859800829028792180e+00,7.713640389604776298e-03,3.216930218033312982e-03,4.160373431804234912e+01
1.099137931034482735e-01,-1.083594602028286058e+00,-3.938488131121546054e+00,2.684866803454803996e-01,5.331132075011657534e+00,2.539023994451398286e-02,8.090704673785713633e-03,3.856440426766651886e+00
1.331896551724137956e-01,-1.169112849956525091e+00,-4.753725418986959994e+00,2.411502056352198553e-01,6.611682416961407682e+00,4.268221627232789833e-02,1.173361622156915592e-02,5.526396733034721365e+01
1.564655172413793038e-01,-1.277602904869619804e+00,-5.566199296838171051e+00,2.256207921305594388e-01,7.215737983377628950e+00,6.051125950632484790e-02,1.602032757341275912e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.406113149931946360e+00,-6.377936469575302247e+00,2.169940019389959007e-01,7.424302366384791796e+00,8.062891703283772693e-02,2.047642946037362202e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.549516912785751099e+00,-7.191209399173027705e+00,2.122289418848014864e-01,7.411605910902224537e+00,1.016667714100843861e-01,2.529553198763700300e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.701460895015473707e+00,-8.008215492115716927e+00,2.093513541618587381e-01,7.290765256891216239e+00,1.238208041152281946e-01,3.032904161299904838e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.855970942712178884e+00,-8.830468991235946419e+00,2.071627383114639787e-01,7.130449422379987467e+00,1.477534439248925913e-01,3.535962077551688815e-02,0.000000000000000000e+00
2.728448275862068728e-01,-2.008677428660217590e+00,-9.658476159297025632e+00,2.050475553542919493e-01,6.965926193009659428e+00,1.731899491157020965e-01,4.088229585117298531e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.157060649693288035e+00,-1.049188739759592792e+01,2.027678015863452476e-01,6.810832176527769732e+00,2.019035910675524570e-01,4.665319683150302016e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.299995975900574585e+00,-1.132987840357834486e+01,2.002811030184291075e-01,6.667595223676300975e+00,2.318616298351884875e-01,5.276661826315649784e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.437113129412476820e+00,-1.217149001400014008e+01,1.976179428180018238e-01,6.534468777613714252e+00,2.648314094812873054e-01,5.903937201679742425e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.568241799245620349e+00,-1.301583900011355155e+01,1.948140929941256094e-01,6.409403253196032324e+00,2.995461828019843065e-01,6.558478453380640893e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.693024412462332595e+00,-1.386221817380760157e+01,1.918807072025293103e-01,6.291759593023856567e+00,3.365181748163580400e-01,7.227609004509288892e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.810713173299101975e+00,-1.471011834495316783e+01,1.887977981763246105e-01,6.182682983133888754e+00,3.756023273804758866e-01,7.890303282786821637e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.920128086871419892e+00,-1.555919762366830383e+01,1.855204576274873396e-01,6.084746478895068478e+00,4.159182714995035557e-01,8.562040480659967312e-02,0.000000000000000000e+00
4.590517241379309943e-01,-3.019718106751372311e+00,-1.640921844375428762e+01,1.819895558039335559e-01,6.001337965545461728e+00,4.579077185067305100e-01,9.216223068347860481e-02,0.000000000000000000e+00
4.823275862068965303e-01,-3.107675664089573075e+00,-1.725995872688718080e+01,1.781424963647754156e-01,5.936043949230901617e+00,5.017357982042198739e-01,9.879522148753340505e-02,0.000000000000000000e+00
5.056034482758620108e-01,-3.182091667080034103e+00,-1.811107772545206984e+01,1.739234627509867737e-01,5.892062483210532164e+00,5.475020449580864090e-01,1.052765626654963010e-01,0.000000000000000000e+00
5.288793103448274913e-01,-3.241147251847833921e+00,-1.896188155237948081e+01,1.692935289836216550e-01,5.871623861791375631e+00,5.953957801712426168e-01,1.113831476023041528e-01,0.000000000000000000e+00
5.521551724137930828e-01,-3.283306192082783070e+00,-1.981086889877409973e+01,1.642396879641247198e-01,5.875473336824354575e+00,6.451440850540105520e-01,1.173327842904096086e-01,0.000000000000000000e+00
5.754310344827586743e-01,-3.307449178324887384e+00,-2.065478294498686651e+01,1.587819573480155344e-01,5.902463981132461512e+00,6.967182073064809300e-01,1.228970141978150549e-01,0.000000000000000000e+00
5.987068965517241548e-01,-3.313040789469860137e+00,-2.148653880069226929e+01,1.529866331399995782e-01,5.948797313447485635e+00,7.499289698868064624e-01,1.278184844322692859e-01,0.000000000000000000e+00
