r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-2.051513220027295414e+00,4.447529379808521810e+00,4.321866848806575900e-01,5.237526994587852869e+00,2.522282678869900915e-02,1.201955248129989509e-02,2.535166689173444787e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-1.259456397031506747e-01,1.336897154413119737e-01,-2.051513220027295414e+00,1.037326889621149606e+00,1.298084556084099991e-02,3.308098203654336248e+04,8.754447890560092560e+01
1.275510204081632681e-01,-2.084519865868120991e+00,5.176510940519137627e+00,3.828216394234020825e-01,7.586769088093383573e+00,3.820243155606084517e-02,1.638735906373531628e-02,3.309840786296516790e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-1.663337084430960289e-01,1.524469941667421780e-01,-2.084519865868120991e+00,1.193533281236046628e+00,2.673884153317040990e-02,3.753704484416046034e+04,9.592017835669468084e+00
1.459183673469388043e-01,-5.138202782178066252e-01,5.904617606559312115e+00,8.680141653400687274e-02,2.406831184351099040e+01,3.882197021239233714e-02,1.121777083599563921e-02,2.973118323162153298e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-2.075966718534845712e-01,1.655611337356114043e-01,-5.138202782178066252e-01,1.013600000000000056e+00,1.996600000000000041e-01,3.970389384888621134e+04,1.698131742110938447e+01
1.642857142857143127e-01,-9.044263498598484885e-01,6.634022380528621810e+00,1.354961830503932652e-01,2.079914057108042513e+01,4.858482344833946198e-02,1.664081730325148861e-02,3.344748756645264942e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-2.475615273347359369e-01,1.699945118316627812e-01,-9.044263498598484885e-01,1.013600000000000056e+00,1.996600000000000041e-01,4.466675562505183188e+04,9.461102580765377024e-01
1.826530612244898211e-01,-1.001974195567145509e+00,7.366873310088307925e+00,1.351812842673063009e-01,2.033801627565844683e+01,5.966514280949457988e-02,2.041495383776010392e-02,3.698699877492797605e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-2.840802272256114924e-01,1.643648706984867092e-01,-1.001974195567145509e+00,1.013600000000000056e+00,1.996600000000000041e-01,4.939352267645355460e+04,8.058404901785652941e-01
2.010204081632653295e-01,-1.080279681922812651e+00,8.105109407788859244e+00,1.325028518132998212e-01,2.001231248431722065e+01,7.193587013470351121e-02,2.439845538056265722e-02,4.050965876943930510e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-3.152137589756217051e-01,1.498655034193676905e-01,-1.080279681922812651e+00,1.013600000000000056e+00,1.996600000000000041e-01,5.409778612262655952e+04,2.835608209611050370e+02
2.193877551020408379e-01,-1.149840533901802075e+00,8.849935583332714018e+00,1.292026557965101630e-01,1.972223312097848691e+01,8.542737420059266784e-02,2.866035399784535448e-02,4.402851674430590667e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-3.397572128823295179e-01,1.299142732503867081e-01,-1.149840533901802075e+00,1.013600000000000056e+00,1.996600000000000041e-01,5.879697224028663913e+04,2.850299382834887751e+01
2.377551020408163462e-01,-1.211764390603676800e+00,9.601441382190392559e+00,1.255427641548698681e-01,1.945276279885301207e+01,1.001585083421003830e-01,3.319522753949222943e-02,4.754469364662069486e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-3.576210434752106204e-01,1.087171097412153731e-01,-1.211764390603676800e+00,1.013600000000000056e+00,1.996600000000000041e-01,6.349257797504997870e+04,3.120638147894538861e+02
2.561224489795918546e-01,-1.267149735048070269e+00,1.035872825544043430e+01,1.217220277555871172e-01,1.919250820249726175e+01,1.161259883130102699e-01,3.799547783715213900e-02,5.105442527384334017e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-3.697037996757307488e-01,8.970134715510327816e-02,-1.267149735048070269e+00,1.013600000000000056e+00,1.996600000000000041e-01,6.817957650047297648e+04,4.017895035418862335e+02
2.744897959183673630e-01,-1.317812046153884475e+00,1.112039995655659119e+01,1.179539176927775768e-01,1.892923833917035381e+01,1.333076405004887388e-01,4.306176341364415655e-02,5.455192364658579818e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-3.774017280101358840e-01,7.471229219928464393e-02,-1.317812046153884475e+00,1.013600000000000056e+00,1.996600000000000041e-01,7.285023837916985212e+04,1.470000000000000000e+02
2.928571428571428714e-01,-1.365743110516550507e+00,1.188505125174796895e+01,1.144108472453749803e-01,1.865307465565738454e+01,1.516712119743736098e-01,4.840088556582160251e-02,5.803140343728016015e-01,1.226717131401728800e+01,0.000000000000000000e+00,1.226717131401728800e+01,-3.821200622693183835e-01,6.409586966892392990e-02,-1.365743110516550507e+00,1.013600000000000056e+00,1.996600000000000041e-01,7.749683771507367783e+04,7.200000000000000000e+01
3.112244897959184353e-01,-1.412626769722804765e+00,1.265154697942349316e+01,1.111958731573225029e-01,1.835811243548004512e+01,1.711823922419471455e-01,5.402146534372102848e-02,6.148816215302528310e-01,1.303654094346785186e+01,0.000000000000000000e+00,1.303654094346785186e+01,-3.849939640443589828e-01,5.723025053300573317e-02,-1.412626769722804765e+00,1.013600000000000056e+00,1.996600000000000041e-01,8.211309466128252097e+04,3.000000000000000000e+00
3.295918367346939437e-01,-1.459643651066092174e+00,1.341909632872074276e+01,1.083476451425674919e-01,1.804213721314976837e+01,1.918095381608065642e-01,5.993075999461125458e-02,6.491886080640076884e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,-3.868142441976705204e-01,5.307324022265450664e-02,-1.459643651066092174e+00,1.013600000000000056e+00,1.996600000000000041e-01,8.669455023609449563e+04,3.000000000000000000e+00
3.479591836734694521e-01,-1.507488276516479653e+00,1.418721208577605886e+01,1.058596258366339415e-01,1.770552355206016060e+01,2.135254318447287747e-01,6.613320900573349537e-02,6.832136669198379808e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897603e+01,-3.880681165929180110e-01,5.053619909979339270e-02,-1.507488276516479653e+00,1.013600000000000056e+00,1.996600000000000041e-01,9.123835636215904378e+04,4.000000000000000000e+02
3.663265306122449605e-01,-1.556479603926173461e+00,1.495563117283930588e+01,1.036998239183811177e-01,1.735010441989363983e+01,2.363072420483618985e-01,7.263024062609864384e-02,7.169444733383324442e-01,1.534464983181953635e+01,0.000000000000000000e+00,1.534464983181953635e+01,-3.890186589802306361e-01,4.867385110018759842e-02,-1.556479603926173461e+00,1.013600000000000056e+00,1.996600000000000041e-01,9.574286715497481055e+04,5.546875000000000000e+03
3.846938775510204689e-01,-1.606684340896985752e+00,1.572423556526766220e+01,1.018254632119851288e-01,1.697833071098862590e+01,2.601356344659882525e-01,7.942067658595119983e-02,7.503746079666533397e-01,1.611401946127010021e+01,0.000000000000000000e+00,1.611401946127010021e+01,-3.897838960024377908e-01,4.674335038914405327e-02,-1.606684340896985752e+00,1.013600000000000056e+00,1.996600000000000041e-01,1.002072253553552146e+05,0.000000000000000000e+00
4.030612244897959773e-01,-1.658015868715437380e+00,1.649298762567382326e+01,1.001919261361556707e-01,1.659275882444512717e+01,2.849935945243914359e-01,8.650124435331787986e-02,7.835009579875409358e-01,1.688338909072065874e+01,0.000000000000000000e+00,1.688338909072065874e+01,-3.904014650468352610e-01,4.418992640769910107e-02,-1.658015868715437380e+00,1.013600000000000056e+00,1.996600000000000041e-01,1.046310152685805660e+05,0.000000000000000000e+00
4.214285714285714857e-01,-1.710305890616687918e+00,1.726188275150939688e+01,9.875759535287925717e-02,1.619577325808589308e+01,3.108652628251520889e-01,9.386706328590446735e-02,8.163217866599397077e-01,1.765275872017122083e+01,0.000000000000000000e+00,1.765275872017122083e+01,-3.908759686618231699e-01,4.060122208081293205e-02,-1.710305890616687918e+00,1.013600000000000056e+00,1.996600000000000041e-01,1.090140049652039743e+05,0.000000000000000000e+00
4.397959183673469941e-01,-1.763399465511908959e+00,1.803091713693350684e+01,9.748863245187472382e-02,1.578931281000546427e+01,3.377348190523100646e-01,1.015129681168241843e-01,8.488356238617750238e-01,1.842212834962178292e+01,0.000000000000000000e+00,1.842212834962178292e+01,-3.912112126882759111e-01,3.565594857316918553e-02,-1.763399465511908959e+00,1.013600000000000056e+00,1.996600000000000041e-01,1.133559981209127873e+05,0.000000000000000000e+00
