r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-1.542849230278282358e+00,4.545320475260328230e+00,3.272336178204806045e-01,1.250894784089496170e+00,1.530808942607150142e-02,5.477102082606297856e-03,1.505197234268492723e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-2.815454425134387983e-02,1.719791210515898283e-01,-1.542849230278282358e+00,6.271611321839154485e-01,1.026462419068241254e-02,3.248641483201320807e+04,8.901092543196696738e+01
1.275510204081632681e-01,-1.592989046777739448e+00,5.295632453285670671e+00,2.922014533983925411e-01,2.987256619350169728e+00,2.694563455724431622e-02,8.471164640655445138e-03,2.269919626499200260e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-4.721219567656316507e-02,2.176369699944192826e-01,-1.592989046777739448e+00,8.209415556227280808e-01,1.017617698580505076e-02,3.742706310521597334e+04,8.736023810978482018e+00
1.459183673469388043e-01,-1.682168887474291052e+00,6.036823598137651459e+00,2.717576386539711231e-01,3.887767588019505283e+00,3.879371930630137744e-02,1.130594059977106484e-02,2.865522929174987299e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-7.539068027514478354e-02,2.638864271840422604e-01,-1.682168887474291052e+00,9.145074010131973852e-01,1.081470336689482371e-02,4.241350591579949833e+04,7.560663093765430176e+01
1.642857142857143127e-01,-1.787330049560053480e+00,6.767209385301158342e+00,2.582198005695580112e-01,4.392595240654515010e+00,5.121306087870160229e-02,1.417081214470556315e-02,3.373930442279636788e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-1.143745225621990991e-01,3.002113118372461420e-01,-1.787330049560053480e+00,9.640817383434879817e-01,1.130829905028069536e-02,4.737069731931658316e+04,8.422153493858112183e-01
1.826530612244898211e-01,-1.900108145263833093e+00,7.488052786152977092e+00,2.485067995739311253e-01,4.678275870776969825e+00,6.429866131114801708e-02,1.712475136887641955e-02,3.827815470517659246e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-1.629007511609421588e-01,3.136921693772178332e-01,-1.900108145263833093e+00,9.909726904597919717e-01,1.167671725391883700e-02,5.228496439580991864e+04,5.720835319944707065e-01
2.010204081632653295e-01,-2.015342171461498300e+00,8.204762128305363333e+00,2.408622531735352401e-01,4.845442782478244226e+00,7.825637125946767469e-02,2.020761748448232989e-02,4.251441731436454430e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-2.155610384591179207e-01,2.964267158698158933e-01,-2.015342171461498300e+00,1.006418913100989743e+00,1.191743760676867124e-02,5.718010533082447364e+04,3.256514000077295350e+02
2.193877551020408379e-01,-2.128900013148141923e+00,8.924614831819514649e+00,2.341664138013491991e-01,4.958252785468699742e+00,9.340501664594552667e-02,2.345717353226709975e-02,4.664774656844145051e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-2.650779643955291087e-01,2.513968290783795689e-01,-2.128900013148141923e+00,1.016842557377307887e+00,1.207988401107492824e-02,6.209611993569331389e+04,3.375337584387028045e+01
2.377551020408163462e-01,-2.235300372220581089e+00,9.652788881336343607e+00,2.275593937479676032e-01,5.065973816352432380e+00,1.100131042121914871e-01,2.687853425453462508e-02,5.079540986760235910e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-3.062735443292596282e-01,1.897470011209277663e-01,-2.235300372220581089e+00,1.025318167144670278e+00,1.237354730988761073e-02,6.705842145310595515e+04,3.594047758515998225e+02
2.561224489795918546e-01,-2.333447034055768921e+00,1.039071930263657784e+01,2.209054176925444590e-01,5.176385227975949022e+00,1.282451622693464299e-01,3.046920835031341132e-02,5.500721013817621019e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-3.377127524795883184e-01,1.231301856261812350e-01,-2.333447034055768921e+00,1.033046965958316354e+00,1.276440370703486003e-02,7.207540009728794394e+04,3.659337096820734700e+02
2.744897959183673630e-01,-2.424946070307969048e+00,1.113720240660371985e+01,2.143877577206056984e-01,5.278986303336065333e+00,1.481483032708753866e-01,3.422055298594624262e-02,5.928339158599037484e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-3.605992779630072254e-01,5.895910408276430065e-02,-2.424946070307969048e+00,1.040229041233524665e+00,1.312761151380967099e-02,7.714212122244350030e+04,1.470000000000000000e+02
2.928571428571428714e-01,-2.510448469809566152e+00,1.189009851491301895e+01,2.080816246343089315e-01,5.369467780895345044e+00,1.696600209751452093e-01,3.810507694523423278e-02,6.359037749562379549e-01,1.226717131401728800e+01,0.000000000000000000e+00,1.226717131401728800e+01,-3.770727991042692739e-01,1.025360766027578238e-04,-2.510448469809566152e+00,1.046562744662674183e+00,1.344791594436952134e-02,8.224578343852804392e+04,7.200000000000000000e+01
3.112244897959184353e-01,-2.590981847810184924e+00,1.264738178228996901e+01,2.020672152229096574e-01,5.443234723098948180e+00,1.926738050949195480e-01,4.209562908246999163e-02,6.788921663137674756e-01,1.303654094346785186e+01,0.000000000000000000e+00,1.303654094346785186e+01,-3.891591611778831283e-01,-5.352038002084110596e-02,-2.590981847810184924e+00,1.051726430616926500e+00,1.370905091977027770e-02,8.737466401006597152e+04,3.000000000000000000e+00
3.295918367346939437e-01,-2.667529530278957672e+00,1.340752333902155868e+01,1.963931135743240131e-01,5.497503466757796886e+00,2.170744153409302490e-01,4.616844009572464158e-02,7.214679033654929352e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,-3.983872338968557081e-01,-1.033446085764812283e-01,-2.667529530278957672e+00,1.055525242673045927e+00,1.390116227232260186e-02,9.252005891360386158e+04,3.000000000000000000e+00
3.479591836734694521e-01,-2.739296367222985751e+00,1.416951617877645475e+01,1.909674052005043143e-01,5.537540324113122026e+00,2.427382957129125551e-01,5.030286250221892991e-02,7.633521066516578690e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897603e+01,-4.057640235925210614e-01,-1.511042189898643695e-01,-2.739296367222985751e+00,1.057869830733738636e+00,1.414575323543040657e-02,9.767427273854310624e+04,4.000000000000000000e+02
3.663265306122449605e-01,-2.808687220735887724e+00,1.493276282182686643e+01,1.859168074824074091e-01,5.556084924045142870e+00,2.696203622821621848e-01,5.448196441889022884e-02,8.045102377005208805e-01,1.534464983181953635e+01,0.000000000000000000e+00,1.534464983181953635e+01,-4.118870099926698614e-01,-1.982912859719955234e-01,-2.808687220735887724e+00,1.058941708609809407e+00,1.426221332300349823e-02,1.028364391726079630e+05,5.242187500000000000e+03
3.846938775510204689e-01,-2.875942094343761912e+00,1.569693921310328832e+01,1.812069740630042058e-01,5.555105167853284343e+00,2.976653708853608249e-01,5.868960014279189785e-02,8.448963141729264326e-01,1.611401946127010021e+01,0.000000000000000000e+00,1.611401946127010021e+01,-4.170802481668114403e-01,-2.459741136860022492e-01,-2.875942094343761912e+00,1.058885078701919946e+00,1.425606045411862560e-02,1.080045611331284745e+05,0.000000000000000000e+00
4.030612244897959773e-01,-2.941170624394345623e+00,1.646188337206396568e+01,1.768000190322891463e-01,5.536771758283871137e+00,3.268213014280076933e-01,6.291086809074634967e-02,8.844775623807659137e-01,1.688338909072065874e+01,0.000000000000000000e+00,1.688338909072065874e+01,-4.215057186566928404e-01,-2.948125012361942354e-01,-2.941170624394345623e+00,1.057825407628807834e+00,1.414092664202271088e-02,1.131775623090461741e+05,0.000000000000000000e+00
4.214285714285714857e-01,-3.004549480309854026e+00,1.722751987225963788e+01,1.726673803353910019e-01,5.502721180535244727e+00,3.570339391158233178e-01,6.713199315278044199e-02,9.232183861829258431e-01,1.765275872017122083e+01,0.000000000000000000e+00,1.765275872017122083e+01,-4.252388479115818964e-01,-3.451467793972321507e-01,-3.004549480309854026e+00,1.055857284234937188e+00,1.392708901376133769e-02,1.183550338796883007e+05,0.000000000000000000e+00
4.397959183673469941e-01,-3.064016259399421127e+00,1.799381380478269321e+01,1.686638809129147876e-01,5.461271467392860401e+00,3.882051115654829299e-01,7.134075073026793778e-02,9.610010704611323673e-01,1.842212834962178292e+01,0.000000000000000000e+00,1.842212834962178292e+01,-4.283145448390896504e-01,-3.970943414116244741e-01,-3.064016259399421127e+00,1.052989002717500400e+00,1.377290099457072550e-02,1.235342962336417258e+05,0.000000000000000000e+00
4.581632653061225025e-01,-3.120907159539963338e+00,1.876074451483404104e+01,1.648435259922639284e-01,5.409328347254858116e+00,4.203056391419243143e-01,7.552474512248247285e-02,9.978590957411206386e-01,1.919149797907234500e+01,0.000000000000000000e+00,1.919149797907234500e+01,-4.307534642383037959e-01,-4.506320026420057578e-01,-3.120907159539963338e+00,1.049352984307840186e+00,1.358902234928219786e-02,1.287167684587127296e+05,0.000000000000000000e+00
4.765306122448980108e-01,-3.175376196944300400e+00,1.952829216535710088e+01,1.611931164032111563e-01,5.347648076868333433e+00,4.532881508553185390e-01,7.967174833407533741e-02,1.033789329464668283e+00,1.996086760852290709e+01,0.000000000000000000e+00,1.996086760852290709e+01,-4.325754431658052623e-01,-5.056623869823660966e-01,-3.175376196944300400e+00,1.045035365380783343e+00,1.337067419211390024e-02,1.339024634222302411e+05,0.000000000000000000e+00
4.948979591836735192e-01,-3.227528804359919956e+00,2.029643299901595199e+01,1.576990989859256009e-01,5.277007195090662961e+00,4.870951293929660642e-01,8.377031354436202670e-02,1.068768446607414768e+00,2.073023723797346918e+01,0.000000000000000000e+00,2.073023723797346918e+01,-4.338042389575167967e-01,-5.620636155060239059e-01,-3.227528804359919956e+00,1.040090503656346366e+00,1.312060547062094719e-02,1.390913114338660380e+05,0.000000000000000000e+00
5.132653061224490276e-01,-3.277559733153081911e+00,2.106513989536093234e+01,1.543540108967002278e-01,5.197833291369425623e+00,5.216590601321654530e-01,8.780995110126167680e-02,1.102755872118355018e+00,2.149960686742403126e+01,0.000000000000000000e+00,2.149960686742403126e+01,-4.344669720630979226e-01,-6.197187649063220505e-01,-3.277559733153081911e+00,1.034548330395859805e+00,1.284032985144776748e-02,1.442833124861033284e+05,0.000000000000000000e+00
5.316326530612245360e-01,-3.325799740751748779e+00,2.183438445194908084e+01,1.511575072416550536e-01,5.110146126668320576e+00,5.568966574807803216e-01,9.178158273482595053e-02,1.135684931305088297e+00,2.226897649687458980e+01,0.000000000000000000e+00,2.226897649687458980e+01,-4.345920449255081253e-01,-6.785248794883912415e-01,-3.325799740751748779e+00,1.028410228866782461e+00,1.252991728840585454e-02,1.494785874979500659e+05,0.000000000000000000e+00
5.500000000000000444e-01,-3.372893541840120690e+00,2.260413732508343188e+01,1.481228771330719840e-01,5.013184290940124299e+00,5.926893465734213162e-01,9.567893207610682349e-02,1.167428737102118141e+00,2.303834612632515189e+01,0.000000000000000000e+00,2.303834612632515189e+01,-4.342088012417213427e-01,-7.383884944903984504e-01,-3.372893541840120690e+00,1.021622900365808606e+00,1.218667238992804033e-02,1.546775447327767615e+05,0.000000000000000000e+00
5.683673469387755528e-01,-3.410975300169456048e+00,2.337436600375517770e+01,1.449052265330460498e-01,4.926708756936015732e+00,6.287268455006771450e-01,9.938346164182711162e-02,1.197546854592052457e+00,2.380771575577571397e+01,0.000000000000000000e+00,2.380771575577571397e+01,-4.333497520205370490e-01,-7.992181892628047457e-01,-3.410975300169456048e+00,1.013927889140887828e+00,1.203446060998786260e-02,1.598722013342292630e+05,0.000000000000000000e+00
