r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.236842105263157993e-01,-1.666705892558122182e+00,5.183577945335628989e+00,3.110954670143969425e-01,-2.824457285576261967e+00,-3.557605641307257788e-02,-1.043182288011806902e-02,-1.173019865880163548e-01,5.180872095393694643e+00,0.000000000000000000e+00,5.180872095393694643e+00,2.705849941934356222e-03,8.182559869739536307e-01,-1.666705892558122182e+00,-4.308660471589788044e-01,1.114680462280745465e-02,3.685112397668328049e+04,4.401018538519542389e+00
1.710526315789473728e-01,-2.171022419455988839e+00,7.231660774936376157e+00,2.916501464047820402e-01,-1.710322483366571333e+00,-4.346517792685972159e-02,-1.118031736492536288e-02,-1.023544212117619701e-01,7.165035876608301102e+00,0.000000000000000000e+00,7.165035876608301102e+00,6.662489832807465262e-02,1.040580456518641173e+00,-2.171022419455988839e+00,-2.711190807621376431e-01,1.081889029534264038e-02,5.110154244850853866e+04,2.228570582851686410e+00
2.184210526315789602e-01,-2.670051665733274682e+00,9.291287956123795766e+00,2.798311596136622281e-01,-1.033144422114535388e+00,-4.160375985435852547e-02,-8.941167943963790679e-03,-7.568277028241873761e-02,9.149199657822906673e+00,0.000000000000000000e+00,9.149199657822906673e+00,1.420882983008893152e-01,1.353989874811772243e+00,-2.670051665733274682e+00,-1.565743250660084629e-01,1.068530310753832563e-02,6.542804061040566739e+04,3.895742112368460575e+00
2.657894736842105199e-01,-3.185249380188467150e+00,1.126888260804918929e+01,2.754725464604814711e-01,-7.834142839070725728e-01,-4.627345852990766284e-02,-8.674634952094067292e-03,-6.900296872749499266e-02,1.113336343903751313e+01,0.000000000000000000e+00,1.113336343903751313e+01,1.355191690116765713e-01,1.535759726261997971e+00,-3.185249380188467150e+00,-1.178490197242192811e-01,1.065400971406884820e-02,7.925548715038699447e+04,3.827794764019432777e-02
3.131578947368421351e-01,-3.701661936041934720e+00,1.322186800059755818e+01,2.729763638143609672e-01,-6.403935533905702471e-01,-5.214475391126267845e-02,-8.557117991659500544e-03,-6.592176827227340385e-02,1.311752722025212137e+01,0.000000000000000000e+00,1.311752722025212137e+01,1.043407803454375338e-01,1.543049095413016270e+00,-3.701661936041934720e+00,-9.602405624740101286e-02,1.063684722640686857e-02,9.292580633518628019e+04,0.000000000000000000e+00
3.605263157894736947e-01,-4.210999823945972942e+00,1.518483594138924353e+01,2.705182139121246054e-01,-4.995519385819306990e-01,-5.378776769220178222e-02,-6.976498859563914218e-03,-5.872434057448411987e-02,1.510169100146672605e+01,0.000000000000000000e+00,1.510169100146672605e+01,8.314493992251825727e-02,1.486040897004874184e+00,-4.210999823945972942e+00,-7.453314923642405387e-02,1.061999103877163744e-02,1.066488458100450225e+05,5.321919314154221325e+01
4.078947368421052544e-01,-4.720861087483317675e+00,1.715520319415061223e+01,2.685385478285394756e-01,-3.861254271473093524e-01,-5.360694256647256101e-02,-4.636722938704216160e-03,-5.125239204250352232e-02,1.708585478268133073e+01,0.000000000000000000e+00,1.708585478268133073e+01,6.934841146928326372e-02,1.404927513766697666e+00,-4.720861087483317675e+00,-5.760991373037855495e-02,1.061772250854294518e-02,1.204216055872129946e+05,3.372151522498556631e+01
4.552631578947368696e-01,-5.241244341287093711e+00,1.912838070046467109e+01,2.674395894835682186e-01,-3.231597521197748790e-01,-5.627292340169722656e-02,-2.856043490147265607e-03,-4.781390959218598941e-02,1.907001856389593897e+01,0.000000000000000000e+00,1.907001856389593897e+01,5.836213656873102951e-02,1.296952111431424415e+00,-5.241244341287093711e+00,-4.821543501627041650e-02,1.061646319504239502e-02,1.342318876573951275e+05,8.694070836652778667e+01
5.026315789473684292e-01,-5.781468967410228643e+00,2.110446697138435113e+01,2.673853754977036368e-01,-3.200535195391527310e-01,-6.787737578198900501e-02,-3.302778357227888900e-03,-5.224555506775274694e-02,2.105418234511054365e+01,0.000000000000000000e+00,2.105418234511054365e+01,5.028462627380881483e-02,1.158364272481313684e+00,-5.781468967410228643e+00,-4.775198511524159084e-02,1.061640107039078275e-02,1.480967159007958544e+05,9.335014628124241653e+01
5.500000000000000444e-01,-6.351881737681632778e+00,2.308431971007360417e+01,2.685149686850644146e-01,-3.847744417416549823e-01,-9.674088794953598913e-02,-8.304344233510407153e-03,-6.872430371742030419e-02,2.303834612632515189e+01,0.000000000000000000e+00,2.303834612632515189e+01,4.597358374845256224e-02,9.709588306442560324e-01,-6.351881737681632778e+00,-5.740834670785492644e-02,1.061769548883483190e-02,1.620402145848264627e+05,5.700000000000000000e+01
